Periods,Thermal generation(MW),Renewable generation(MW),BESS discharging(MW),Demand response(MW),Load(MW),BESS charging(MW),Losses(MW),Error
1,690.0,80.45,0.0,0.0,704.902,61.749,3.7993333243559,-0.0003333243559007215
2,690.0,86.3,0.0,0.0,702.377,69.999,3.9237114769657997,0.00028852303420690006
3,690.0,93.55000000000001,0.0,0.0,695.9689999999999,84.17099999999999,3.4102595931349997,-0.0002595931349747005
4,690.0,97.5,0.0,0.0,695.9675,87.83500000000001,3.6975945048026,-9.45048025808859e-5
5,664.274,97.94999999999999,0.0,0.0,700.9835,57.438,3.8028378815530006,-0.00033788155311942347
6,662.141,87.0,0.0,0.0,713.739,31.752,3.649339723497,0.0006602765029311009
7,679.529,73.0,0.0,0.0,743.031,5.773,3.7250444999234,-4.4499923352425697e-5
8,690.0,68.34,8.25,0.0,762.7180000000001,0.0,3.8722350400083005,-0.0002350400083432902
9,670.904,123.63,0.0,0.0,781.4155,9.27,3.8484349965992,6.50034008402578e-5
10,581.13,231.48999999999998,0.0,0.0,807.307,1.798,3.5144976667879995,0.0005023332119886703
11,529.207,288.41999999999996,0.0,0.0,814.108,0.327,3.1922068313927,-0.00020683139269461748
12,480.2,324.35999999999996,0.0,0.0,801.7585,0.05,2.750667068389,0.0008329316109190188
13,386.336,397.04,0.0,0.0,781.3785,0.0,1.9973712205774001,0.00012877942254529984
14,387.897,408.90999999999997,0.0,0.0,794.8620000000001,0.0,1.9453858760988,-0.00038587609886375773
15,452.464,356.99,0.0,0.0,807.156,0.0,2.2981762706463003,-0.00017627064629843758
16,565.879,253.06999999999996,0.0,0.0,815.8435,0.0,3.1051320515354,0.0003679484646061937
17,690.0,126.03,8.108,0.0,820.0,0.0,4.1378618860733,0.0001381139266198872
18,690.0,29.77,80.822,0.0,796.7194999999999,0.0,3.8723421550249,0.00015784497515891616
19,690.0,21.6,74.643,0.0,782.5055,0.0,3.7372387768800004,0.00026122312006782167
20,690.0,11.5,66.863,0.0,764.5595000000001,0.0,3.8035428915359004,-4.2891535914968415e-5
21,690.0,5.5,53.507000000000005,0.0,745.4175,0.0,3.5893600710708,0.00013992892924363787
22,690.203,6.449999999999999,40.039,0.0,732.9735000000001,0.0,3.7186605321838,-0.0001605321838509255
23,715.116,8.85,0.0,0.0,720.318,0.0,3.6481691777057996,-0.00016917770577506985
24,705.836,9.15,0.0,0.0,711.4069999999999,0.0,3.5794278291617,-0.000427829161635529
