periods,gen 10001,gen 10002,gen 10003,gen 10006,gen 10007,gen 10008
1.0,0.0,0.0,0.0,0.0,0.0,0.0
2.0,7.105427357601002e-15,0.0,0.0,0.0,0.0,0.0
3.0,7.105427357601002e-15,0.0,0.0,0.0,0.0,0.0
4.0,7.105427357601002e-15,0.0,0.0,-7.105427357601002e-15,0.0,0.0
5.0,0.0,0.0,0.0,0.0,0.0,0.0
6.0,0.0,0.0,0.0,7.105427357601002e-15,0.0,0.0
7.0,0.0,0.0,0.0,0.0,0.0,0.0
8.0,0.0,0.0,0.0,-3.552713678800501e-15,0.0,0.0
9.0,-7.105427357601002e-15,0.0,0.0,0.0,0.0,0.0
10.0,-7.105427357601002e-15,0.0,0.0,0.0,0.0,0.0
11.0,0.0,0.0,0.0,0.0,0.0,0.0
12.0,-7.105427357601002e-15,0.0,0.0,0.0,0.0,0.0
13.0,0.0,0.0,0.0,0.0,-7.105427357601002e-15,0.0
14.0,-3.552713678800501e-15,0.0,0.0,0.0,0.0,0.0
15.0,0.0,0.0,0.0,0.0,0.0,0.0
16.0,0.0,0.0,0.0,1.7763568394002505e-15,0.0,0.0
17.0,0.0,0.0,0.0,0.0,0.0,0.0
18.0,1.7763568394002505e-15,0.0,0.0,-1.7763568394002505e-15,0.0,0.0
19.0,0.0,0.0,0.0,-1.7763568394002505e-15,0.0,0.0
20.0,0.0,0.0,0.0,-8.881784197001252e-16,0.0,0.0
21.0,0.0,0.0,0.0,0.0,0.0,0.0
22.0,0.0,0.0,0.0,0.0,0.0,0.0
23.0,0.0,0.0,0.0,0.0,0.0,0.0
24.0,0.0,0.0,0.0,0.0,0.0,0.0
