periods,id121 1->2,id121 2->1,id120 1->2,id120 2->1,id122 1->4,id122 4->1,id123 1->5,id123 5->1,id124 2->3,id124 3->2,id125 3->4,id125 4->3,id126 4->5,id126 5->4,id127 5->4,id127 4->5
1,149.474,-149.474,149.474,-149.474,69.919,-69.919,-318.666,318.666,149.391,-149.391,-124.178,124.178,-140.236,140.236,140.236,-140.236
2,148.72,-148.72,148.72,-148.72,71.996,-71.996,-315.654,315.654,150.648,-150.648,-121.796,121.796,-141.713,141.713,141.713,-141.713
3,145.827,-145.827,145.827,-145.827,74.814,-74.814,-311.676,311.676,152.729,-152.729,-116.931,116.931,-143.74,143.74,143.74,-143.74
4,140.939,-140.939,140.939,-140.939,77.867,-77.867,-307.289,307.289,158.235,-158.235,-111.185,111.185,-145.919,145.919,145.919,-145.919
5,128.406,-128.406,128.406,-128.406,79.529,-79.529,-286.888,286.888,169.347,-169.347,-101.666,101.666,-143.225,143.225,143.225,-143.225
6,129.475,-129.475,129.475,-129.475,76.098,-76.098,-290.321,290.321,169.344,-169.344,-106.188,106.188,-140.452,140.452,140.452,-140.452
7,136.72,-136.72,136.72,-136.72,72.822,-72.822,-307.173,307.173,170.805,-170.805,-116.928,116.928,-140.731,140.731,140.731,-140.731
8,139.208,-139.208,139.208,-139.208,73.844,-73.844,-313.009,313.009,174.738,-174.738,-119.665,119.665,-143.034,143.034,143.034,-143.034
9,145.155,-145.155,145.155,-145.155,78.081,-78.081,-299.39,299.39,169.433,-169.433,-119.026,119.026,-144.437,144.437,144.437,-144.437
10,143.414,-143.414,143.414,-143.414,87.66,-87.66,-230.394,230.394,170.694,-170.694,-108.032,108.032,-139.374,139.374,139.374,-139.374
11,134.065,-134.065,134.065,-134.065,88.507,-88.507,-207.443,207.443,170.699,-170.699,-98.321,98.321,-135.295,135.295,135.295,-135.295
12,127.127,-127.127,127.127,-127.127,87.467,-87.467,-173.184,173.184,153.633,-153.633,-86.616,86.616,-126.848,126.848,126.848,-126.848
13,109.672,-109.672,109.672,-109.672,84.906,-84.906,-114.337,114.337,126.083,-126.083,-62.705,62.705,-111.545,111.545,111.545,-111.545
14,106.338,-106.338,106.338,-106.338,85.391,-85.391,-113.684,113.684,124.827,-124.827,-58.597,58.597,-111.901,111.901,111.901,-111.901
15,115.047,-115.047,115.047,-115.047,84.993,-84.993,-154.593,154.593,132.028,-132.028,-69.863,69.863,-120.309,120.309,120.309,-120.309
16,132.938,-132.938,132.938,-132.938,84.18,-84.18,-225.618,225.618,150.677,-150.677,-94.404,94.404,-134.782,134.782,134.782,-134.782
17,148.293,-148.293,148.293,-148.293,81.531,-81.531,-306.698,306.698,172.658,-172.658,-119.636,119.636,-149.543,149.543,149.543,-149.543
18,135.339,-135.339,135.339,-135.339,68.086,-68.086,-321.264,321.264,185.065,-185.065,-125.654,125.654,-138.919,138.919,138.919,-138.919
19,140.079,-140.079,140.079,-140.079,61.059,-61.059,-331.311,331.311,172.21,-172.21,-132.656,132.656,-133.892,133.892,133.892,-133.892
20,140.432,-140.432,140.432,-140.432,58.192,-58.192,-335.431,335.431,164.563,-164.563,-133.144,133.144,-131.845,131.845,131.845,-131.845
21,134.282,-134.282,134.282,-134.282,61.811,-61.811,-330.236,330.236,165.785,-165.785,-124.066,124.066,-134.43,134.43,134.43,-134.43
22,130.511,-130.511,130.511,-130.511,64.714,-64.714,-326.103,326.103,166.464,-166.464,-117.773,117.773,-136.51,136.51,136.51,-136.51
23,137.496,-137.496,137.496,-137.496,58.728,-58.728,-334.662,334.662,152.85,-152.85,-125.559,125.559,-132.228,132.228,132.228,-132.228
24,136.081,-136.081,136.081,-136.081,59.905,-59.905,-332.972,332.972,152.044,-152.044,-122.722,122.722,-133.068,133.068,133.068,-133.068
