periods,bus 1,bus 2,bus 3,bus 4,bus 5
1.0,35.0,35.0,35.0,35.0,35.0
2.0,35.0,35.0,35.0,35.0,35.0
3.0,35.0,35.0,35.0,35.0,35.0
4.0,35.0,35.0,35.0,35.0,35.0
5.0,35.0,35.0,35.0,35.0,35.0
6.0,35.0,35.0,35.0,35.0,35.0
7.0,35.0,35.0,35.0,35.0,35.0
8.0,43.475,43.475,43.475,43.475,43.475
9.0,35.0,35.0,35.0,35.0,35.0
10.0,35.0,35.0,35.0,35.0,35.0
11.0,35.0,35.0,35.0,35.0,35.0
12.0,35.0,35.0,35.0,35.0,35.0
13.0,35.0,35.0,35.0,35.0,35.0
14.0,35.0,35.0,35.0,35.0,35.0
15.0,35.0,35.0,35.0,35.0,35.0
16.0,35.0,35.0,35.0,35.0,35.0
17.0,55.0,55.0,55.0,55.0,55.0
18.0,55.0,55.0,55.0,55.0,55.0
19.0,55.0,55.0,55.0,55.0,55.0
20.0,55.0,55.0,55.0,55.0,55.0
21.0,55.0,55.0,55.0,55.0,55.0
22.0,55.0,55.0,55.0,55.0,55.0
23.0,55.0,55.0,55.0,55.0,55.0
24.0,55.0,55.0,55.0,55.0,55.0
