Periods,Thermal generation(MW),Renewable generation(MW),BESS discharging(MW),Demand response(MW),Load(MW),BESS charging(MW),Losses(MW),Error
1,627.672,80.45,0.0,0.0,704.902,0.0,3.2198919115572004,0.00010808844282683694
2,669.804,86.3,0.0,0.0,702.377,50.0,3.7267199361902,0.00028006380977529943
3,605.49,93.55000000000001,0.0,0.0,695.9689999999999,0.0,3.0707069221520005,0.0002930778480259022
4,651.424,97.5,0.0,0.0,695.9675,50.0,2.9562801695226,0.00021983047740548045
5,656.562,97.94999999999999,0.0,0.0,700.9835,50.0,3.5281572645684998,0.00034273543139473617
6,630.502,87.0,0.0,0.0,713.739,0.0,3.763214180686801,-0.0002141806868811713
7,673.671,73.0,0.0,0.0,743.031,0.0,3.6402841724912998,-0.000284172491199719
8,690.0,68.34,8.25,0.0,762.7180000000001,0.0,3.8722350400083005,-0.0002350400083432902
9,690.0,123.63,0.0,0.0,781.4155,28.434,3.7806806564109006,-0.00018065641085796003
10,589.505,231.48999999999998,0.0,0.0,807.307,10.185,3.5029556699745004,4.4330025487315794e-5
11,528.8779999999999,288.41999999999996,0.0,0.0,814.108,0.0,3.1902514826512998,-0.0002514826513588808
12,530.548,324.35999999999996,0.0,0.0,801.7585,50.0,3.1497835635803004,-0.00028356358042502805
13,436.336,397.04,0.0,0.0,781.3785,50.0,1.9973712205774001,0.00012877942254529984
14,459.819,408.90999999999997,0.0,0.0,794.8620000000001,71.566,2.3004812794171,0.0005187205828591779
15,503.323,356.99,0.0,0.0,807.156,50.0,3.1570304926788,-3.049267876109596e-5
16,566.3009999999999,253.06999999999996,0.0,0.0,815.8435,0.0,3.5277374973833,-0.00023749738338185722
17,690.0,126.03,8.108,0.0,820.0,0.0,4.1378618860733,0.0001381139266198872
18,690.0,29.77,80.771,0.0,796.7194999999999,0.0,3.8217482910388005,-0.000248291038785986
19,690.0,21.6,74.643,0.0,782.5055,0.0,3.7372387768800004,0.00026122312006782167
20,690.151,11.5,66.57,0.0,764.5595000000001,0.0,3.6621687744953,-0.0006687744953675079
21,690.0,5.5,53.7,0.0,745.4175,0.0,3.7824879679527004,1.2032047326915318e-5
22,690.0,6.449999999999999,40.208,0.0,732.9735000000001,0.0,3.6842403078493997,0.00025969215055754447
23,715.116,8.85,0.0,0.0,720.318,0.0,3.6481691777057996,-0.00016917770577506985
24,705.871,9.15,0.0,0.0,711.4069999999999,0.0,3.6135586310078,0.00044136899223268244
