periods,id121 1->2,id121 2->1,id120 1->2,id120 2->1,id122 1->4,id122 4->1,id123 1->5,id123 5->1,id124 2->3,id124 3->2,id125 3->4,id125 4->3,id126 4->5,id126 5->4,id127 5->4,id127 4->5
1,130.299,-130.299,130.299,-130.299,67.899,-67.899,-278.085,278.085,161.161,-161.161,-112.383,112.383,-129.424,129.424,129.424,-129.424
2,132.31,-132.31,132.31,-132.31,79.733,-79.733,-290.528,290.528,167.846,-167.846,-104.604,104.604,-144.217,144.217,144.217,-144.217
3,125.231,-125.231,125.231,-125.231,67.531,-67.531,-263.14,263.14,161.56,-161.56,-108.111,108.111,-125.826,125.826,125.826,-125.826
4,126.063,-126.063,126.063,-126.063,79.171,-79.171,-278.602,278.602,169.524,-169.524,-99.88,99.88,-141.072,141.072,141.072,-141.072
5,125.669,-125.669,125.669,-125.669,79.618,-79.618,-281.462,281.462,171.324,-171.324,-99.704,99.704,-142.146,142.146,142.146,-142.146
6,127.025,-127.025,127.025,-127.025,68.989,-68.989,-278.412,278.412,165.729,-165.729,-109.832,109.832,-130.609,130.609,130.609,-130.609
7,136.266,-136.266,136.266,-136.266,71.529,-71.529,-304.951,304.951,170.151,-170.151,-117.583,117.583,-138.928,138.928,138.928,-138.928
8,139.208,-139.208,139.208,-139.208,73.844,-73.844,-313.009,313.009,174.738,-174.738,-119.665,119.665,-143.034,143.034,143.034,-143.034
9,143.868,-143.868,143.868,-143.868,84.644,-84.644,-303.358,303.358,175.251,-175.251,-113.206,113.206,-152.009,152.009,152.009,-152.009
10,146.575,-146.575,146.575,-146.575,87.469,-87.469,-236.522,236.522,168.357,-168.357,-110.369,110.369,-140.499,140.499,140.499,-140.499
11,133.959,-133.959,133.959,-133.959,88.5,-88.5,-207.224,207.224,170.766,-170.766,-98.254,98.254,-135.24,135.24,135.24,-135.24
12,145.485,-145.485,145.485,-145.485,86.763,-86.763,-209.273,209.273,140.364,-140.364,-99.881,99.881,-133.904,133.904,133.904,-133.904
13,128.03,-128.03,128.03,-128.03,84.176,-84.176,-150.322,150.322,112.798,-112.798,-75.99,75.99,-118.552,118.552,118.552,-118.552
14,126.118,-126.118,126.118,-126.118,89.729,-89.729,-157.649,157.649,114.358,-114.358,-69.064,69.064,-125.816,125.816,125.816,-125.816
15,133.466,-133.466,133.466,-133.466,84.289,-84.289,-190.973,190.973,118.723,-118.723,-83.173,83.173,-127.428,127.428,127.428,-127.428
16,132.956,-132.956,132.956,-132.956,84.205,-84.205,-225.764,225.764,150.679,-150.679,-94.396,94.396,-134.84,134.84,134.84,-134.84
17,148.293,-148.293,148.293,-148.293,81.531,-81.531,-306.698,306.698,172.658,-172.658,-119.636,119.636,-149.543,149.543,149.543,-149.543
18,135.333,-135.333,135.333,-135.333,68.102,-68.102,-321.233,321.233,185.074,-185.074,-125.634,125.634,-138.929,138.929,138.929,-138.929
19,132.421,-132.421,132.421,-132.421,67.36,-67.36,-322.297,322.297,182.253,-182.253,-122.614,122.614,-138.399,138.399,138.399,-138.399
20,130.409,-130.409,130.409,-130.409,66.472,-66.472,-323.569,323.569,177.711,-177.711,-119.967,119.967,-137.764,137.764,137.764,-137.764
21,141.9,-141.9,141.9,-141.9,55.499,-55.499,-339.289,339.289,155.79,-155.79,-134.099,134.099,-129.92,129.92,129.92,-129.92
22,140.573,-140.573,140.573,-140.573,56.442,-56.442,-337.934,337.934,153.269,-153.269,-130.962,130.962,-130.593,130.593,130.593,-130.593
23,137.496,-137.496,137.496,-137.496,58.728,-58.728,-334.662,334.662,152.85,-152.85,-125.559,125.559,-132.228,132.228,132.228,-132.228
24,136.085,-136.085,136.085,-136.085,59.894,-59.894,-332.992,332.992,152.038,-152.038,-122.735,122.735,-133.061,133.061,133.061,-133.061
