Periods,Thermal variable cost,Discharging power cost,Charging power cost,Power shedding cost,Total Cost
1,23768.52,0.0,-0.0,0.0,23768.52
2,25243.14,0.0,-50.0,0.0,25193.14
3,22992.15,0.0,-0.0,0.0,22992.15
4,24599.84,0.0,-50.0,0.0,24549.84
5,24779.670000000002,0.0,-50.0,0.0,24729.670000000002
6,23867.57,0.0,-0.0,0.0,23867.57
7,25378.485,0.0,-0.0,0.0,25378.485
8,25950.0,12.375,-0.0,0.0,25962.375
9,25950.0,0.0,-28.434,0.0,25921.566
10,22432.675,0.0,-10.185,0.0,22422.489999999998
11,20310.73,0.0,-0.0,0.0,20310.73
12,20369.18,0.0,-50.0,0.0,20319.18
13,17071.760000000002,0.0,-50.0,0.0,17021.760000000002
14,17893.665,0.0,-71.566,0.0,17822.099000000002
15,19416.305,0.0,-50.0,0.0,19366.305
16,21620.535,0.0,-0.0,0.0,21620.535
17,25950.0,12.162,-0.0,0.0,25962.162
18,25950.0,136.542,-0.0,0.0,26086.542
19,25950.0,124.286,-0.0,0.0,26074.286
20,25958.305,108.14,-0.0,0.0,26066.445
21,25950.0,105.454,-0.0,0.0,26055.454
22,25950.0,80.416,-0.0,0.0,26030.416
23,27331.38,0.0,-0.0,0.0,27331.38
24,26822.905,0.0,-0.0,0.0,26822.905
