nday,nper,year,month,day,hour,min,date
1,1,2016,1,1,0,0,2016-01-01T00:00:00.0
1,2,2016,1,1,1,0,2016-01-01T01:00:00.0
1,3,2016,1,1,2,0,2016-01-01T02:00:00.0
1,4,2016,1,1,3,0,2016-01-01T03:00:00.0
1,5,2016,1,1,4,0,2016-01-01T04:00:00.0
1,6,2016,1,1,5,0,2016-01-01T05:00:00.0
1,7,2016,1,1,6,0,2016-01-01T06:00:00.0
1,8,2016,1,1,7,0,2016-01-01T07:00:00.0
1,9,2016,1,1,8,0,2016-01-01T08:00:00.0
1,10,2016,1,1,9,0,2016-01-01T09:00:00.0
1,11,2016,1,1,10,0,2016-01-01T10:00:00.0
1,12,2016,1,1,11,0,2016-01-01T11:00:00.0
1,13,2016,1,1,12,0,2016-01-01T12:00:00.0
1,14,2016,1,1,13,0,2016-01-01T13:00:00.0
1,15,2016,1,1,14,0,2016-01-01T14:00:00.0
1,16,2016,1,1,15,0,2016-01-01T15:00:00.0
1,17,2016,1,1,16,0,2016-01-01T16:00:00.0
1,18,2016,1,1,17,0,2016-01-01T17:00:00.0
1,19,2016,1,1,18,0,2016-01-01T18:00:00.0
1,20,2016,1,1,19,0,2016-01-01T19:00:00.0
1,21,2016,1,1,20,0,2016-01-01T20:00:00.0
1,22,2016,1,1,21,0,2016-01-01T21:00:00.0
1,23,2016,1,1,22,0,2016-01-01T22:00:00.0
1,24,2016,1,1,23,0,2016-01-01T23:00:00.0
