Periods,Thermal generation(MW),Renewable generation(MW),BESS discharging(MW),Demand response(MW),Load(MW),BESS charging(MW),Losses(MW),Error
1,38860.541,4956.63,242.135,0.0,43285.67471999998,610.6400000000001,162.98695280530657,0.004327194709304649
2,38611.47299999999,5246.889000000001,0.0,0.0,42885.36156999998,807.7099999999999,165.28837231460997,0.002057685404707854
3,38147.11799999999,4870.633000000002,214.065,0.0,42744.273409999994,332.586,154.95532196639942,0.001268033597852991
4,38691.92199999999,4626.843000000001,0.0,0.0,42905.199799999995,261.097,152.46899494931324,-0.0007949493159458143
5,39094.259,4555.092999999999,210.367,0.0,43462.11701999998,245.613,151.9919847448187,-0.0030047448046843783
6,40397.094999999994,4339.19,0.0,0.0,44560.446899999966,19.948999999999998,155.88653547456207,0.0025645254678750007
7,44942.02600000001,3987.101,0.0,0.0,48775.83883000001,0.93,152.35654692310064,0.0016230769064407014
8,47189.462999999996,3568.0210000000006,300.0,0.0,50896.596449999975,0.25,160.63598055683505,0.0015694431862414149
9,47725.55800000001,3464.523999999998,144.42,0.0,51178.47307,0.25,155.77833716344458,0.0005928365631007182
10,47103.079,3634.2569999999982,0.0,0.0,50578.58218000002,0.25,158.50740076465578,-0.0035807646795262826
11,48507.14200000001,3392.8099999999986,0.0,0.0,51448.78887999998,286.756,164.40236118851456,0.004758811512004968
12,47296.991,2881.586999999999,0.0,0.0,49893.10877000001,129.416,156.05583912047243,-0.002609120484549976
13,46841.347,2553.381999999999,0.0,0.0,49242.96449000001,0.25,151.5170058872369,-0.002495887250574924
14,47753.87,2167.0530000000003,3.413,0.0,49594.649589999986,181.256,148.43118039363117,-0.0007703936145446733
15,48196.178000000014,1809.9059999999995,179.11200000000002,0.0,50020.15599,14.707,150.33399315352517,-0.0009831535063540287
16,49012.47400000001,1460.0900000000008,412.121,0.0,50736.33427,1.405,146.94766974481092,-0.0019397447980793459
17,50011.04100000001,1124.6500000000003,1124.7350000000001,0.0,52108.317359999994,0.25,151.85647236554004,0.0021676344803438496
18,51660.67400000001,1007.56,2391.2859999999996,0.0,54655.83870000001,250.0,153.68086022261636,0.0004397773874700306
19,51407.96900000001,1225.438,1433.0839999999998,0.0,53898.30926000003,17.034,151.1472031155488,0.0005368844366557823
20,50359.756,1415.6129999999998,1660.7819999999997,0.0,53276.44257,5.639,154.06593282870796,0.0034971712908031805
21,49572.89200000001,1973.0020000000002,327.63399999999996,0.0,51703.139670000004,0.25,170.13617384172653,0.002156158275056441
22,47648.26500000001,2622.577,131.908,0.0,50216.351369999946,0.25,186.14202739188556,0.006602608175967362
23,44858.97400000001,3104.009,226.162,0.0,48012.03200999997,0.0,177.1119285627919,0.0010614372386612558
24,43615.23799999999,3442.638999999999,166.667,0.0,46703.93353000003,345.417,175.19184285118195,0.0016271487813241947
