periods,bess 11,bess 12,bess 13,bess 14,bess 15,bess 16,bess 17,bess 18,bess 19,bess 20,bess 21,bess 22,bess 23,bess 24,bess 25,bess 26,bess 27,bess 28,bess 29,bess 30
1.0,323.181,384.516,320.0,300.0,200.27,300.0,350.0,455.0,455.0,520.0,434.285,585.0,670.65,677.407,245.0,385.047,434.717,65.376,350.0,310.0
2.0,390.088,398.002,320.0,300.0,456.537,300.0,350.0,455.0,455.0,520.0,599.424,585.0,679.643,679.901,245.0,398.602,448.702,278.484,350.0,310.0
3.0,398.721,399.742,320.0,470.389,496.317,300.0,350.0,455.0,455.0,520.0,619.142,647.626,679.986,679.901,245.0,399.869,449.89,57.798,350.0,310.0
4.0,399.835,399.967,320.0,497.491,499.688,300.0,350.0,455.0,455.0,520.0,619.964,649.913,679.986,679.901,245.0,399.869,449.89,273.673,350.0,310.0
5.0,399.835,399.967,320.0,499.787,499.688,300.0,350.0,455.0,455.0,520.0,619.964,649.913,679.986,679.901,341.312,399.869,449.89,56.799,488.019,310.0
6.0,399.835,399.967,320.0,499.787,499.688,300.0,350.0,455.0,455.0,520.0,619.964,649.913,679.986,679.901,349.281,399.869,449.89,57.042,499.043,310.0
7.0,399.835,399.967,320.0,499.787,499.688,300.0,350.0,455.0,455.0,520.0,619.964,649.913,679.986,679.901,349.941,399.869,449.89,57.284,499.043,310.0
8.0,399.835,399.967,320.0,499.787,499.688,300.0,350.0,455.0,455.0,520.0,619.964,649.913,679.986,679.901,349.941,399.869,449.89,57.527,186.543,310.0
9.0,399.835,399.967,320.0,499.787,499.688,300.0,350.0,455.0,455.0,520.0,619.964,649.913,679.986,679.901,349.941,399.869,449.89,57.769,36.105,310.0
10.0,399.835,399.967,320.0,499.787,499.688,300.0,350.0,455.0,455.0,520.0,619.964,649.913,679.986,679.901,349.941,399.869,449.89,58.012,36.105,310.0
11.0,399.835,399.967,320.0,499.787,499.688,300.0,350.0,455.0,455.0,520.0,619.964,649.913,679.986,679.901,349.941,399.869,449.89,58.254,311.151,310.0
12.0,399.835,399.967,320.0,499.787,499.688,300.0,350.0,455.0,455.0,520.0,619.964,649.913,679.986,679.901,349.941,399.869,449.89,183.787,311.151,310.0
13.0,399.835,399.967,320.0,499.787,499.688,300.0,350.0,455.0,455.0,520.0,619.964,649.913,679.986,679.901,349.941,399.869,449.89,184.03,311.151,310.0
14.0,399.835,399.967,320.0,499.787,499.688,300.0,350.0,455.0,455.0,520.0,619.964,649.913,679.986,679.901,349.941,399.869,446.371,184.272,484.916,310.0
15.0,399.835,399.967,320.0,499.787,499.355,300.0,330.868,455.0,369.212,520.0,619.964,649.913,679.986,679.901,349.941,399.869,359.377,184.515,498.795,310.0
16.0,399.835,393.333,320.0,499.787,499.021,300.0,53.494,455.0,368.768,520.0,619.964,649.913,679.986,679.901,349.941,399.869,198.744,184.758,499.904,310.0
17.0,399.835,226.667,320.0,499.787,499.021,300.0,53.494,455.0,368.768,520.0,594.902,422.143,679.986,425.143,220.789,193.684,41.248,185.0,499.904,310.0
18.0,317.778,60.0,97.778,272.556,498.688,300.0,53.105,361.741,368.323,98.947,353.522,65.0,679.629,68.0,44.809,43.658,8.561,427.5,499.904,309.611
19.0,151.111,15.882,40.0,272.222,272.222,300.0,52.716,361.296,302.349,65.0,74.934,10.008,425.143,10.876,9.094,9.841,1.777,444.023,499.904,90.804
20.0,40.0,4.204,40.0,50.0,50.0,50.0,50.0,65.0,65.0,65.0,12.298,1.541,68.0,1.74,1.846,2.218,0.369,449.492,499.904,90.804
21.0,40.0,4.204,40.0,50.0,50.0,50.0,50.0,65.0,65.0,65.0,12.298,1.541,68.0,1.74,0.375,2.218,0.077,449.735,187.404,62.0
22.0,40.0,4.204,40.0,50.0,50.0,50.0,50.0,65.0,65.0,65.0,12.298,1.541,68.0,1.74,0.375,2.218,0.077,449.978,50.0,62.0
23.0,40.0,4.204,40.0,50.0,50.0,50.0,50.0,65.0,65.0,65.0,12.298,1.541,68.0,1.74,0.375,2.218,0.077,216.821,50.0,62.0
24.0,40.0,40.0,40.0,50.0,50.0,50.0,50.0,65.0,65.0,65.0,62.0,65.0,68.0,68.0,35.0,40.0,45.0,45.0,50.0,62.0
