plant_id,12875,12876,12877,12878,12879,12880,12881,12882,12883,12884,12885,12886,12893,12896,12897,12898,12899,12910,12911,12912,12913,12914,12918,12919,12922,12925,12926,12927,12928,12929,12933,12934,12935,12936,12937,12947,12948,12949,12950,12951,12952,12953,12954,12958,12959,12960,12961,12962,12963,12964,12965,12966,12967,12968,12969,12970,12971,12972,12973,12974,12975,12976,12979,12980,12981,12982,12983,12984,12985,12986,12987,12988,12992,12993,12994,13000,13025,13034,13035,13040,13041,13042,13043,13054,13055,13056,13079,13080,13084,13085,13116,13161,13162,13163,13164,13165,13166,13237,13238,13239,13240,13308,13309,13310,13311,13312,13313,13384,13405
bus_agg,2096,3048,1079,1079,1079,2096,1079,1079,3048,1079,1079,1079,1079,3048,3048,1079,3048,1079,1079,1079,1079,1079,2011,2017,2011,2127,2054,5236,3048,2101,5236,2011,2011,2096,2096,2127,2127,3048,3048,3048,5394,2096,5394,3048,5394,5394,5394,3048,3048,3048,3048,3048,3048,3048,3048,3048,3048,3048,3048,5394,3048,2096,2096,3048,3048,2096,2096,3048,3048,3048,3048,3048,3048,3048,4195,4195,4195,4195,4195,4195,4195,7406,4195,4195,4195,5018,5413,5196,5236,5239,5394,6342,6342,6342,6342,6342,6342,7406,7406,7406,7406,7366,7366,7366,7366,7366,7366,7389,8112
type,w,w,w,s,w,w,w,w,w,w,w,w,w,s,s,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,s,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s
1,54.016,89.60000000000001,89.60000000000001,0.0,51.072,46.08,64.0,71.168,64.0,37.76,31.206400000000002,38.4,30.72,0.0,0.0,36.480000000000004,41.088,38.4,29.568,51.2,39.04,34.816,71.81479999999999,78.044,125.3,89.5,48.4732,89.5,51.3536,40.275,24.200799999999997,71.6,28.461,2.56,38.4,65.0486,103.31880000000001,35.2256,94.592,38.4,71.6,59.008,74.822,61.696,87.77085999999998,87.77085999999998,87.77085999999998,62.76352,62.76352,62.76352,62.76352,20.608,38.4,43.5712,51.1488,63.744,59.52,44.800000000000004,44.544000000000004,71.6,51.2,64.0,25.6,31.7952,31.7952,51.2,30.72,0.0,50.432,34.56,32.384,44.544000000000004,25.9072,51.2,72.1728,71.6,64.44,67.304,101.3856,71.958,53.699999999999996,71.63579999999999,72.67399999999999,72.1728,89.5,58.5,68.25,48.75,80.55,53.699999999999996,59.2848,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,57.81400000000001,95.9,95.9,0.0,54.663000000000004,49.32000000000001,68.5,76.17200000000001,68.5,40.415000000000006,33.400600000000004,41.1,32.88,0.0,0.0,39.045,43.977000000000004,41.1,31.647000000000002,54.800000000000004,41.785000000000004,37.264,75.0244,81.532,130.9,93.5,50.6396,93.5,54.964400000000005,42.075,25.2824,74.8,29.733,2.74,41.1,67.9558,107.9364,37.702400000000004,101.24300000000001,41.1,74.8,63.157000000000004,78.166,66.034,91.69358,91.69358,91.69358,67.17658,67.17658,67.17658,67.17658,22.057000000000002,41.1,46.6348,54.745200000000004,68.226,63.705000000000005,47.95,47.676,74.8,54.800000000000004,68.5,27.400000000000002,34.030800000000006,34.030800000000006,54.800000000000004,32.88,0.0,53.978,36.99,34.661,47.676,27.728800000000003,54.800000000000004,75.3984,74.8,67.32,70.312,105.9168,75.174,56.1,74.8374,75.922,75.3984,93.5,63.0,73.5,52.5,84.15,56.1,61.9344,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,58.65800000000001,97.30000000000001,97.30000000000001,0.0,55.461000000000006,50.040000000000006,69.5,77.284,69.5,41.005,33.888200000000005,41.7,33.36,0.0,0.0,39.615,44.61900000000001,41.7,32.109,55.60000000000001,42.395,37.80800000000001,60.9824,66.27199999999999,106.39999999999999,76.0,41.1616,76.0,55.7668,34.199999999999996,20.550399999999996,60.8,24.168,2.7800000000000002,41.7,55.236799999999995,87.73440000000001,38.2528,102.721,41.7,60.8,64.07900000000001,63.536,66.998,74.53168,74.53168,74.53168,68.15726000000001,68.15726000000001,68.15726000000001,68.15726000000001,22.379,41.7,47.3156,55.54440000000001,69.22200000000001,64.635,48.650000000000006,48.37200000000001,60.8,55.60000000000001,69.5,27.800000000000004,34.52760000000001,34.52760000000001,55.60000000000001,33.36,0.0,54.766000000000005,37.53,35.167,48.37200000000001,28.133600000000005,55.60000000000001,61.28639999999999,60.8,54.72,57.152,86.0928,61.104,45.6,60.8304,61.711999999999996,61.28639999999999,76.0,75.9,88.55,63.25,68.39999999999999,45.6,50.3424,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,56.337,93.45,93.45,0.0,53.2665,48.06,66.75,74.226,66.75,39.3825,32.5473,40.050000000000004,32.04,0.0,0.0,38.0475,42.853500000000004,40.050000000000004,30.838500000000003,53.400000000000006,40.7175,36.312000000000005,55.5662,60.386,96.95,69.25,37.50580000000001,69.25,53.5602,31.1625,18.7252,55.400000000000006,22.021500000000003,2.67,40.050000000000004,50.3309,79.94220000000001,36.739200000000004,98.65650000000001,40.050000000000004,55.400000000000006,61.5435,57.89300000000001,64.34700000000001,67.91209,67.91209,67.91209,65.46039,65.46039,65.46039,65.46039,21.4935,40.050000000000004,45.4434,53.34660000000001,66.483,62.0775,46.725,46.458000000000006,55.400000000000006,53.400000000000006,66.75,26.700000000000003,33.1614,33.1614,53.400000000000006,32.04,0.0,52.599000000000004,36.045,33.7755,46.458000000000006,27.020400000000002,53.400000000000006,55.8432,55.400000000000006,49.86000000000001,52.07600000000001,78.4464,55.67700000000001,41.550000000000004,55.4277,56.231,55.8432,69.25,88.19999999999999,102.89999999999999,73.5,62.325,41.550000000000004,45.8712,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,53.172,88.2,88.2,0.0,50.274,45.36,63.0,70.056,63.0,37.17,30.7188,37.8,30.240000000000002,0.0,0.0,35.910000000000004,40.446,37.8,29.106,50.4,38.43,34.272,57.17099999999999,62.129999999999995,99.74999999999999,71.25,38.589,71.25,50.5512,32.0625,19.266,56.99999999999999,22.6575,2.52,37.8,51.784499999999994,82.251,34.6752,93.114,37.8,56.99999999999999,58.086,59.565,60.732,69.87344999999999,69.87344999999999,69.87344999999999,61.78284,61.78284,61.78284,61.78284,20.286,37.8,42.8904,50.3496,62.748,58.59,44.1,43.848,56.99999999999999,50.4,63.0,25.2,31.2984,31.2984,50.4,30.240000000000002,0.0,49.644,34.02,31.878,43.848,25.5024,50.4,57.455999999999996,56.99999999999999,51.3,53.58,80.71199999999999,57.285,42.74999999999999,57.028499999999994,57.855,57.455999999999996,71.25,95.1,110.95,79.25,64.125,42.74999999999999,47.19599999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,48.108000000000004,79.8,79.8,0.0,45.486000000000004,41.04,57.0,63.384,57.0,33.63,27.793200000000002,34.2,27.36,0.0,0.0,32.49,36.594,34.2,26.334,45.6,34.77,31.008000000000003,58.7758,63.873999999999995,102.55,73.25,39.6722,73.25,45.7368,32.9625,19.806799999999996,58.599999999999994,23.293499999999998,2.2800000000000002,34.2,53.238099999999996,84.5598,31.3728,84.24600000000001,34.2,58.599999999999994,52.554,61.236999999999995,54.948,71.83480999999999,71.83480999999999,71.83480999999999,55.898759999999996,55.898759999999996,55.898759999999996,55.898759999999996,18.354,34.2,38.8056,45.5544,56.772000000000006,53.010000000000005,39.9,39.672000000000004,58.599999999999994,45.6,57.0,22.8,28.317600000000002,28.317600000000002,45.6,27.36,0.0,44.916000000000004,30.78,28.842000000000002,39.672000000000004,23.073600000000003,45.6,59.068799999999996,58.599999999999994,52.739999999999995,55.083999999999996,82.9776,58.892999999999994,43.949999999999996,58.62929999999999,59.479,59.068799999999996,73.25,82.80000000000001,96.60000000000001,69.0,65.925,43.949999999999996,48.520799999999994,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,42.2,70.0,70.0,0.0,39.900000000000006,36.0,50.0,55.6,50.0,29.5,24.380000000000003,30.0,24.0,0.0,0.0,28.5,32.1,30.0,23.1,40.0,30.5,27.200000000000003,57.7728,62.78399999999999,100.8,72.0,38.9952,72.0,40.120000000000005,32.4,19.468799999999998,57.599999999999994,22.895999999999997,2.0,30.0,52.32959999999999,83.1168,27.52,73.9,30.0,57.599999999999994,46.1,60.19199999999999,48.2,70.60896,70.60896,70.60896,49.034,49.034,49.034,49.034,16.1,30.0,34.04,39.96000000000001,49.800000000000004,46.5,35.0,34.800000000000004,57.599999999999994,40.0,50.0,20.0,24.840000000000003,24.840000000000003,40.0,24.0,0.0,39.400000000000006,27.0,25.3,34.800000000000004,20.240000000000002,40.0,58.06079999999999,57.599999999999994,51.839999999999996,54.144,81.56159999999998,57.888,43.199999999999996,57.62879999999999,58.464,58.06079999999999,72.0,66.0,77.0,55.0,64.8,43.199999999999996,47.6928,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
