periods,bus 1,bus 2,bus 3,bus 4,bus 5,bus 6,bus 7,bus 8,bus 9,bus 10,bus 11,bus 12,bus 13,bus 14,bus 15,bus 16,bus 17,bus 18,bus 19,bus 20,bus 21,bus 22,bus 23,bus 24,bus 25,bus 26,bus 27,bus 28,bus 29,bus 30,bus 31,bus 32,bus 33,bus 34,bus 35,bus 36,bus 37,bus 38,bus 39,bus 40,bus 41,bus 42,bus 43,bus 44,bus 45,bus 46,bus 47,bus 48,bus 49,bus 50,bus 51,bus 52,bus 53,bus 54,bus 55,bus 56,bus 57,bus 58,bus 59,bus 60,bus 61,bus 62,bus 63,bus 64,bus 65,bus 66,bus 67,bus 68,bus 69,bus 70,bus 71,bus 72,bus 73,bus 74,bus 75,bus 76,bus 77,bus 78,bus 79,bus 80,bus 81,bus 82,bus 83,bus 84,bus 85,bus 86,bus 87,bus 88,bus 89,bus 90,bus 91,bus 92,bus 93,bus 94,bus 95,bus 96,bus 97,bus 98,bus 99,bus 100,bus 101,bus 102,bus 103,bus 104,bus 105,bus 106,bus 107,bus 108,bus 109,bus 110,bus 111,bus 112,bus 113,bus 114,bus 115,bus 116,bus 117,bus 118,bus 119,bus 120
1.0,16.878,17.469,16.776,16.782,17.481,16.304,16.815,17.485,17.482,16.772,16.88,17.694,17.267,16.761,17.211,17.356,16.679,17.319,17.433,16.87,17.276,17.354,17.347,15.243,18.29,17.102,17.31,17.64,18.623,16.98,17.106,16.558,12.905,17.078,18.312,17.362,17.358,17.132,17.325,17.358,17.963,17.145,17.55,17.362,17.293,16.614,17.158,17.727,16.902,17.318,17.325,16.428,17.342,17.277,20.619,19.618,23.419,24.236,15.799,17.179,18.516,17.442,18.748,19.236,20.385,23.661,16.863,17.149,16.883,16.746,0.0,17.502,16.52,16.994,21.88,21.031,17.06,16.809,23.435,28.558,17.994,17.732,17.995,17.703,18.032,17.72,17.989,17.049,17.993,17.981,17.992,18.01,17.998,17.995,18.042,17.981,18.006,17.988,17.823,17.938,17.996,18.005,17.967,17.996,17.906,17.996,17.775,17.688,17.981,17.849,18.025,17.681,17.841,17.738,17.671,18.535,17.673,17.555,18.395,18.235
2.0,16.878,17.469,16.776,16.782,17.481,16.304,16.815,17.485,17.482,16.772,16.88,17.694,17.267,16.761,17.211,17.356,16.679,17.319,17.433,16.87,17.276,17.354,17.347,15.243,18.29,17.102,17.31,17.64,18.623,16.98,17.106,16.558,12.905,17.078,18.312,17.362,17.358,17.132,17.325,17.358,17.963,17.145,17.55,17.362,17.293,16.614,17.158,17.727,16.902,17.318,17.325,16.428,17.342,17.277,20.619,19.618,23.419,24.236,15.799,17.179,18.516,17.442,18.748,19.236,20.385,23.661,16.863,17.149,16.883,16.746,0.0,17.502,16.52,16.994,21.88,21.031,17.06,16.809,23.435,28.558,17.994,17.732,17.995,17.703,18.032,17.72,17.989,17.049,17.993,17.981,17.992,18.01,17.998,17.995,18.042,17.981,18.006,17.988,17.823,17.938,17.996,18.005,17.967,17.996,17.906,17.996,17.775,17.688,17.981,17.849,18.025,17.681,17.841,17.738,17.671,18.535,17.673,17.555,18.395,18.235
3.0,16.878,17.469,16.776,16.782,17.481,16.304,16.815,17.485,17.482,16.772,16.88,17.694,17.267,16.761,17.211,17.356,16.679,17.319,17.433,16.87,17.276,17.354,17.347,15.243,18.29,17.102,17.31,17.64,18.623,16.98,17.106,16.558,12.905,17.078,18.312,17.362,17.358,17.132,17.325,17.358,17.963,17.145,17.55,17.362,17.293,16.614,17.158,17.727,16.902,17.318,17.325,16.428,17.342,17.277,20.619,19.618,23.419,24.236,15.799,17.179,18.516,17.442,18.748,19.236,20.385,23.661,16.863,17.149,16.883,16.746,0.0,17.502,16.52,16.994,21.88,21.031,17.06,16.809,23.435,28.558,17.994,17.732,17.995,17.703,18.032,17.72,17.989,17.049,17.993,17.981,17.992,18.01,17.998,17.995,18.042,17.981,18.006,17.988,17.823,17.938,17.996,18.005,17.967,17.996,17.906,17.996,17.775,17.688,17.981,17.849,18.025,17.681,17.841,17.738,17.671,18.535,17.673,17.555,18.395,18.235
4.0,16.881,17.462,16.779,16.784,17.48,16.31,16.818,17.477,17.482,16.774,16.883,17.694,17.26,16.761,17.205,17.347,16.678,17.307,17.437,16.869,17.269,17.347,17.339,15.247,18.319,17.106,17.303,17.597,18.651,16.977,17.101,16.561,12.913,17.075,18.337,17.355,17.352,17.128,17.317,17.351,17.972,17.14,17.523,17.352,17.295,16.617,17.153,17.75,16.899,17.308,17.316,16.441,17.335,17.269,20.687,19.652,23.465,24.28,15.795,17.177,18.754,17.442,18.933,19.389,20.447,23.703,16.854,17.143,16.869,16.738,0.0,17.512,16.512,16.976,21.924,21.075,17.058,16.802,23.48,28.608,18.318,17.687,18.319,17.639,18.35,17.683,18.314,17.605,18.318,18.307,18.317,18.332,18.323,18.319,18.359,18.308,18.328,18.313,18.174,18.272,18.32,18.326,18.296,18.32,18.256,18.32,17.688,17.623,18.307,18.197,18.341,17.641,17.681,17.723,17.783,18.565,17.683,17.56,18.43,18.484
5.0,16.89,17.459,16.795,16.8,17.48,16.346,16.831,17.472,17.482,16.791,16.893,17.694,17.263,16.777,17.209,17.349,16.685,17.31,17.438,16.882,17.272,17.348,17.341,15.254,18.324,17.111,17.304,17.601,18.655,16.987,17.107,16.585,12.917,17.079,18.342,17.356,17.353,17.132,17.319,17.353,17.977,17.146,17.526,17.354,17.299,16.628,17.156,17.755,16.908,17.311,17.318,16.445,17.336,17.272,20.692,19.656,23.47,24.285,15.794,17.177,18.765,17.442,18.942,19.397,20.452,23.708,16.853,17.142,16.868,16.738,0.0,17.513,16.511,16.974,21.928,21.079,17.058,16.801,23.485,28.613,18.333,17.681,18.333,17.632,18.364,17.677,18.328,17.639,18.332,18.321,18.331,18.346,18.337,18.333,18.373,18.322,18.342,18.327,18.192,18.287,18.334,18.341,18.311,18.334,18.267,18.334,17.679,17.616,18.322,18.214,18.354,17.645,17.685,17.728,17.788,18.57,17.688,17.562,18.435,18.495
6.0,17.131,17.393,17.185,17.18,17.472,17.184,17.149,17.362,17.482,17.19,17.13,17.694,17.335,17.152,17.304,17.399,16.868,17.386,17.476,17.181,17.341,17.383,17.382,15.435,18.449,17.227,17.343,17.684,18.781,17.217,17.256,17.136,13.041,17.194,18.465,17.388,17.392,17.238,17.372,17.395,18.085,17.28,17.597,17.403,17.414,16.909,17.257,17.879,17.118,17.386,17.375,16.566,17.373,17.343,20.837,19.788,23.625,24.444,15.863,17.255,18.963,17.523,19.119,19.566,20.594,23.866,16.922,17.217,16.936,16.807,0.0,17.603,16.58,17.032,22.072,21.217,17.136,16.872,23.641,28.804,18.564,17.718,18.568,17.659,18.594,17.713,18.559,18.096,18.564,18.558,18.563,18.571,18.56,18.567,18.598,18.555,18.573,18.56,18.471,18.529,18.566,18.578,18.55,18.564,18.466,18.565,17.679,17.635,18.556,18.474,18.564,17.732,17.778,17.83,17.893,18.671,17.77,17.611,18.543,18.682
7.0,17.628,18.211,17.597,17.597,18.239,17.268,17.597,18.215,18.243,17.597,17.629,17.814,18.051,17.604,18.004,18.128,17.456,18.111,18.21,17.696,18.061,18.126,18.12,15.941,19.018,18.047,18.082,18.335,19.343,17.792,17.901,17.441,13.502,17.901,19.028,18.134,18.131,17.957,18.102,18.131,18.615,17.939,18.264,18.131,18.352,17.38,17.975,18.47,17.705,18.132,18.105,17.206,18.114,18.062,21.398,20.349,24.277,25.124,16.305,17.738,19.518,18.013,19.681,20.125,21.094,24.537,17.392,17.702,17.4,17.275,0.0,18.094,17.042,17.499,22.682,21.802,17.615,17.341,24.297,29.614,19.129,18.294,19.133,18.257,19.158,18.28,19.123,18.665,19.128,19.123,19.127,19.136,19.126,19.132,19.163,19.12,19.138,19.124,19.036,19.094,19.13,19.143,19.115,19.128,19.042,19.13,18.243,18.195,19.12,19.039,19.125,18.381,18.428,18.456,18.555,18.671,18.445,18.324,18.737,19.207
8.0,17.819,18.508,17.742,17.745,18.514,17.268,17.764,18.527,18.515,17.739,17.821,18.22,18.306,17.756,18.253,18.388,17.67,18.367,18.47,17.874,18.318,18.391,18.383,16.126,19.21,18.33,18.347,18.562,19.533,17.994,18.13,17.535,13.665,18.151,19.218,18.4,18.395,18.211,18.363,18.393,18.796,18.173,18.499,18.391,18.676,17.555,18.229,18.672,17.912,18.396,18.365,17.426,18.379,18.318,21.578,20.535,24.493,25.349,16.453,17.897,19.676,18.175,19.837,20.287,21.256,24.76,17.551,17.859,17.566,17.433,0.0,18.255,17.197,17.665,22.883,21.994,17.774,17.5,24.514,29.883,19.287,18.411,19.291,18.36,19.317,18.404,19.282,18.803,19.287,19.281,19.286,19.296,19.287,19.29,19.322,19.278,19.297,19.283,19.187,19.251,19.289,19.3,19.272,19.287,19.212,19.288,18.367,18.32,19.279,19.194,19.287,18.605,18.651,18.671,18.777,18.671,18.676,18.573,18.803,19.362
9.0,17.819,18.508,17.742,17.745,18.514,17.268,17.764,18.527,18.515,17.739,17.821,18.22,18.306,17.756,18.253,18.388,17.67,18.367,18.47,17.874,18.318,18.391,18.383,16.126,19.21,18.33,18.347,18.562,19.533,17.994,18.13,17.535,13.665,18.151,19.218,18.4,18.395,18.211,18.363,18.393,18.796,18.173,18.499,18.391,18.676,17.555,18.229,18.672,17.912,18.396,18.365,17.426,18.379,18.318,21.578,20.535,24.493,25.349,16.453,17.897,19.676,18.175,19.837,20.287,21.256,24.76,17.551,17.859,17.566,17.433,0.0,18.255,17.197,17.665,22.883,21.994,17.774,17.5,24.514,29.883,19.287,18.411,19.291,18.36,19.317,18.404,19.282,18.803,19.287,19.281,19.286,19.296,19.287,19.29,19.322,19.278,19.297,19.283,19.187,19.251,19.289,19.3,19.272,19.287,19.212,19.288,18.367,18.32,19.279,19.194,19.287,18.605,18.651,18.671,18.777,18.671,18.676,18.573,18.803,19.362
10.0,17.977,18.566,17.832,17.841,18.553,17.268,17.894,18.595,18.551,17.824,17.98,20.442,18.355,17.805,18.302,18.432,17.758,18.408,18.502,17.926,18.366,18.438,18.43,16.217,19.199,18.342,18.4,18.579,19.52,18.046,18.183,17.573,13.704,18.201,19.21,18.447,18.441,18.259,18.409,18.438,18.798,18.224,18.525,18.435,18.687,17.682,18.277,18.669,17.975,18.434,18.41,17.44,18.428,18.365,21.51,20.509,24.452,25.308,16.439,17.868,19.485,18.148,19.626,20.114,21.208,24.726,17.548,17.808,17.62,17.426,0.0,18.224,17.188,17.706,22.84,21.95,17.748,17.491,24.475,29.845,19.081,17.932,19.08,17.745,19.11,17.982,19.077,18.472,19.08,19.068,19.079,19.097,19.09,19.08,19.12,19.07,19.09,19.075,18.933,19.035,19.082,19.085,19.057,19.083,19.048,19.083,17.956,17.918,19.07,18.961,19.108,18.613,18.644,18.671,18.73,18.671,18.661,18.586,18.795,19.217
