Periods,Thermal generation(MW),Renewable generation(MW),BESS discharging(MW),Demand response(MW),Load(MW),BESS charging(MW),Losses(MW),Error
1,39048.24999999999,4956.63,157.3,0.0,43285.67471999998,711.192,165.3082511708652,0.0050288291469371416
2,38443.069999999985,5246.889000000001,250.0,0.0,42885.36156999998,895.0169999999999,159.57974833553666,0.0006816644722960064
3,38427.94399999999,4870.633000000002,250.0,0.0,42744.273409999994,647.585,156.71931027946638,-0.0007202794705278848
4,38472.06899999999,4626.843000000001,250.0,0.0,42905.199799999995,291.182,152.53153498410472,-0.0013349841102581195
5,39156.634,4555.092999999999,250.0,0.0,43462.11701999998,348.365,151.24856965727673,-0.003589657261102275
6,40572.91099999999,4339.19,250.0,0.0,44560.446899999966,444.784,156.86537213137913,0.004727868649723632
7,44941.08000000001,3987.101,250.0,0.0,48775.83883000001,250.0,152.34064349366807,0.001526506335466138
8,47306.508,3568.0210000000006,430.0,0.0,50896.596449999975,250.0,157.93026194542847,0.0022880545983525735
9,47573.15200000001,3464.523999999998,550.0,0.0,51178.47307,250.0,159.20285727905147,7.272095527355305e-5
10,47102.827,3634.2569999999982,250.0,0.0,50578.58218000002,250.0,158.50527932448324,-0.003459324507389283
11,48520.37600000001,3392.8099999999986,250.0,0.0,51448.78887999998,550.0,164.39261661256322,0.004503387467337916
12,47200.791,2881.586999999999,250.0,0.0,49893.10877000001,283.192,156.0789552098806,-0.0017252098971027863
13,46841.098000000005,2553.381999999999,250.0,0.0,49242.96449000001,250.0,151.51748048179584,-0.0019704818056709428
14,47753.62100000001,2167.0530000000003,253.414,0.0,49594.649589999986,431.005,148.43172276642244,0.0016872335945947725
15,48187.61800000001,1809.9059999999995,429.902,0.0,50020.15599,256.636,150.63670072491726,-0.002690724902549846
16,49010.11200000001,1460.0900000000008,663.796,0.0,50736.33427,250.0,147.6651692220778,-0.0014392220630270458
17,50166.566000000006,1124.6500000000003,1217.748,0.0,52108.317359999994,250.0,150.64345214033622,0.0031878596773537993
18,51920.033,1007.56,2136.456,0.0,54655.83870000001,250.0,158.20917823898398,0.0011217610075675566
19,51223.28600000001,1225.438,1848.732,0.0,53898.30926000003,250.0,149.148074519416,-0.0013345194413432182
20,49816.548,1415.6129999999998,2454.562,0.0,53276.44257,250.0,160.2748518431765,0.005578156822394931
21,49599.828000000016,1973.0020000000002,550.0,0.0,51703.139670000004,250.0,169.68783068984396,0.0024993101682184715
22,47647.92800000001,2622.577,382.0,0.0,50216.351369999946,250.0,186.14763340354168,0.005996596517235275
23,45085.13800000001,3104.009,250.0,0.0,48012.03200999997,250.0,177.11243123209584,0.002558767942389295
24,43805.53999999999,3442.638999999999,250.0,0.0,46703.93353000003,619.133,175.1103848510157,0.0020851489422568648
