periods,bess 11,bess 12,bess 13,bess 14,bess 15,bess 16,bess 17,bess 18,bess 19,bess 20,bess 21,bess 22,bess 23,bess 24,bess 25,bess 26,bess 27,bess 28,bess 29,bess 30
1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,157.3,0.0,0.0
2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,250.0,0.0,0.0
3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,250.0,0.0,0.0
4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,250.0,0.0,0.0
5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,250.0,0.0,0.0
6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,250.0,0.0,0.0
7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,250.0,0.0,0.0
8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,250.0,180.0,0.0
9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,250.0,300.0,0.0
10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,250.0,0.0,0.0
11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,250.0,0.0,0.0
12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,250.0,0.0,0.0
13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,250.0,0.0,0.0
14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.414,0.0,0.0,0.0,0.0,0.0,0.0,250.0,0.0,0.0
15.0,0.0,0.0,0.0,0.0,21.74,0.0,70.778,0.0,0.0,0.0,87.384,0.0,0.0,0.0,0.0,0.0,0.0,250.0,0.0,0.0
16.0,0.0,150.0,0.0,0.0,0.0,0.0,0.0,0.0,241.584,0.0,22.212,0.0,0.0,0.0,0.0,0.0,0.0,250.0,0.0,0.0
17.0,0.0,60.0,0.0,0.0,0.0,0.0,199.222,0.0,0.0,0.0,175.99,100.858,0.0,0.0,139.5,188.0,104.178,250.0,0.0,0.0
18.0,150.0,0.0,0.0,0.0,0.0,225.0,0.0,0.0,0.0,0.0,300.0,186.142,350.0,350.0,0.0,0.0,102.114,250.0,0.0,223.2
19.0,150.0,150.0,200.0,300.0,300.0,0.0,0.0,0.0,109.416,32.25,0.0,0.0,0.0,0.0,200.0,0.0,157.066,250.0,0.0,0.0
20.0,24.0,0.0,52.0,105.0,83.26,0.0,0.0,351.0,0.0,400.0,0.0,350.0,249.76,316.4,0.0,200.0,73.142,250.0,0.0,0.0
21.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,250.0,300.0,0.0
22.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,250.0,132.0,0.0
23.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,250.0,0.0,0.0
24.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,250.0,0.0,0.0
