periods,bess 11,bess 12,bess 13,bess 14,bess 15,bess 16,bess 17,bess 18,bess 19,bess 20,bess 21,bess 22,bess 23,bess 24,bess 25,bess 26,bess 27,bess 28,bess 29,bess 30
1.0,280.0,390.581,320.0,300.0,328.282,300.0,350.0,455.0,455.0,520.0,620.0,585.0,612.0,612.0,245.0,240.0,270.0,395.335,350.0,310.0
2.0,400.0,390.581,320.0,462.936,424.944,300.0,350.0,455.0,455.0,520.0,620.0,650.0,612.0,612.0,245.0,240.0,422.208,380.103,350.0,310.0
3.0,400.0,400.0,320.0,462.936,500.0,300.0,350.0,455.0,455.0,520.0,620.0,650.0,680.0,680.0,245.0,400.0,422.208,364.871,350.0,310.0
4.0,400.0,400.0,320.0,500.0,500.0,300.0,350.0,455.0,455.0,520.0,620.0,650.0,680.0,680.0,245.0,400.0,422.208,349.639,350.0,310.0
5.0,400.0,400.0,320.0,500.0,500.0,300.0,350.0,455.0,455.0,520.0,620.0,650.0,680.0,680.0,245.0,400.0,422.208,334.407,444.43,310.0
6.0,400.0,400.0,320.0,500.0,500.0,300.0,350.0,455.0,455.0,520.0,620.0,650.0,680.0,680.0,350.0,400.0,450.0,319.175,500.0,310.0
7.0,400.0,400.0,320.0,500.0,500.0,300.0,350.0,455.0,455.0,520.0,620.0,650.0,680.0,680.0,350.0,400.0,450.0,303.943,500.0,310.0
8.0,400.0,400.0,320.0,500.0,500.0,300.0,350.0,455.0,455.0,520.0,620.0,650.0,680.0,680.0,350.0,400.0,450.0,288.711,312.5,310.0
9.0,400.0,400.0,320.0,500.0,500.0,300.0,350.0,455.0,455.0,520.0,620.0,650.0,680.0,680.0,350.0,400.0,450.0,273.479,0.0,310.0
10.0,400.0,400.0,320.0,500.0,500.0,300.0,350.0,455.0,455.0,520.0,620.0,650.0,680.0,680.0,350.0,400.0,450.0,258.247,0.0,310.0
11.0,400.0,400.0,320.0,500.0,500.0,300.0,350.0,455.0,455.0,520.0,620.0,650.0,680.0,680.0,350.0,400.0,450.0,243.015,288.0,310.0
12.0,400.0,400.0,320.0,500.0,500.0,300.0,350.0,455.0,455.0,520.0,620.0,650.0,680.0,680.0,350.0,400.0,450.0,227.784,319.864,310.0
13.0,400.0,400.0,320.0,500.0,500.0,300.0,350.0,455.0,455.0,520.0,620.0,650.0,680.0,680.0,350.0,400.0,450.0,212.552,319.864,310.0
14.0,400.0,400.0,320.0,500.0,500.0,300.0,350.0,455.0,455.0,520.0,616.407,650.0,680.0,680.0,350.0,400.0,450.0,197.32,493.629,310.0
15.0,400.0,400.0,320.0,500.0,475.844,300.0,271.357,455.0,455.0,520.0,524.423,650.0,680.0,680.0,350.0,400.0,450.0,182.088,500.0,310.0
16.0,400.0,233.333,320.0,500.0,475.844,300.0,271.357,455.0,186.573,520.0,501.043,650.0,680.0,680.0,350.0,400.0,450.0,166.856,500.0,310.0
17.0,400.0,166.667,320.0,500.0,475.844,300.0,50.0,455.0,186.573,520.0,315.789,547.083,680.0,680.0,206.186,206.186,342.6,151.624,500.0,310.0
18.0,233.333,166.667,320.0,500.0,475.844,50.0,50.0,455.0,186.573,520.0,0.0,357.143,322.857,322.857,206.186,206.186,237.328,136.392,500.0,62.0
19.0,66.667,0.0,97.778,166.667,142.511,50.0,50.0,455.0,65.0,486.053,0.0,357.143,322.857,322.857,0.0,206.186,75.405,121.16,500.0,62.0
20.0,40.0,0.0,40.0,50.0,50.0,50.0,50.0,65.0,65.0,65.0,0.0,0.0,68.0,0.0,0.0,0.0,0.0,105.928,500.0,62.0
21.0,40.0,0.0,40.0,50.0,50.0,50.0,50.0,65.0,65.0,65.0,0.0,0.0,68.0,0.0,0.0,0.0,0.0,90.696,187.5,62.0
22.0,40.0,0.0,40.0,50.0,50.0,50.0,50.0,65.0,65.0,65.0,0.0,0.0,68.0,0.0,0.0,0.0,0.0,75.464,50.0,62.0
23.0,40.0,0.0,40.0,50.0,50.0,50.0,50.0,65.0,65.0,65.0,0.0,0.0,68.0,0.0,0.0,0.0,0.0,60.232,50.0,62.0
24.0,40.0,40.0,40.0,50.0,50.0,50.0,50.0,65.0,65.0,65.0,62.0,65.0,68.0,68.0,35.0,40.0,45.0,45.0,50.0,62.0
