order,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120
bus_agg,1079,2002,2011,2017,2021,2054,2096,2101,2113,2127,3048,4195,5015,5018,5021,5033,5045,5047,5049,5055,5063,5083,5102,5120,5131,5137,5164,5179,5192,5196,5204,5236,5239,5260,5279,5295,5304,5317,5322,5350,5358,5361,5380,5384,5388,5394,5401,5410,5413,5444,5448,5451,5464,5479,6003,6021,6033,6038,6045,6056,6062,6066,6075,6101,6107,6118,6141,6161,6169,6197,6210,6228,6234,6239,6254,6292,6298,6333,6342,6349,7002,7018,7037,7042,7047,7058,7076,7095,7104,7125,7130,7159,7175,7186,7199,7204,7227,7263,7304,7320,7331,7341,7346,7366,7389,7400,7406,7414,7422,7428,8030,8043,8057,8067,8074,8082,8112,8126,8155,8158
1,1014.431,129.69,52.924,0.0,203.451,292.802,114.477,583.2760000000001,81.211,13.126,769.074,3640.097,344.003,84.685,456.978,366.48400000000004,11.783,150.257,205.167,81.096,1260.164,452.071,521.148,62.474,104.352,335.274,404.332,152.737,103.207,117.09400000000001,95.28999999999999,0.0,384.803,126.584,420.22,616.035,232.195,115.44300000000001,532.968,196.757,131.974,222.139,627.383,574.229,547.601,267.886,268.444,344.462,181.46,434.008,496.709,376.601,188.529,761.357,135.40599999999998,141.715,857.36,98.56,621.16,362.931,411.78499999999997,24.619,374.845,196.73,158.214,120.237,355.69,0.0,435.072,434.339,137.078,423.671,319.969,482.953,59.488,831.747,629.952,315.145,234.911,354.77799999999996,1252.8609999999999,27.75,493.685,369.966,809.381,285.282,382.92,261.34,57.584,47.993,229.722,436.517,392.383,1891.126,399.612,793.7379999999999,732.884,173.373,602.024,79.994,95.839,79.06700000000001,830.072,414.342,615.477,213.341,589.256,0.0,49.397999999999996,143.314,211.665,171.054,84.492,49.312,152.249,187.414,126.99,514.39612,74.533,194.0316
2,1001.601,126.133,52.708,0.0,197.394,282.875,112.006,571.634,78.375,12.764,756.924,3606.855,339.471,83.953,453.745,359.712,11.498999999999999,146.116,200.696,79.15,1242.753,440.944,509.718,60.377,101.869,326.111,395.588,147.281,100.181,115.078,92.443,0.0,375.358,123.231,419.491,604.916,226.773,113.826,530.799,194.424,128.169,219.731,615.361,562.251,537.413,262.711,260.497,338.4,177.31,426.736,485.555,368.104,183.547,756.445,133.42000000000002,139.046,856.116,98.357,619.4019999999999,360.965,405.727,24.506,374.852,194.027,156.80100000000002,118.11800000000001,352.277,0.0,433.397,430.655,135.817,417.88300000000004,317.483,482.27299999999997,58.443,823.9159999999999,619.516,311.049,232.463,350.113,1261.85,27.241,496.029,367.912,810.009,284.768,382.88,263.828,58.029,48.314,230.259,439.519,394.474,1897.985,401.072,788.677,732.878,172.002,601.462,79.451,96.289,78.68299999999999,841.801,413.978,615.04,212.90099999999998,583.312,0.0,49.434,143.564,209.924,168.842,83.014,49.9,148.433,182.809,125.65299999999999,511.002,72.762,195.75757
3,986.218,124.946,52.175999999999995,0.0,196.472,275.027,109.711,561.525,76.727,12.412,750.702,3600.802,336.348,83.277,451.524,355.963,11.282,142.806,197.079,79.056,1240.251,434.749,501.521,58.951,100.043,319.672,389.898,146.777,97.93299999999999,114.747,90.50200000000001,0.0,368.244,121.37,416.474,596.425,224.89600000000002,113.383,528.468,192.82000000000002,125.278,216.337,613.698,553.065,531.674,259.794,257.718,333.97700000000003,175.942,424.138,478.959,362.54200000000003,179.99,759.837,132.543,137.026,855.131,98.084,617.875,360.028,403.522,24.708,374.343,192.54899999999998,156.468,116.64399999999999,352.375,0.0,434.456,429.538,135.002,415.044,318.916,479.38,58.246,818.6469999999999,614.1080000000001,311.555,232.78799999999998,348.832,1272.679,26.762,500.44,366.42400000000004,820.1220000000001,285.031,387.541,267.104,58.5,48.266000000000005,231.53300000000002,441.736,397.78,1909.476,402.47,789.884,741.931,170.649,605.15,79.274,96.212,78.202,847.912,414.348,619.596,213.712,580.708,0.0,49.483000000000004,143.758,209.404,168.743,82.37599999999999,51.133,146.559,181.37199999999999,126.383,509.76928000000004,71.618,198.29913
4,978.505,124.84100000000001,52.125,0.0,200.593,268.18,108.061,557.877,75.664,12.063,747.511,3607.292,334.84499999999997,83.449,452.52000000000004,358.591,11.204,140.905,195.461,80.4,1246.188,432.323,500.447,57.972,99.09,316.316,385.918,150.585,96.414,115.721,89.043,0.0,365.48,120.384,417.789,597.219,226.4,113.602,531.143,192.463,123.738,215.689,615.401,548.587,529.721,257.842,259.442,333.445,177.516,425.685,476.835,362.063,178.084,766.3629999999999,132.20499999999998,136.173,856.758,98.19,619.2,359.854,404.01300000000003,24.867,377.188,190.709,156.49099999999999,115.561,351.67,0.0,437.569,429.774,134.35,415.317,319.668,479.344,58.355,817.202,612.942,312.449,233.988,348.346,1292.406,26.663,504.78999999999996,368.683,832.698,288.219,394.211,274.374,59.08,48.833999999999996,232.34500000000003,449.425,403.312,1937.786,406.173,795.214,753.24,172.084,613.8199999999999,79.421,97.056,78.509,865.459,419.133,626.539,214.017,581.589,0.0,49.571,145.504,211.36,169.473,82.25,52.655,144.962,184.453,127.508,511.94712,70.77000000000001,202.48868
5,980.55,126.319,52.435,0.0,208.501,264.492,107.389,560.293,75.40899999999999,11.917,753.747,3659.093,337.786,83.853,455.536,365.81,11.18,140.418,195.927,83.42099999999999,1266.0910000000001,435.248,504.449,57.83800000000001,99.083,315.562,388.14300000000003,158.519,95.498,118.425,89.03,0.0,367.04699999999997,120.91,422.913,600.425,231.528,114.835,536.439,193.663,123.232,217.065,623.732,548.458,533.811,259.13,265.735,335.389,181.814,430.995,479.295,366.15500000000003,178.266,781.864,133.13400000000001,136.948,870.083,98.996,626.908,363.64799999999997,407.737,25.167,381.90500000000003,192.174,158.151,115.646,355.55,0.0,444.88800000000003,433.41,135.477,418.512,323.872,484.087,58.935,822.585,617.445,316.995,236.704,351.404,1317.308,26.609,515.282,371.895,851.913,292.745,404.08099999999996,280.89,60.209,49.276,236.433,459.69,410.393,1974.608,412.266,807.759,771.11,173.309,625.615,80.428,97.79299999999999,79.068,884.03,426.089,638.712,217.625,587.284,0.0,50.544,148.089,216.322,171.85,83.37100000000001,54.567,145.252,190.346,129.772,517.59753,71.004,205.95849
6,993.773,131.574,53.31,0.0,218.668,265.105,107.98,571.459,77.804,11.796,770.194,3765.819,346.332,86.13799999999999,467.435,375.289,11.412,142.937,200.35,87.319,1308.041,447.553,517.374,59.227000000000004,101.369,320.581,396.232,165.881,97.196,122.02,90.864,0.0,374.15500000000003,124.16,432.362,614.7570000000001,239.863,116.94,548.562,199.353,125.58200000000001,222.189,639.54,559.44,547.861,264.636,275.718,341.79900000000004,188.332,442.336,490.023,375.146,181.73,804.592,134.801,139.404,889.213,100.128,641.679,372.565,416.15,25.674,391.151,196.854,162.088,117.163,362.68,0.0,456.996,440.83500000000004,138.02,425.57,331.391,492.841,59.979,835.803,631.556,323.232,241.59699999999998,359.333,1355.502,27.189999999999998,530.6999999999999,377.315,876.616,300.124,416.619,288.35,61.792,50.045,243.138,475.55400000000003,419.986,2029.287,422.01800000000003,830.977,793.314,177.612,642.223,82.53699999999999,99.693,80.713,910.8779999999999,438.352,655.653,224.04999999999998,600.336,0.0,52.102,152.794,224.505,176.04500000000002,84.869,56.546,149.379,198.02,134.897,529.90003,72.828,211.17687
7,1062.431,148.62,55.666000000000004,0.0,258.004,300.75600000000003,119.53,639.29,87.16,13.205,853.699,4158.258,370.534,96.69800000000001,524.855,426.526,12.424,157.111,227.76000000000002,101.244,1453.698,497.851,574.956,66.202,110.031,354.714,432.45,203.221,105.63199999999999,137.90200000000002,100.448,0.0,417.861,137.647,481.69,670.256,268.86,125.588,588.515,230.046,136.982,245.884,700.905,621.786,594.379,298.75600000000003,316.417,377.969,216.239,503.97499999999997,546.556,423.397,202.15099999999998,870.583,146.59699999999998,152.554,969.578,107.902,705.364,400.596,445.915,27.337000000000003,422.446,210.806,184.853,129.9,396.886,0.0,504.122,495.131,148.804,479.577,369.003,536.284,69.279,929.46,702.472,348.536,275.389,396.297,1438.018,29.119,564.429,406.53000000000003,935.375,323.877,438.918,319.397,64.456,54.44,254.332,512.052,439.491,2155.688,444.538,888.111,855.119,188.50799999999998,704.487,90.155,104.12700000000001,87.52799999999999,958.653,464.261,708.481,235.561,643.113,0.0,55.115,163.399,253.991,197.908,93.482,60.135,172.12800000000001,227.12900000000002,156.649,597.84692,79.757,227.12891
8,1096.621,156.058,57.156,0.0,253.958,314.42,125.689,659.3919999999999,91.787,13.857,906.291,4393.738,386.514,98.56299999999999,538.392,434.63100000000003,12.835,165.39800000000002,236.286,102.697,1492.788,518.999,588.448,70.232,114.875,369.92199999999997,452.429,198.807,109.627,143.04399999999998,106.542,0.0,430.639,142.23,496.622,696.085,274.772,131.898,621.916,234.88,143.03,249.411,736.905,638.271,615.054,312.211,321.285,393.004,220.32399999999998,512.321,570.233,434.799,207.861,891.6170000000001,159.802,162.43200000000002,1012.37,118.944,741.292,426.608,469.63399999999996,29.994000000000003,443.72,217.738,192.493,139.49200000000002,425.486,0.0,519.38,523.305,160.169,494.36,398.635,561.206,70.164,989.473,736.415,366.431,286.556,418.331,1526.082,30.039,586.4590000000001,425.532,975.331,331.714,453.951,316.297,70.774,55.916,269.192,529.683,466.08,2264.545,477.81,917.786,888.1700000000001,197.999,721.51,94.176,110.616,90.627,1001.439,479.85,758.47,247.338,688.061,0.0,57.449,170.806,256.43899999999996,205.13500000000002,98.988,61.928999999999995,185.026,226.726,162.388,623.40827,83.518,239.54318
9,1136.703,152.328,58.727,0.0,250.846,330.576,130.65,666.845,92.11500000000001,14.994,912.5649999999999,4381.186,394.918,98.112,537.762,441.71999999999997,13.001,170.687,236.982,100.47,1505.589,526.816,594.228,72.339,116.905,381.028,468.778,197.228,109.597,142.571,110.967,0.0,441.56800000000004,145.614,508.085,705.723,274.526,132.626,618.673,235.381,145.512,252.482,741.586,652.585,626.066,314.102,321.48,396.949,219.22,526.61,575.669,440.764,215.376,895.1469999999999,161.632,166.87800000000001,1041.748,118.849,753.414,433.776,472.743,29.434,445.58000000000004,223.064,196.697,142.926,429.886,0.0,522.81,528.66,162.183,511.192,393.774,576.678,72.52,1014.282,749.436,372.695,289.44,422.139,1514.404,30.134,582.715,424.187,963.146,331.496,461.91,310.646,69.305,54.78,267.135,533.506,456.23,2235.099,469.919,916.837,878.032,197.41899999999998,721.853,94.27199999999999,108.537,89.99600000000001,990.206,477.78499999999997,752.953,246.82299999999998,690.297,0.0,59.126999999999995,171.827,260.34,202.203,99.962,60.397,176.24200000000002,222.81900000000002,156.552,617.89643,85.555,230.51764
