periods,gen 12875,gen 12876,gen 12877,gen 12878,gen 12879,gen 12880,gen 12881,gen 12882,gen 12883,gen 12884,gen 12885,gen 12886,gen 12893,gen 12896,gen 12897,gen 12898,gen 12899,gen 12910,gen 12911,gen 12912,gen 12913,gen 12914,gen 12918,gen 12919,gen 12922,gen 12925,gen 12926,gen 12927,gen 12928,gen 12929,gen 12933,gen 12934,gen 12935,gen 12936,gen 12937,gen 12947,gen 12948,gen 12949,gen 12950,gen 12951,gen 12952,gen 12953,gen 12954,gen 12958,gen 12959,gen 12960,gen 12961,gen 12962,gen 12963,gen 12964,gen 12965,gen 12966,gen 12967,gen 12968,gen 12969,gen 12970,gen 12971,gen 12972,gen 12973,gen 12974,gen 12975,gen 12976,gen 12979,gen 12980,gen 12981,gen 12982,gen 12983,gen 12984,gen 12985,gen 12986,gen 12987,gen 12988,gen 12992,gen 12993,gen 12994,gen 13000,gen 13025,gen 13034,gen 13035,gen 13040,gen 13041,gen 13042,gen 13043,gen 13054,gen 13055,gen 13056,gen 13079,gen 13080,gen 13084,gen 13085,gen 13116,gen 13161,gen 13162,gen 13163,gen 13164,gen 13165,gen 13166,gen 13237,gen 13238,gen 13239,gen 13240,gen 13308,gen 13309,gen 13310,gen 13311,gen 13312,gen 13313,gen 13384,gen 13405
1.0,54.016,89.6,89.6,0.0,51.072,46.08,64.0,71.168,64.0,37.76,31.206,38.4,30.72,0.0,0.0,36.48,41.088,38.4,29.568,51.2,39.04,34.816,71.815,78.044,125.3,89.5,48.473,89.5,51.354,40.275,24.201,71.6,28.461,2.56,38.4,65.049,103.319,35.226,94.592,38.4,71.6,59.008,74.822,61.696,87.771,87.771,87.771,62.764,62.764,62.764,62.764,20.608,38.4,43.571,51.149,63.744,59.52,44.8,44.544,71.6,51.2,64.0,25.6,31.795,31.795,51.2,30.72,0.0,50.432,34.56,32.384,44.544,25.907,51.2,72.173,71.6,64.44,67.304,101.386,71.958,53.7,71.636,72.674,72.173,89.5,58.5,68.25,48.75,80.55,53.7,59.285,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.0,57.814,95.9,95.9,0.0,54.663,49.32,68.5,76.172,68.5,40.415,33.401,41.1,32.88,0.0,0.0,39.045,43.977,41.1,31.647,54.8,41.785,37.264,75.024,81.532,130.9,93.5,50.64,93.5,54.964,42.075,25.282,74.8,29.733,2.74,41.1,67.956,107.936,37.702,101.243,41.1,74.8,63.157,78.166,66.034,91.694,91.694,91.694,67.177,67.177,67.177,67.177,22.057,41.1,46.635,54.745,68.226,63.705,47.95,47.676,74.8,54.8,68.5,27.4,34.031,34.031,54.8,32.88,0.0,53.978,36.99,34.661,47.676,27.729,54.8,75.398,74.8,67.32,70.312,105.917,75.174,56.1,74.837,75.922,75.398,93.5,63.0,73.5,52.5,84.15,56.1,61.934,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3.0,58.658,97.3,97.3,0.0,55.461,50.04,69.5,77.284,69.5,41.005,33.888,41.7,33.36,0.0,0.0,39.615,44.619,41.7,32.109,55.6,42.395,37.808,60.982,66.272,106.4,76.0,41.162,76.0,55.767,34.2,20.55,60.8,24.168,2.78,41.7,55.237,87.734,38.253,102.721,41.7,60.8,64.079,63.536,66.998,74.532,74.532,74.532,68.157,68.157,68.157,68.157,22.379,41.7,47.316,55.544,69.222,64.635,48.65,48.372,60.8,55.6,69.5,27.8,34.528,34.528,55.6,33.36,0.0,54.766,37.53,35.167,48.372,28.134,55.6,61.286,60.8,54.72,57.152,86.093,61.104,45.6,60.83,61.712,61.286,76.0,75.9,88.55,63.25,68.4,45.6,50.342,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4.0,56.337,93.45,93.45,0.0,53.266,48.06,66.75,74.226,66.75,39.382,32.547,40.05,32.04,0.0,0.0,38.048,42.854,40.05,30.839,53.4,40.718,36.312,55.566,60.386,96.95,69.25,37.506,69.25,53.56,31.162,18.725,55.4,22.022,2.67,40.05,50.331,79.942,36.739,98.657,40.05,55.4,61.544,57.893,64.347,67.912,67.912,67.912,65.46,65.46,65.46,65.46,21.494,40.05,45.443,53.347,66.483,62.078,46.725,46.458,55.4,53.4,66.75,26.7,33.161,33.161,53.4,32.04,0.0,52.599,36.045,33.776,46.458,27.02,53.4,55.843,55.4,49.86,52.076,78.446,55.677,41.55,55.428,56.231,55.843,69.25,88.2,102.9,73.5,62.325,41.55,45.871,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5.0,53.172,88.2,88.2,0.0,50.274,45.36,63.0,70.056,63.0,37.17,30.719,37.8,30.24,0.0,0.0,35.91,40.446,37.8,29.106,50.4,38.43,34.272,57.171,62.13,99.75,71.25,38.589,71.25,50.551,32.062,19.266,57.0,22.658,2.52,37.8,51.784,82.251,34.675,93.114,37.8,57.0,58.086,59.565,60.732,69.873,69.873,69.873,61.783,61.783,61.783,61.783,20.286,37.8,42.89,50.35,62.748,58.59,44.1,43.848,57.0,50.4,63.0,25.2,31.298,31.298,50.4,30.24,0.0,49.644,34.02,31.878,43.848,25.502,50.4,57.456,57.0,51.3,53.58,80.712,57.285,42.75,57.028,57.855,57.456,71.25,95.1,110.95,79.25,64.125,42.75,47.196,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6.0,48.108,79.8,79.8,0.0,45.486,41.04,57.0,63.384,57.0,33.63,27.793,34.2,27.36,0.0,0.0,32.49,36.594,34.2,26.334,45.6,34.77,31.008,58.776,63.874,102.55,73.25,39.672,73.25,45.737,32.962,19.807,58.6,23.293,2.28,34.2,53.238,84.56,31.373,84.246,34.2,58.6,52.554,61.237,54.948,71.835,71.835,71.835,55.899,55.899,55.899,55.899,18.354,34.2,38.806,45.554,56.772,53.01,39.9,39.672,58.6,45.6,57.0,22.8,28.318,28.318,45.6,27.36,0.0,44.916,30.78,28.842,39.672,23.074,45.6,59.069,58.6,52.74,55.084,82.978,58.893,43.95,58.629,59.479,59.069,73.25,82.8,96.6,69.0,65.925,43.95,48.521,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7.0,42.2,70.0,70.0,0.0,39.9,36.0,50.0,55.6,50.0,29.5,24.38,30.0,24.0,0.0,0.0,28.5,32.1,30.0,23.1,40.0,30.5,27.2,57.773,62.784,100.8,72.0,38.995,72.0,40.12,32.4,19.469,57.6,22.896,2.0,30.0,52.33,83.117,27.52,73.9,30.0,57.6,46.1,60.192,48.2,70.609,70.609,70.609,49.034,49.034,49.034,49.034,16.1,30.0,34.04,39.96,49.8,46.5,35.0,34.8,57.6,40.0,50.0,20.0,24.84,24.84,40.0,24.0,0.0,39.4,27.0,25.3,34.8,20.24,40.0,58.061,57.6,51.84,54.144,81.562,57.888,43.2,57.629,58.464,58.061,72.0,66.0,77.0,55.0,64.8,43.2,47.693,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8.0,42.411,70.35,70.35,0.0,40.1,36.18,50.25,55.878,50.25,29.648,24.502,30.15,24.12,0.0,0.0,28.643,32.26,30.15,23.216,40.2,30.653,27.336,45.536,49.486,79.45,56.75,30.736,56.75,40.321,25.538,15.345,45.4,18.046,2.01,30.15,41.246,65.512,27.658,74.27,30.15,45.4,46.33,47.443,48.441,55.654,55.654,55.654,49.279,49.279,49.279,49.279,16.181,30.15,34.21,40.16,50.049,46.732,35.175,34.974,45.4,40.2,50.25,20.1,24.964,24.964,40.2,24.12,0.0,39.597,27.135,25.426,34.974,20.341,40.2,45.763,45.4,40.86,42.676,64.286,45.627,34.05,45.423,46.081,45.763,56.75,52.2,60.9,43.5,51.075,34.05,37.591,0.0,0.0,0.0,0.0,0.0,0.0,0.078,0.46,0.46,0.46,1.15,1.5,1.25,0.57,0.142,0.283,1.25,0.228
9.0,49.796,82.6,82.6,0.91,47.082,42.48,59.0,65.608,59.0,34.81,28.768,35.4,28.32,20.93,20.93,33.63,37.878,35.4,27.258,47.2,35.99,32.096,28.285,30.738,49.35,35.25,19.091,35.25,47.342,15.862,9.532,28.2,11.209,2.36,35.4,25.62,40.693,32.474,87.202,35.4,28.2,54.398,29.469,56.876,34.569,34.569,34.569,57.86,57.86,57.86,57.86,18.998,35.4,40.167,47.153,58.764,54.87,41.3,41.064,28.2,47.2,59.0,23.6,29.311,29.311,47.2,28.32,3.604,46.492,31.86,29.854,41.064,23.883,47.2,28.426,28.2,25.38,26.508,39.931,28.341,21.15,28.214,28.623,28.426,35.25,41.1,47.95,34.25,31.725,21.15,23.35,7.59,0.99,7.59,7.59,0.459,1.343,1.125,6.67,6.67,6.67,11.27,14.7,12.25,5.586,1.387,2.773,12.25,4.788
10.0,61.401,101.85,101.85,3.47,58.054,52.38,72.75,80.898,72.75,42.922,35.473,43.65,34.92,79.81,79.81,41.467,46.705,43.65,33.61,58.2,44.378,39.576,10.632,11.554,18.55,13.25,7.176,13.25,58.375,5.962,3.583,10.6,4.214,2.91,43.65,9.63,15.296,40.042,107.524,43.65,10.6,67.075,11.077,70.131,12.994,12.994,12.994,71.344,71.344,71.344,71.344,23.426,43.65,49.528,58.142,72.459,67.658,50.925,50.634,10.6,58.2,72.75,29.1,36.142,36.142,58.2,34.92,13.741,57.327,39.285,36.811,50.634,29.449,58.2,10.685,10.6,9.54,9.964,15.01,10.653,7.95,10.605,10.759,10.685,13.25,31.5,36.75,26.25,11.925,7.95,8.777,17.25,2.25,17.25,17.25,1.042,3.052,2.6,15.41,15.41,15.41,19.78,25.8,21.5,9.804,2.434,4.868,21.5,8.208
