periods,bus 1,bus 2,bus 3,bus 4,bus 5,bus 6,bus 7,bus 8,bus 9,bus 10,bus 11,bus 12,bus 13,bus 14,bus 15,bus 16,bus 17,bus 18,bus 19,bus 20,bus 21,bus 22,bus 23,bus 24,bus 25,bus 26,bus 27,bus 28,bus 29,bus 30,bus 31,bus 32,bus 33,bus 34,bus 35,bus 36,bus 37,bus 38,bus 39,bus 40,bus 41,bus 42,bus 43,bus 44,bus 45,bus 46,bus 47,bus 48,bus 49,bus 50,bus 51,bus 52,bus 53,bus 54,bus 55,bus 56,bus 57,bus 58,bus 59,bus 60,bus 61,bus 62,bus 63,bus 64,bus 65,bus 66,bus 67,bus 68,bus 69,bus 70,bus 71,bus 72,bus 73,bus 74,bus 75,bus 76,bus 77,bus 78,bus 79,bus 80,bus 81,bus 82,bus 83,bus 84,bus 85,bus 86,bus 87,bus 88,bus 89,bus 90,bus 91,bus 92,bus 93,bus 94,bus 95,bus 96,bus 97,bus 98,bus 99,bus 100,bus 101,bus 102,bus 103,bus 104,bus 105,bus 106,bus 107,bus 108,bus 109,bus 110,bus 111,bus 112,bus 113,bus 114,bus 115,bus 116,bus 117,bus 118,bus 119,bus 120
1.0,5.944,25.364,-0.901,-0.448,22.638,-23.932,2.234,27.539,22.273,-1.302,6.092,17.241,17.798,0.686,16.431,19.166,10.241,17.786,20.229,4.907,17.987,19.925,19.617,8.351,16.795,15.892,19.581,18.197,17.181,8.771,13.337,-8.856,9.318,15.161,16.929,20.123,19.789,15.782,18.923,19.595,17.269,14.185,18.538,19.251,16.391,4.051,16.116,16.08,9.534,17.908,18.771,14.48,19.798,17.878,19.292,17.985,21.691,22.457,15.772,17.186,17.552,17.334,17.728,18.134,19.045,21.728,16.776,17.123,16.326,16.681,0.0,17.247,16.432,16.781,20.4,19.661,17.195,16.745,21.663,26.166,17.09,17.271,17.052,17.172,17.117,17.276,17.099,14.71,17.089,17.026,17.089,17.174,17.2,17.063,17.173,17.071,17.099,17.08,16.51,16.955,17.091,17.022,16.992,17.115,17.516,17.102,17.501,17.343,17.06,16.731,17.343,18.205,18.372,17.612,19.033,17.799,19.286,20.29,17.649,17.525
2.0,6.033,24.745,-0.426,0.0,22.16,-22.339,2.522,26.813,21.814,-0.802,6.173,17.213,17.52,1.146,16.211,18.836,10.227,17.522,19.865,5.18,17.703,19.557,19.264,8.374,16.724,15.751,19.22,17.958,17.123,8.877,13.244,-7.969,9.299,14.994,16.85,19.747,19.429,15.592,18.6,19.245,17.127,14.059,18.269,18.918,16.228,4.257,15.912,16.007,9.591,17.641,18.457,14.393,19.434,17.599,19.3,17.995,21.71,22.483,15.844,17.267,17.55,17.411,17.737,18.141,19.017,21.746,16.845,17.198,16.387,16.753,0.0,17.316,16.503,16.834,20.425,19.685,17.284,16.819,21.681,26.194,17.093,17.275,17.059,17.172,17.121,17.274,17.1,14.876,17.092,17.035,17.092,17.169,17.191,17.069,17.171,17.074,17.102,17.083,16.561,16.967,17.094,17.034,17.003,17.115,17.468,17.103,17.484,17.341,17.065,16.76,17.318,17.975,18.145,17.426,18.803,17.68,19.018,19.947,17.53,17.484
3.0,6.032,25.311,-0.765,-0.315,22.604,-23.632,2.349,27.47,22.242,-1.163,6.179,17.35,17.799,0.81,16.442,19.157,10.294,17.787,20.213,5.0,17.987,19.911,19.605,8.407,16.813,15.907,19.57,18.197,17.199,8.837,13.37,-8.664,9.349,15.181,16.946,20.108,19.776,15.797,18.916,19.583,17.279,14.212,18.536,19.242,16.403,4.15,16.129,16.099,9.594,17.909,18.766,14.501,19.785,17.879,19.311,18.008,21.717,22.484,15.787,17.202,17.556,17.351,17.735,18.144,19.064,21.755,16.794,17.138,16.35,16.699,0.0,17.263,16.449,16.801,20.424,19.683,17.21,16.762,21.689,26.2,17.09,17.274,17.052,17.172,17.118,17.282,17.098,14.699,17.089,17.026,17.089,17.174,17.2,17.063,17.173,17.071,17.099,17.08,16.508,16.955,17.091,17.022,16.991,17.115,17.515,17.102,17.509,17.351,17.06,16.73,17.343,18.205,18.37,17.617,19.024,17.811,19.276,20.274,17.66,17.529
4.0,5.931,23.796,0.0,0.388,21.4,-20.444,2.687,25.723,21.079,-0.343,6.061,17.35,17.009,1.574,15.776,18.264,10.035,17.035,19.252,5.369,17.186,18.934,18.659,8.241,16.512,15.435,18.602,17.514,16.929,8.854,12.968,-6.992,9.158,14.625,16.626,19.114,18.817,15.194,18.035,18.645,16.817,13.742,17.781,18.341,15.882,4.324,15.496,15.79,9.5,17.15,17.902,14.155,18.815,17.089,19.202,17.898,21.609,22.387,15.876,17.308,17.483,17.442,17.665,18.061,18.867,21.638,16.864,17.223,16.388,16.778,0.0,17.338,16.526,16.822,20.342,19.608,17.344,16.846,21.577,26.071,17.058,17.076,17.032,16.937,17.086,17.072,17.063,15.217,17.057,17.011,17.057,17.12,17.137,17.04,17.126,17.042,17.068,17.05,16.62,16.953,17.06,17.014,16.985,17.076,17.347,17.067,17.239,17.133,17.035,16.779,17.235,17.547,17.726,17.058,18.397,17.403,18.552,19.371,17.254,17.361
5.0,6.568,24.911,0.201,0.621,22.373,-21.351,3.109,26.942,22.034,-0.171,6.706,17.35,17.808,1.725,16.522,19.101,10.645,17.807,20.117,5.688,17.987,19.81,19.522,8.773,16.985,16.035,19.48,18.235,17.371,9.32,13.609,-7.229,9.568,15.32,17.111,19.998,19.685,15.908,18.87,19.504,17.402,14.409,18.542,19.182,16.515,4.803,16.223,16.27,10.02,17.922,18.728,14.667,19.689,17.885,19.523,18.2,21.941,22.713,15.859,17.286,17.88,17.442,18.016,18.406,19.268,21.986,16.86,17.213,16.42,16.768,0.0,17.373,16.518,16.845,20.629,19.879,17.295,16.834,21.915,26.48,17.487,17.244,17.456,17.117,17.511,17.251,17.494,15.607,17.486,17.435,17.487,17.556,17.577,17.466,17.556,17.471,17.495,17.479,17.013,17.376,17.488,17.432,17.407,17.507,17.833,17.497,17.398,17.285,17.463,17.193,17.691,18.255,18.429,17.71,19.1,17.954,19.298,20.203,17.807,17.829
6.0,7.764,24.121,2.183,2.55,21.902,-16.836,4.725,25.908,21.605,1.858,7.886,17.35,17.827,3.56,16.683,18.985,11.394,17.837,19.91,7.071,17.987,19.609,19.353,9.558,17.242,16.253,19.306,18.274,17.615,10.292,14.095,-4.364,10.005,15.6,17.355,19.776,19.501,16.129,18.774,19.341,17.581,14.809,18.527,19.057,16.703,6.197,16.411,16.536,10.891,17.94,18.65,14.956,19.499,17.897,19.78,18.445,22.211,22.985,15.889,17.258,18.32,17.442,18.405,18.76,19.534,22.276,16.929,17.201,17.101,16.831,0.0,17.377,16.615,17.008,20.863,20.099,17.218,16.899,22.189,26.833,18.022,17.304,18.002,17.172,18.04,17.322,18.026,16.821,18.021,17.987,18.021,18.069,18.083,18.008,18.071,18.011,18.028,18.016,17.698,17.945,18.023,17.986,17.967,18.035,18.252,18.028,17.373,17.309,18.005,17.819,18.155,18.307,18.488,17.839,19.156,18.153,19.274,20.025,18.012,18.232
7.0,9.454,26.373,3.011,3.444,23.866,-18.019,6.002,28.357,23.531,2.629,9.592,17.405,19.553,4.221,18.327,20.754,12.898,19.508,21.683,8.016,19.717,21.451,21.173,10.902,18.166,17.698,21.167,19.726,18.468,11.478,15.571,-4.364,10.985,17.19,18.296,21.629,21.324,17.745,20.549,21.146,18.671,16.324,20.078,20.83,18.301,7.555,18.044,17.524,12.194,19.625,20.41,16.114,21.343,19.618,20.284,19.015,22.807,23.579,15.82,17.226,18.702,17.442,18.777,19.171,20.151,22.925,16.863,17.19,16.575,16.752,0.0,17.455,16.51,16.94,21.37,20.574,17.158,16.814,22.801,27.601,18.338,17.74,18.299,17.667,18.357,17.765,18.348,16.305,18.338,18.276,18.338,18.419,18.448,18.311,18.412,18.322,18.345,18.329,17.79,18.215,18.339,18.265,18.245,18.363,18.785,18.349,17.891,17.745,18.311,18.009,18.591,19.711,19.847,19.121,20.411,18.671,20.689,21.674,18.701,18.749
8.0,11.832,25.264,6.27,6.648,23.122,-11.338,8.885,26.934,22.835,5.936,11.949,17.694,19.653,7.078,18.653,20.615,14.315,19.605,21.262,10.202,19.784,21.195,20.966,12.421,18.662,18.145,20.988,19.695,18.937,13.042,16.401,0.0,11.825,17.748,18.755,21.337,21.079,18.197,20.457,20.931,18.932,17.012,19.996,20.677,18.71,10.099,18.436,18.043,13.665,19.71,20.343,16.682,21.113,19.704,20.871,19.521,23.378,24.153,15.793,17.187,20.043,17.442,19.853,20.117,20.704,23.528,16.86,17.169,16.686,16.738,0.0,17.517,16.501,16.988,21.878,21.057,17.071,16.798,23.379,28.333,19.953,17.974,19.9,17.881,19.942,18.046,19.974,18.417,19.953,19.884,19.955,20.035,20.069,19.915,20.003,19.945,19.947,19.948,19.397,19.842,19.952,19.848,19.854,19.985,20.468,19.966,18.016,17.905,19.93,19.653,20.297,19.509,19.797,18.671,19.044,18.671,20.39,21.241,18.89,20.778
9.0,11.443,25.243,6.105,6.464,23.184,-11.214,8.589,26.873,22.908,5.788,11.557,17.694,19.639,7.047,18.632,20.626,14.138,19.605,21.39,10.164,19.774,21.199,20.971,12.197,18.506,18.11,20.966,19.768,18.787,13.006,16.367,0.0,11.697,17.692,18.615,21.345,21.095,18.153,20.458,20.948,18.873,16.986,20.057,20.687,18.706,9.807,18.399,17.905,13.586,19.71,20.344,16.583,21.11,19.693,20.551,19.336,23.142,23.923,15.803,17.203,18.992,17.442,19.042,19.436,20.412,23.302,16.854,17.167,16.652,16.74,0.0,17.49,16.501,16.95,21.658,20.841,17.112,16.801,23.146,28.064,18.671,17.714,18.638,17.625,18.687,17.746,18.679,17.068,18.67,18.62,18.67,18.737,18.76,18.648,18.733,18.657,18.676,18.663,18.218,18.568,18.671,18.611,18.593,18.691,19.033,18.68,17.807,17.691,18.648,18.397,18.876,19.757,19.873,19.269,20.352,18.671,20.573,21.382,18.781,19.003
10.0,11.389,25.169,6.079,6.436,23.12,-11.176,8.549,26.793,22.845,5.764,11.503,18.185,19.582,7.025,18.577,20.567,14.089,19.549,21.332,10.132,19.717,21.138,20.911,12.153,18.476,18.057,20.905,19.721,18.76,12.967,16.318,0.0,11.664,17.638,18.585,21.284,21.034,18.099,20.399,20.889,18.84,16.936,20.007,20.629,18.645,9.764,18.344,17.872,13.542,19.653,20.286,16.543,21.049,19.636,20.533,19.317,23.123,23.903,15.805,17.204,18.978,17.442,19.012,19.41,20.394,23.281,16.853,17.16,16.656,16.741,0.0,17.49,16.501,16.949,21.641,20.825,17.118,16.802,23.126,28.039,18.671,17.557,18.639,17.428,18.686,17.602,18.678,17.163,18.67,18.621,18.67,18.735,18.758,18.649,18.73,18.657,18.676,18.663,18.234,18.572,18.671,18.612,18.596,18.69,19.023,18.679,17.647,17.546,18.649,18.407,18.87,19.712,19.83,19.229,20.314,18.671,20.529,21.329,18.77,18.992
