periods,bess 11,bess 12,bess 13,bess 14,bess 15,bess 16,bess 17,bess 18,bess 19,bess 20,bess 21,bess 22,bess 23,bess 24,bess 25,bess 26,bess 27,bess 28,bess 29,bess 30
1.0,0.0,0.0,80.0,203.39,300.0,205.882,0.0,0.0,0.0,132.316,0.0,63.904,66.741,66.741,0.0,149.533,123.59,0.0,0.0,62.358
2.0,102.138,4.051,8.0,0.0,0.0,0.0,350.0,400.0,400.0,4.377,187.626,0.0,2.282,0.0,0.0,13.975,56.715,250.0,0.0,115.296
3.0,150.0,0.0,0.8,300.0,300.0,15.138,0.0,140.502,0.0,0.0,7.823,350.0,0.35,2.545,0.0,1.306,4.815,134.079,0.0,149.599
4.0,57.815,0.0,0.0,0.0,0.0,1.113,350.0,11.634,387.683,0.0,0.0,12.552,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.652
5.0,7.46,0.0,0.0,300.0,300.0,0.0,0.0,0.0,220.83,0.0,0.0,0.35,0.0,0.0,0.0,0.0,0.0,250.0,19.992,1.402
6.0,0.933,0.0,0.0,25.424,89.831,0.0,346.084,0.0,11.68,0.0,0.0,0.35,0.0,0.0,0.0,0.0,0.0,0.0,125.375,0.0
7.0,0.15,0.0,0.0,0.0,7.613,0.0,25.447,0.0,7.42,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,250.0,0.0,0.0
8.0,0.0,0.0,0.0,0.3,0.645,0.0,0.35,0.0,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.124,0.0,0.0
9.0,0.0,0.0,0.0,2.097,0.0,0.0,1.292,0.0,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.407,0.0,0.0
10.0,0.0,0.0,0.0,0.3,0.0,0.0,0.35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.014,0.0
11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,243.433,0.0,0.0
12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,160.045,0.0,0.0,0.0,0.0,0.0
13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,183.774,0.0,0.0,218.156,0.0,0.0
14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,250.0,0.0,0.0
17.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,230.603,0.0,0.0
20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,202.602,0.0,0.0
21.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,61.086,0.0,0.0,0.0,0.0,0.0
22.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,250.0,0.0,0.0
23.0,0.0,0.0,0.0,0.0,0.3,0.0,49.721,0.0,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
24.0,24.842,0.0,0.0,54.408,55.172,0.0,3.657,0.0,70.059,0.0,65.015,66.26,0.0,68.04,0.0,38.95,43.781,0.0,36.962,0.0
