periods,bess 11,bess 12,bess 13,bess 14,bess 15,bess 16,bess 17,bess 18,bess 19,bess 20,bess 21,bess 22,bess 23,bess 24,bess 25,bess 26,bess 27,bess 28,bess 29,bess 30
1,0,0,1,1,1,1,0,0,0,1,0,1,1,1,0,1,1,0,0,1
2,1,1,1,0,0,0,1,1,1,1,1,0,1,0,0,1,1,1,0,1
3,1,0,1,1,1,1,0,1,0,0,1,1,1,1,0,1,1,1,0,1
4,1,0,0,0,0,1,1,1,1,0,0,1,0,0,0,0,0,0,0,1
5,1,0,0,1,1,0,0,0,1,0,0,1,0,0,0,0,0,1,1,1
6,1,0,0,1,1,0,1,0,1,0,0,1,0,0,0,0,0,0,1,0
7,1,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0
8,0,0,0,1,1,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0
9,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0
10,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
23,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
24,1,0,0,1,1,0,1,0,1,0,1,1,0,1,0,1,1,0,1,0
