periods,bess 11,bess 12,bess 13,bess 14,bess 15,bess 16,bess 17,bess 18,bess 19,bess 20,bess 21,bess 22,bess 23,bess 24,bess 25,bess 26,bess 27,bess 28,bess 29,bess 30
1.0,150.0,0.0,0.0,0.0,0.0,0.0,171.0,272.581,311.304,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,242.135,0.0,0.0
2.0,0.0,0.0,0.0,250.246,238.5,0.0,0.0,0.0,0.0,0.0,0.0,346.554,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3.0,0.0,0.0,0.0,0.0,0.0,0.0,283.5,0.0,346.24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4.0,0.0,0.0,0.0,243.0,300.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,250.0,0.0,0.0
5.0,0.0,0.0,0.0,0.0,0.0,0.0,280.077,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,250.0,0.0,0.0
7.0,0.0,0.0,0.0,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,189.419,0.0,0.0,0.0,0.0,0.0
8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38.442,0.0,0.0,0.0,0.0,19.485
9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.802,0.0,0.0,0.0,0.0,0.0
10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.583,0.0,0.0,250.0,0.0,0.0
11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,43.744,250.0,0.0,0.0
13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,122.162,0.0,0.0,0.0
14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.0,0.0,0.0,0.0,0.0,213.146,250.0,0.0,0.0
15.0,0.0,0.0,0.0,0.0,248.972,0.0,0.0,0.0,0.0,0.0,191.666,0.0,0.0,0.0,0.0,0.0,45.191,95.5,0.0,0.0
16.0,0.0,0.0,0.0,0.0,141.671,0.0,32.477,0.0,339.765,0.0,132.857,0.0,0.0,0.0,0.0,0.0,9.379,0.0,0.0,0.0
17.0,0.0,0.0,0.0,0.0,48.415,0.0,350.0,0.0,201.092,0.0,213.161,180.999,0.0,0.0,0.0,0.0,0.0,206.226,0.0,0.0
18.0,150.0,150.0,0.2,300.0,0.0,350.0,0.0,323.649,0.0,69.092,42.387,342.663,0.0,350.0,200.0,200.0,0.0,42.801,0.0,0.0
19.0,150.0,69.281,200.0,122.431,0.0,54.928,0.0,202.0,0.0,400.0,6.956,95.875,74.866,265.712,63.022,145.525,0.0,0.0,107.199,104.703
20.0,44.104,0.0,123.728,22.487,8.893,0.0,56.587,0.0,36.178,86.523,1.142,14.763,174.881,42.5,0.0,32.802,0.0,0.0,300.0,350.0
21.0,0.0,0.0,0.0,4.13,1.633,0.0,9.149,0.0,6.509,0.0,0.0,2.273,0.0,6.798,0.0,7.394,0.0,239.363,58.065,27.9
22.0,0.0,0.0,0.0,0.0,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.35,350.0,0.0,84.406,0.0,0.0,0.0,0.0,0.0
23.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,204.358,0.0,0.0
24.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,166.667,0.0,0.0
