periods,bess 11,bess 12,bess 13,bess 14,bess 15,bess 16,bess 17,bess 18,bess 19,bess 20,bess 21,bess 22,bess 23,bess 24,bess 25,bess 26,bess 27,bess 28,bess 29,bess 30
1,1,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,1,0,0
2,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
3,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
4,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
5,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
7,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
14,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0
15,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0
16,0,0,0,0,1,0,1,0,1,0,1,0,0,0,0,0,1,0,0,0
17,0,0,0,0,1,0,1,0,1,0,1,1,0,0,0,0,0,1,0,0
18,1,1,1,1,0,1,0,1,0,1,1,1,0,1,1,1,0,1,0,0
19,1,1,1,1,0,1,0,1,0,1,1,1,1,1,1,1,0,0,1,1
20,1,0,1,1,1,0,1,0,1,1,1,1,1,1,0,1,0,0,1,1
21,0,0,0,1,1,0,1,0,1,0,0,1,0,1,0,1,0,1,1,1
22,0,0,0,0,1,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0
23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
