periods,bess 11,bess 12,bess 13,bess 14,bess 15,bess 16,bess 17,bess 18,bess 19,bess 20,bess 21,bess 22,bess 23,bess 24,bess 25,bess 26,bess 27,bess 28,bess 29,bess 30
1.0,113.333,280.0,392.0,483.051,470.0,485.294,160.0,152.132,109.107,645.7,434.0,647.626,677.407,677.407,245.0,385.047,389.883,65.376,350.0,366.122
2.0,205.257,283.646,399.2,205.0,205.0,485.294,475.0,512.132,469.107,649.858,612.245,294.0,679.643,677.407,245.0,398.602,444.896,307.876,350.0,469.888
3.0,340.257,283.646,399.92,475.0,475.0,498.919,160.0,638.584,84.396,649.858,619.677,637.0,679.986,679.901,245.0,399.869,449.567,437.933,350.0,604.527
4.0,392.291,283.646,399.92,205.0,141.667,499.92,475.0,649.055,433.311,649.858,619.677,649.301,679.986,679.901,245.0,399.869,449.567,180.201,350.0,618.614
5.0,399.005,283.646,399.92,475.0,411.667,499.92,163.804,649.055,632.058,649.858,619.677,649.644,679.986,679.901,245.0,399.869,449.567,422.701,369.192,619.876
6.0,399.845,283.646,399.92,497.881,492.514,499.92,475.28,649.055,642.57,649.858,619.677,649.987,679.986,679.901,245.0,399.869,449.567,164.969,489.552,619.876
7.0,399.98,283.646,399.92,497.548,499.366,499.92,498.182,649.055,649.248,649.858,619.677,649.987,679.986,679.901,49.723,399.869,449.567,407.469,489.552,619.876
8.0,399.98,283.646,399.92,497.818,499.946,499.92,498.497,649.055,649.608,649.858,619.677,649.987,679.986,679.901,10.091,399.869,449.567,446.389,489.552,598.226
9.0,399.98,283.646,399.92,499.705,499.946,499.92,499.66,649.055,649.968,649.858,619.677,649.987,679.986,679.901,2.048,399.869,449.567,449.693,489.552,598.226
10.0,399.98,283.646,399.92,499.975,499.946,499.92,499.975,649.055,649.968,649.858,619.677,649.987,679.986,679.901,0.416,399.869,449.567,191.961,499.166,598.226
11.0,399.98,283.646,399.92,499.975,499.946,499.92,499.975,649.055,649.968,649.858,619.677,649.987,679.986,679.901,0.416,399.869,449.567,428.091,499.166,598.226
12.0,399.98,283.646,399.92,499.975,499.946,499.92,499.975,649.055,649.968,649.858,619.677,649.987,679.986,679.901,155.659,399.869,404.469,170.359,499.166,598.226
13.0,399.98,283.646,399.92,499.975,499.946,499.92,499.975,649.055,649.968,649.858,619.677,649.987,679.986,679.901,333.92,399.869,278.529,381.97,499.166,598.226
14.0,399.98,283.646,399.92,499.975,499.946,499.92,499.975,649.055,649.968,649.858,619.361,649.987,679.986,679.901,333.92,399.869,58.791,124.238,499.166,598.226
15.0,399.98,283.646,399.92,499.975,223.311,499.92,499.975,649.055,649.968,649.858,417.607,649.987,679.986,679.901,333.92,399.869,12.202,25.785,499.166,598.226
16.0,399.98,283.646,399.92,499.975,65.899,499.92,463.889,649.055,272.451,649.858,277.757,649.987,679.986,679.901,333.92,399.869,2.532,268.285,499.166,598.226
17.0,399.98,283.646,399.92,499.975,12.104,499.92,75.0,649.055,49.016,649.858,53.378,465.294,679.986,679.901,333.92,399.869,2.532,55.681,499.166,598.226
18.0,233.313,116.979,399.698,166.642,12.104,111.032,75.0,289.445,49.016,577.129,8.76,115.637,679.986,322.758,127.734,193.684,2.532,11.556,499.166,598.226
19.0,66.647,40.0,177.476,30.608,12.104,50.0,75.0,65.0,49.016,156.077,1.438,17.805,603.593,51.624,62.763,43.658,2.532,235.242,387.5,481.889
20.0,17.642,40.0,40.0,5.622,2.223,50.0,12.126,65.0,8.818,65.0,0.236,2.742,425.143,8.257,62.763,9.841,2.532,431.766,75.0,93.0
21.0,17.642,40.0,40.0,1.033,0.408,50.0,1.96,65.0,1.586,65.0,0.236,0.422,425.143,1.321,122.016,2.218,2.532,185.0,14.516,62.0
22.0,17.642,40.0,40.0,1.033,0.075,50.0,1.96,65.0,1.586,65.0,0.236,0.065,68.0,1.321,35.0,2.218,2.532,427.5,14.516,62.0
23.0,17.642,40.0,40.0,1.033,0.345,50.0,46.709,65.0,1.946,65.0,0.236,0.065,68.0,1.321,35.0,2.218,2.532,216.821,14.516,62.0
24.0,40.0,40.0,40.0,50.0,50.0,50.0,50.0,65.0,65.0,65.0,62.0,65.0,68.0,68.0,35.0,40.0,45.0,45.0,50.0,62.0
