resource,hour,generation
wind,1,8161.629999999997
solar,1,0.0
ng,1,23279.656000000014
coal,1,6678.556000000001
hydro,1,530.3000000000001
nuclear,1,5138.6
_discharge_bess,1,1147.02
_charge_bess,1,1454.4549999999997
curtailment,1,1751.6217199999996
wind,2,8774.312
solar,2,0.0
ng,2,23127.44600000001
coal,2,6527.241000000001
hydro,2,595.6
nuclear,2,5138.6
_discharge_bess,2,835.3
_charge_bess,2,1894.4599999999998
curtailment,2,1719.4637200000013
wind,3,8253.858000000002
solar,3,0.0
ng,3,23519.959000000013
coal,3,6490.429000000001
hydro,3,465.0
nuclear,3,5138.6
_discharge_bess,3,629.74
_charge_bess,3,1556.9569999999999
curtailment,3,1487.4093600000008
wind,4,8161.010000000004
solar,4,0.0
ng,4,22976.60200000001
coal,4,6287.340000000001
hydro,4,595.6
nuclear,4,5138.6
_discharge_bess,4,793.0
_charge_bess,4,836.4490000000001
curtailment,4,1092.6784600000003
wind,5,8313.162999999997
solar,5,0.0
ng,5,24240.49300000001
coal,5,6287.340000000001
hydro,5,526.2
nuclear,5,5138.6
_discharge_bess,5,280.077
_charge_bess,5,1100.034
curtailment,5,797.0292200000001
wind,6,8281.071
solar,6,0.0
ng,6,24739.94200000001
coal,6,6404.740000000001
hydro,6,595.6
nuclear,6,5138.6
_discharge_bess,6,250.0
_charge_bess,6,599.677
curtailment,6,397.30313999999987
wind,7,7583.6720000000005
solar,7,0.0
ng,7,26694.22500000001
coal,7,9173.719000000001
hydro,7,530.3000000000001
nuclear,7,5138.6
_discharge_bess,7,189.71900000000002
_charge_bess,7,290.63
curtailment,7,390.52575999999976
wind,8,6900.903000000001
solar,8,15.66
ng,8,28859.17000000001
coal,8,9545.835000000001
hydro,8,643.6
nuclear,8,5138.6
_discharge_bess,8,57.927
_charge_bess,8,41.819
curtailment,8,219.47450000000026
wind,9,6557.304999999997
solar,9,316.14800000000014
ng,9,29460.20900000001
coal,9,9472.101
hydro,9,443.6
nuclear,9,5138.6
_discharge_bess,9,7.802
_charge_bess,9,7.196
curtailment,9,55.593579999999555
wind,10,6441.848999999996
solar,10,795.2980000000002
ng,10,28398.50600000001
coal,10,9253.128
hydro,10,526.2
nuclear,10,5138.6
_discharge_bess,10,251.583
_charge_bess,10,10.664
curtailment,10,31.37361999999947
wind,11,5567.774999999998
solar,11,1217.8349999999998
ng,11,30506.10500000001
coal,11,8853.977
hydro,11,595.6
nuclear,11,5138.6
_discharge_bess,11,0.0
_charge_bess,11,243.433
curtailment,11,0.0013600000000746348
wind,12,4396.002999999998
solar,12,1367.173
ng,12,30703.034000000014
coal,12,7887.39
hydro,12,446.20000000000005
nuclear,12,5138.6
_discharge_bess,12,293.744
_charge_bess,12,160.045
curtailment,12,0.0017999999998403737
wind,13,3400.2820000000015
solar,13,1706.4859999999996
ng,13,31076.938000000013
coal,13,7853.353
hydro,13,515.6
nuclear,13,5138.6
_discharge_bess,13,122.162
_charge_bess,13,401.93
curtailment,13,-0.0002399999998637936
wind,14,2496.595
solar,14,1837.511
ng,14,31078.97800000001
coal,14,8285.899000000001
hydro,14,450.30000000000007
nuclear,14,5138.6
_discharge_bess,14,463.446
_charge_bess,14,0.0
curtailment,14,-0.0006200000000616823
wind,15,2017.1080000000002
solar,15,1602.7099999999998
ng,15,31948.95600000001
coal,15,8507.835000000001
hydro,15,380.90000000000003
nuclear,15,5138.6
_discharge_bess,15,581.3290000000001
_charge_bess,15,0.0
curtailment,15,-0.0025599999999987855
wind,16,1815.7830000000004
solar,16,1104.402
ng,16,33241.48000000001
coal,16,8719.668000000001
hydro,16,467.25
nuclear,16,5138.6
_discharge_bess,16,656.149
_charge_bess,16,250.0
curtailment,16,-0.001039999999950858
wind,17,1751.5239999999994
solar,17,497.76699999999994
ng,17,34300.473
coal,17,8935.697
hydro,17,443.6
nuclear,17,5138.6
_discharge_bess,17,1199.893
_charge_bess,17,0.0
curtailment,17,0.004779999999874773
wind,18,1984.1009999999997
solar,18,31.015
ng,18,35207.255999999994
coal,18,9308.493
hydro,18,643.6
nuclear,18,5138.6
_discharge_bess,18,2520.792
_charge_bess,18,0.0
curtailment,18,0.0021599999999809133
wind,19,2450.8810000000003
solar,19,0.0
ng,19,35136.32899999999
coal,19,8871.428
hydro,19,643.6
nuclear,19,5138.6
_discharge_bess,19,2062.498
_charge_bess,19,230.603
curtailment,19,-0.0029799999999635673
wind,20,2831.2199999999993
solar,20,0.0
ng,20,35045.18699999999
coal,20,8774.702000000001
hydro,20,574.2
nuclear,20,5138.6
_discharge_bess,20,1294.588
_charge_bess,20,202.602
curtailment,20,-0.00396000000011304
wind,21,3946.004
solar,21,0.0
ng,21,33210.339000000014
coal,21,8729.563
hydro,21,578.3000000000001
nuclear,21,5138.6
_discharge_bess,21,363.214
_charge_bess,21,61.086
curtailment,21,-0.004340000000299549
wind,22,5027.616999999999
solar,22,0.0
ng,22,30519.214000000007
coal,22,8979.166000000001
hydro,22,574.2
nuclear,22,5138.6
_discharge_bess,22,435.056
_charge_bess,22,250.0
curtailment,22,217.52318000000014
wind,23,5695.551999999999
solar,23,0.0
ng,23,28892.91800000001
coal,23,7731.977000000001
hydro,23,595.6
nuclear,23,5138.6
_discharge_bess,23,204.358
_charge_bess,23,50.42099999999999
curtailment,23,512.4624199999998
wind,24,6268.106999999999
solar,24,0.0
ng,24,27871.020000000008
coal,24,7460.787000000001
hydro,24,526.2
nuclear,24,5138.6
_discharge_bess,24,166.667
_charge_bess,24,527.1460000000001
curtailment,24,617.1684600000002
