Periods,Thermal variable cost,Discharging power cost,Charging power cost,Power shedding cost,Total Cost
1,516302.6848378792,10129.833999999999,-13252.72245,0.0,513179.7963878792
2,502109.5728224218,8827.73,-16010.806600000002,0.0,494926.49622242176
3,508154.0197940311,4487.1900000000005,-15583.119250000002,0.0,497058.0905440311
4,504199.7398822933,9512.5,-6135.422450000001,0.0,507576.81743229326
5,516533.48921729316,2380.6545,-11368.635,0.0,507545.50871729315
6,537922.5961472146,2575.0,-5844.3166,0.0,534653.2795472146
7,613448.8255134039,1367.5668,-2778.2323,0.0,612038.1600134039
8,664494.1780159413,438.5079,-406.10529999999994,0.0,664526.5806159412
9,670305.6822060123,56.1744,-71.3647,0.0,670290.4919060123
10,653370.4588998152,2586.3976,-120.6996,0.0,655836.1568998152
11,673747.2477482308,0.0,-2361.3001,0.0,671385.9476482308
12,664403.6110396371,3016.8144,-1120.3149999999998,0.0,666300.1104396372
13,662308.8332905702,1233.8362,-3402.5312,0.0,660140.1382905702
14,677129.2988427689,4730.9246,-0.0,0.0,681860.2234427689
15,693322.0468092515,6689.2081,-0.0,0.0,700011.2549092516
16,717301.8270115327,5646.0939,-2425.0,0.0,720522.9209115327
17,749912.9374554297,10530.757800000001,-0.0,0.0,760443.6952554297
18,776800.2922166942,20993.4118,-0.0,0.0,797793.7040166942
19,757333.1015514678,17094.4468,-2236.8491,0.0,772190.6992514678
20,754911.7803232751,11901.926499999998,-1965.2394,0.0,764848.4674232751
21,729744.9550415282,3667.4234,-427.602,0.0,732984.7764415282
22,676625.552875148,3414.2482,-2425.0,0.0,677614.801075148
23,632699.7102687169,2104.8874,-423.7064,0.0,634380.8912687169
24,607286.4368879858,1716.6701,-4729.18785,0.0,604273.9191379858
