periods,bus 1,bus 2,bus 3,bus 4,bus 5,bus 6,bus 7,bus 8,bus 9,bus 10,bus 11,bus 12,bus 13,bus 14,bus 15,bus 16,bus 17,bus 18,bus 19,bus 20,bus 21,bus 22,bus 23,bus 24,bus 25,bus 26,bus 27,bus 28,bus 29,bus 30,bus 31,bus 32,bus 33,bus 34,bus 35,bus 36,bus 37,bus 38,bus 39,bus 40,bus 41,bus 42,bus 43,bus 44,bus 45,bus 46,bus 47,bus 48,bus 49,bus 50,bus 51,bus 52,bus 53,bus 54,bus 55,bus 56,bus 57,bus 58,bus 59,bus 60,bus 61,bus 62,bus 63,bus 64,bus 65,bus 66,bus 67,bus 68,bus 69,bus 70,bus 71,bus 72,bus 73,bus 74,bus 75,bus 76,bus 77,bus 78,bus 79,bus 80,bus 81,bus 82,bus 83,bus 84,bus 85,bus 86,bus 87,bus 88,bus 89,bus 90,bus 91,bus 92,bus 93,bus 94,bus 95,bus 96,bus 97,bus 98,bus 99,bus 100,bus 101,bus 102,bus 103,bus 104,bus 105,bus 106,bus 107,bus 108,bus 109,bus 110,bus 111,bus 112,bus 113,bus 114,bus 115,bus 116,bus 117,bus 118,bus 119,bus 120
1.0,0.0,-8.938141604040842,-4.698253920072751,-3.896113006889598,-5.901465289847479,-7.219268218648373,-0.5156620156177408,-9.854874076250159,-5.443099053742821,-4.984732817638162,-1.7188733853924696,-13.407212406061266,-10.313240312354818,-7.563042895726867,-9.969465635276324,-9.625690958197831,-5.729577951308232,-9.91216985576324,-8.307888029396937,-8.021409131831525,-10.255944532841735,-10.198648753328653,-10.255944532841735,-5.67228217179515,-10.82890232797256,-10.599719209920229,-10.198648753328653,-10.141352973815572,-11.172677005051053,-8.651662706475431,-9.339212060632418,-6.589014644004467,-8.594366926962348,-7.333859777674537,-11.000789666511807,-10.084057194302488,-10.084057194302488,-8.193296470370772,-10.313240312354818,-10.026761414789405,-10.084057194302488,-9.682986737710912,-10.485127650894064,-10.198648753328653,-10.427831871380983,-2.291831180523293,-8.651662706475431,-11.000789666511807,-7.677634454753032,-10.198648753328653,-10.3705360918679,-10.485127650894064,-10.198648753328653,-10.3705360918679,-8.365183808910018,-9.797578296737077,-10.141352973815572,-9.854874076250159,-11.058085446024888,-10.886198107485642,-8.995437383553925,-10.82890232797256,-6.818197762056796,-7.563042895726867,-9.052733163067007,-9.969465635276324,-10.3705360918679,-10.542423430407146,-10.599719209920229,-10.82890232797256,-8.193296470370772,-10.943493886998725,-11.000789666511807,-9.281916281119337,-9.56839517868475,-9.625690958197831,-10.943493886998725,-10.943493886998725,-10.255944532841735,-9.854874076250159,-8.823550045014677,-7.391155557187619,-9.167324722093172,-7.16197243913529,-9.511099399171666,-6.818197762056796,-8.422479588423101,-2.864788975654116,-8.651662706475431,-8.708958485988513,-8.307888029396937,-9.167324722093172,-9.281916281119337,-9.224620501606255,-9.396507840145501,-8.422479588423101,-9.224620501606255,-8.250592249883853,-7.62033867523995,-7.219268218648373,-8.594366926962348,-8.995437383553925,-8.250592249883853,-8.365183808910018,-9.11002894258009,-8.365183808910018,-7.047380880109126,-7.276563998161455,-7.276563998161455,-6.990085100596044,-9.224620501606255,-9.682986737710912,-9.281916281119337,-9.396507840145501,-7.563042895726867,-9.625690958197831,-6.818197762056796,-4.411775022507339,-9.797578296737077,-9.740282517223996
2.0,0.0,-8.995437383553925,1.088619810748564,1.7188733853924696,-5.901465289847479,-7.276563998161455,1.8907607239317168,-9.91216985576324,-5.500394833255903,1.1459155902616465,-1.3178029288008932,-13.521803965087427,-10.485127650894064,-7.276563998161455,-10.141352973815572,-9.740282517223996,-5.500394833255903,-9.969465635276324,-8.365183808910018,-7.792226013779196,-10.485127650894064,-10.313240312354818,-10.3705360918679,-5.328507494716655,-10.485127650894064,-10.3705360918679,-10.198648753328653,-10.141352973815572,-10.714310768946394,-8.537071147449266,-9.281916281119337,-7.16197243913529,-8.193296470370772,-7.276563998161455,-10.599719209920229,-10.141352973815572,-10.198648753328653,-8.250592249883853,-10.485127650894064,-10.141352973815572,-9.854874076250159,-9.740282517223996,-10.485127650894064,-10.255944532841735,-10.255944532841735,-1.948056503444799,-8.708958485988513,-10.599719209920229,-7.505747116213785,-10.255944532841735,-10.485127650894064,-10.198648753328653,-10.313240312354818,-10.542423430407146,-7.849521793292279,-9.167324722093172,-9.453803619658585,-9.224620501606255,-10.65701498943331,-10.542423430407146,-8.880845824527759,-10.427831871380983,-6.703606203030633,-7.333859777674537,-8.651662706475431,-9.281916281119337,-10.026761414789405,-10.198648753328653,-10.255944532841735,-10.485127650894064,-7.563042895726867,-10.485127650894064,-10.599719209920229,-9.052733163067007,-8.938141604040842,-9.052733163067007,-10.599719209920229,-10.542423430407146,-9.511099399171666,-9.224620501606255,-8.880845824527759,-7.448451336700702,-9.224620501606255,-7.276563998161455,-9.56839517868475,-6.875493541569878,-8.479775367936183,-2.9220847551671985,-8.708958485988513,-8.766254265501596,-8.422479588423101,-9.224620501606255,-9.339212060632418,-9.281916281119337,-9.453803619658585,-8.479775367936183,-9.281916281119337,-8.307888029396937,-7.62033867523995,-7.276563998161455,-8.651662706475431,-8.995437383553925,-8.307888029396937,-8.479775367936183,-9.167324722093172,-8.422479588423101,-7.104676659622208,-7.333859777674537,-7.333859777674537,-7.047380880109126,-9.224620501606255,-9.625690958197831,-9.281916281119337,-9.281916281119337,-7.563042895726867,-9.339212060632418,-6.818197762056796,-4.411775022507339,-9.56839517868475,-9.682986737710912
3.0,0.0,-8.307888029396937,-6.703606203030633,-5.614986392282068,-5.271211715203573,-6.6463104235175505,-0.17188733853924698,-9.281916281119337,-4.870141258611998,-7.276563998161455,-1.2032113697747289,-13.636395524113592,-9.797578296737077,-6.932789321082962,-9.453803619658585,-9.052733163067007,-5.099324376664327,-9.339212060632418,-7.677634454753032,-7.333859777674537,-9.740282517223996,-9.625690958197831,-9.682986737710912,-5.042028597151244,-10.084057194302488,-9.854874076250159,-9.625690958197831,-9.56839517868475,-10.313240312354818,-7.964113352318444,-8.708958485988513,-5.844169510334397,-7.849521793292279,-6.703606203030633,-10.198648753328653,-9.453803619658585,-9.453803619658585,-7.62033867523995,-9.740282517223996,-9.453803619658585,-9.396507840145501,-9.11002894258009,-9.854874076250159,-9.56839517868475,-9.740282517223996,-1.8907607239317168,-8.078704911344607,-10.255944532841735,-6.990085100596044,-9.56839517868475,-9.797578296737077,-9.740282517223996,-9.625690958197831,-9.854874076250159,-7.677634454753032,-8.938141604040842,-9.224620501606255,-8.995437383553925,-10.542423430407146,-10.3705360918679,-8.880845824527759,-10.313240312354818,-6.6463104235175505,-7.219268218648373,-8.365183808910018,-9.052733163067007,-9.91216985576324,-10.084057194302488,-10.198648753328653,-10.3705360918679,-7.333859777674537,-10.313240312354818,-10.542423430407146,-8.938141604040842,-8.708958485988513,-8.823550045014677,-10.485127650894064,-10.485127650894064,-9.281916281119337,-8.995437383553925,-8.938141604040842,-7.505747116213785,-9.281916281119337,-7.333859777674537,-9.625690958197831,-6.990085100596044,-8.594366926962348,-2.9793805346802804,-8.766254265501596,-8.823550045014677,-8.479775367936183,-9.281916281119337,-9.396507840145501,-9.339212060632418,-9.453803619658585,-8.537071147449266,-9.339212060632418,-8.365183808910018,-7.677634454753032,-7.333859777674537,-8.708958485988513,-9.052733163067007,-8.365183808910018,-8.537071147449266,-9.11002894258009,-8.537071147449266,-7.219268218648373,-7.391155557187619,-7.391155557187619,-7.16197243913529,-9.224620501606255,-9.052733163067007,-8.766254265501596,-8.766254265501596,-7.16197243913529,-8.938141604040842,-6.302535746439056,-3.838817227376516,-9.11002894258009,-9.625690958197831
4.0,0.0,-9.167324722093172,-0.7448451336700701,-0.2864788975654116,-6.187944187412891,-7.448451336700702,1.2032113697747289,-10.084057194302488,-5.729577951308232,-1.4896902673401402,-1.432394487827058,-14.896902673401405,-10.599719209920229,-7.276563998161455,-10.255944532841735,-9.91216985576324,-5.614986392282068,-10.141352973815572,-8.594366926962348,-7.792226013779196,-10.65701498943331,-10.485127650894064,-10.542423430407146,-5.500394833255903,-10.714310768946394,-10.599719209920229,-10.3705360918679,-10.3705360918679,-10.886198107485642,-8.479775367936183,-9.339212060632418,-7.219268218648373,-8.422479588423101,-7.448451336700702,-10.82890232797256,-10.313240312354818,-10.313240312354818,-8.365183808910018,-10.599719209920229,-10.313240312354818,-10.141352973815572,-9.854874076250159,-10.714310768946394,-10.427831871380983,-10.485127650894064,-2.4064227395494577,-8.880845824527759,-10.82890232797256,-7.563042895726867,-10.427831871380983,-10.65701498943331,-10.3705360918679,-10.485127650894064,-10.714310768946394,-8.193296470370772,-9.396507840145501,-9.682986737710912,-9.396507840145501,-10.771606548459477,-10.542423430407146,-9.91216985576324,-10.255944532841735,-7.62033867523995,-8.078704911344607,-8.995437383553925,-9.511099399171666,-10.255944532841735,-10.313240312354818,-10.599719209920229,-10.65701498943331,-7.7349302342661135,-10.599719209920229,-10.82890232797256,-9.453803619658585,-9.167324722093172,-9.281916281119337,-10.65701498943331,-10.714310768946394,-9.740282517223996,-9.396507840145501,-10.084057194302488,-8.651662706475431,-10.427831871380983,-8.651662706475431,-10.771606548459477,-8.193296470370772,-9.682986737710912,-4.182591904455009,-9.91216985576324,-9.969465635276324,-9.625690958197831,-10.427831871380983,-10.542423430407146,-10.485127650894064,-10.599719209920229,-9.682986737710912,-10.485127650894064,-9.511099399171666,-8.823550045014677,-8.479775367936183,-9.854874076250159,-10.198648753328653,-9.56839517868475,-9.625690958197831,-10.313240312354818,-9.625690958197831,-8.422479588423101,-8.479775367936183,-8.537071147449266,-8.307888029396937,-10.3705360918679,-9.91216985576324,-9.625690958197831,-9.56839517868475,-8.13600069085769,-9.682986737710912,-7.276563998161455,-4.755549699585833,-9.854874076250159,-10.65701498943331
5.0,0.0,-8.823550045014677,3.838817227376516,2.864788975654116,-5.844169510334397,-7.104676659622208,2.177239621497128,-9.740282517223996,-5.443099053742821,2.1199438419840457,-1.3750987083139758,-14.725015334862157,-10.255944532841735,-7.7349302342661135,-9.91216985576324,-9.56839517868475,-5.500394833255903,-9.854874076250159,-8.250592249883853,-8.021409131831525,-10.198648753328653,-10.141352973815572,-10.198648753328653,-5.385803274229739,-10.599719209920229,-10.3705360918679,-10.026761414789405,-10.141352973815572,-10.771606548459477,-8.537071147449266,-9.167324722093172,-7.104676659622208,-8.307888029396937,-7.16197243913529,-10.714310768946394,-9.969465635276324,-9.969465635276324,-8.13600069085769,-10.255944532841735,-9.91216985576324,-9.969465635276324,-9.56839517868475,-10.427831871380983,-10.084057194302488,-10.255944532841735,-2.291831180523293,-8.594366926962348,-10.714310768946394,-7.505747116213785,-10.084057194302488,-10.313240312354818,-10.255944532841735,-10.084057194302488,-10.313240312354818,-8.13600069085769,-9.339212060632418,-9.625690958197831,-9.339212060632418,-10.714310768946394,-10.485127650894064,-9.797578296737077,-10.198648753328653,-7.505747116213785,-7.964113352318444,-8.880845824527759,-9.453803619658585,-10.198648753328653,-10.255944532841735,-10.542423430407146,-10.599719209920229,-7.7349302342661135,-10.542423430407146,-10.771606548459477,-9.339212060632418,-9.11002894258009,-9.224620501606255,-10.599719209920229,-10.65701498943331,-9.682986737710912,-9.339212060632418,-9.969465635276324,-8.479775367936183,-10.313240312354818,-8.479775367936183,-10.714310768946394,-8.021409131831525,-9.625690958197831,-4.010704565915763,-9.797578296737077,-9.854874076250159,-9.511099399171666,-10.313240312354818,-10.427831871380983,-10.427831871380983,-10.485127650894064,-9.56839517868475,-10.3705360918679,-9.396507840145501,-8.651662706475431,-8.365183808910018,-9.740282517223996,-10.084057194302488,-9.396507840145501,-9.511099399171666,-10.084057194302488,-9.511099399171666,-8.193296470370772,-8.307888029396937,-8.422479588423101,-8.193296470370772,-10.255944532841735,-9.682986737710912,-9.396507840145501,-9.396507840145501,-7.849521793292279,-9.511099399171666,-6.990085100596044,-4.469070802020421,-9.740282517223996,-10.542423430407146
6.0,0.0,-7.62033867523995,8.880845824527759,7.276563998161455,-4.755549699585833,-5.844169510334397,3.552338329811104,-8.537071147449266,-4.354479242994256,7.505747116213785,-0.9740282517223995,-14.381240657783662,-8.880845824527759,-6.41712730546522,-8.651662706475431,-8.365183808910018,-4.698253920072751,-8.651662706475431,-7.16197243913529,-6.7609019825437136,-8.823550045014677,-8.880845824527759,-8.938141604040842,-4.8128454790989155,-10.026761414789405,-9.56839517868475,-8.708958485988513,-9.167324722093172,-10.255944532841735,-7.333859777674537,-7.964113352318444,-6.073352628386726,-7.7349302342661135,-6.073352628386726,-10.198648753328653,-8.708958485988513,-8.766254265501596,-6.932789321082962,-8.938141604040842,-8.708958485988513,-9.224620501606255,-8.307888029396937,-9.396507840145501,-8.880845824527759,-9.396507840145501,-1.776169164905552,-7.391155557187619,-10.141352973815572,-6.41712730546522,-8.938141604040842,-9.052733163067007,-9.56839517868475,-8.823550045014677,-9.052733163067007,-7.792226013779196,-8.938141604040842,-9.281916281119337,-8.995437383553925,-10.3705360918679,-10.084057194302488,-9.56839517868475,-9.797578296737077,-7.276563998161455,-7.7349302342661135,-8.479775367936183,-9.11002894258009,-9.854874076250159,-9.91216985576324,-10.255944532841735,-10.255944532841735,-7.333859777674537,-10.198648753328653,-10.427831871380983,-9.052733163067007,-8.766254265501596,-8.880845824527759,-10.255944532841735,-10.313240312354818,-9.339212060632418,-8.995437383553925,-9.91216985576324,-8.193296470370772,-10.198648753328653,-8.13600069085769,-10.599719209920229,-7.7349302342661135,-9.511099399171666,-3.7815214478634336,-9.740282517223996,-9.740282517223996,-9.453803619658585,-10.198648753328653,-10.313240312354818,-10.313240312354818,-10.427831871380983,-9.511099399171666,-10.313240312354818,-9.339212060632418,-8.307888029396937,-8.250592249883853,-9.682986737710912,-9.969465635276324,-9.224620501606255,-9.453803619658585,-9.854874076250159,-9.453803619658585,-7.964113352318444,-8.021409131831525,-8.365183808910018,-8.078704911344607,-10.084057194302488,-8.766254265501596,-8.537071147449266,-8.594366926962348,-7.16197243913529,-8.880845824527759,-6.187944187412891,-3.552338329811104,-9.11002894258009,-10.255944532841735
7.0,0.0,-5.213915935690491,9.740282517223996,8.13600069085769,-2.4637185190625397,-3.6096341093241864,3.953408786402681,-6.245239966925974,-2.0626480624709633,8.537071147449266,-0.34377467707849396,-11.917522138721122,-6.703606203030633,-4.2398876839680915,-6.474423084978302,-6.016056848873643,-3.036676314193363,-6.130648407899808,-4.870141258611998,-4.698253920072751,-6.589014644004467,-6.6463104235175505,-6.703606203030633,-3.437746770784939,-7.047380880109126,-6.245239966925974,-6.531718864491385,-5.67228217179515,-7.448451336700702,-5.328507494716655,-5.901465289847479,-3.6096341093241864,-5.844169510334397,-3.7815214478634336,-6.932789321082962,-6.474423084978302,-6.531718864491385,-4.640958140559668,-6.703606203030633,-6.474423084978302,-4.125296124941927,-6.245239966925974,-6.302535746439056,-6.531718864491385,-5.901465289847479,-0.6875493541569879,-5.042028597151244,-7.333859777674537,-4.5263665815335035,-6.359831525952138,-6.7609019825437136,-6.875493541569878,-6.589014644004467,-6.818197762056796,-5.901465289847479,-7.333859777674537,-7.677634454753032,-7.505747116213785,-9.682986737710912,-9.511099399171666,-7.219268218648373,-9.396507840145501,-5.042028597151244,-5.614986392282068,-5.729577951308232,-7.505747116213785,-9.11002894258009,-9.167324722093172,-9.396507840145501,-9.56839517868475,-5.844169510334397,-9.396507840145501,-9.740282517223996,-8.021409131831525,-7.276563998161455,-7.391155557187619,-9.56839517868475,-9.625690958197831,-7.7349302342661135,-7.505747116213785,-7.333859777674537,-5.901465289847479,-7.7349302342661135,-5.614986392282068,-8.13600069085769,-5.443099053742821,-6.875493541569878,-1.432394487827058,-7.16197243913529,-7.16197243913529,-6.875493541569878,-7.677634454753032,-7.792226013779196,-7.792226013779196,-7.906817572805362,-6.7609019825437136,-7.792226013779196,-6.703606203030633,-5.958761069360561,-5.67228217179515,-7.104676659622208,-7.505747116213785,-6.589014644004467,-6.875493541569878,-7.333859777674537,-6.875493541569878,-5.67228217179515,-5.844169510334397,-5.7868737308213145,-5.500394833255903,-7.505747116213785,-4.640958140559668,-5.042028597151244,-3.0939720937064457,-4.755549699585833,-2.864788975654116,-3.3804509912718568,-1.088619810748564,-3.20856365273261,-7.276563998161455
8.0,0.0,-4.411775022507339,7.906817572805362,6.703606203030633,-1.7188733853924696,-2.5783100780887045,3.6096341093241864,-5.213915935690491,-1.260507149287811,6.932789321082962,-0.22918311805232927,-12.146705256773451,-5.271211715203573,-3.036676314193363,-5.328507494716655,-4.984732817638162,-2.3491269600363753,-5.099324376664327,-4.010704565915763,-3.3231552117587753,-5.385803274229739,-5.557690612768986,-5.614986392282068,-3.151267873219528,-6.818197762056796,-5.67228217179515,-5.271211715203573,-4.927437038125079,-7.276563998161455,-3.6669298888372683,-3.6669298888372683,-2.4637185190625397,-5.67228217179515,-2.864788975654116,-6.6463104235175505,-5.443099053742821,-5.443099053742821,-3.6669298888372683,-5.614986392282068,-5.443099053742821,-3.6096341093241864,-3.2658594322456924,-5.443099053742821,-5.500394833255903,-5.156620156177409,-0.6302535746439055,-4.068000345428845,-7.047380880109126,-3.3231552117587753,-5.213915935690491,-5.67228217179515,-6.474423084978302,-5.500394833255903,-5.614986392282068,-5.958761069360561,-7.333859777674537,-7.7349302342661135,-7.563042895726867,-9.625690958197831,-9.339212060632418,-7.448451336700702,-9.052733163067007,-5.328507494716655,-5.7868737308213145,-5.614986392282068,-7.563042895726867,-9.052733163067007,-9.052733163067007,-9.453803619658585,-9.511099399171666,-5.901465289847479,-9.339212060632418,-9.682986737710912,-8.078704911344607,-7.333859777674537,-7.505747116213785,-9.453803619658585,-9.625690958197831,-7.792226013779196,-7.563042895726867,-7.563042895726867,-6.130648407899808,-8.021409131831525,-5.901465289847479,-8.422479588423101,-5.729577951308232,-7.047380880109126,-1.7188733853924696,-7.391155557187619,-7.391155557187619,-7.047380880109126,-7.964113352318444,-8.078704911344607,-8.078704911344607,-8.193296470370772,-6.932789321082962,-8.078704911344607,-6.875493541569878,-6.245239966925974,-5.958761069360561,-7.219268218648373,-7.792226013779196,-6.875493541569878,-7.104676659622208,-7.505747116213785,-7.047380880109126,-5.901465289847479,-6.073352628386726,-6.016056848873643,-5.729577951308232,-7.677634454753032,-4.068000345428845,-4.469070802020421,-2.6929016371148693,-4.411775022507339,-2.177239621497128,-2.9220847551671985,-0.45836623610465854,-2.6356058576017865,-7.391155557187619
9.0,0.0,-5.844169510334397,3.7815214478634336,3.3231552117587753,-3.036676314193363,-4.010704565915763,2.5783100780887045,-6.703606203030633,-2.6356058576017865,3.0939720937064457,-0.6302535746439055,-12.605071492878112,-6.703606203030633,-4.354479242994256,-6.703606203030633,-6.41712730546522,-3.3231552117587753,-6.474423084978302,-5.328507494716655,-4.698253920072751,-6.818197762056796,-6.990085100596044,-7.047380880109126,-3.953408786402681,-7.792226013779196,-6.818197762056796,-6.703606203030633,-6.187944187412891,-8.193296470370772,-5.099324376664327,-5.099324376664327,-3.7815214478634336,-6.589014644004467,-4.125296124941927,-7.677634454753032,-6.875493541569878,-6.875493541569878,-4.927437038125079,-7.047380880109126,-6.818197762056796,-4.698253920072751,-4.698253920072751,-6.7609019825437136,-6.932789321082962,-6.359831525952138,-1.604281826366305,-5.385803274229739,-8.078704911344607,-4.583662361046586,-6.703606203030633,-7.104676659622208,-7.563042895726867,-6.932789321082962,-7.047380880109126,-6.6463104235175505,-8.078704911344607,-8.422479588423101,-8.193296470370772,-10.084057194302488,-9.682986737710912,-8.021409131831525,-9.339212060632418,-5.901465289847479,-6.41712730546522,-6.41712730546522,-8.250592249883853,-9.453803619658585,-9.453803619658585,-9.854874076250159,-9.91216985576324,-6.589014644004467,-9.797578296737077,-10.084057194302488,-8.537071147449266,-8.021409131831525,-8.13600069085769,-9.91216985576324,-10.026761414789405,-8.422479588423101,-8.193296470370772,-8.021409131831525,-6.589014644004467,-8.479775367936183,-6.302535746439056,-8.880845824527759,-6.130648407899808,-7.563042895726867,-2.177239621497128,-7.849521793292279,-7.849521793292279,-7.505747116213785,-8.422479588423101,-8.537071147449266,-8.537071147449266,-8.708958485988513,-7.391155557187619,-8.537071147449266,-7.391155557187619,-6.703606203030633,-6.41712730546522,-7.7349302342661135,-8.250592249883853,-7.333859777674537,-7.563042895726867,-8.078704911344607,-7.563042895726867,-6.359831525952138,-6.531718864491385,-6.474423084978302,-6.187944187412891,-8.193296470370772,-5.156620156177409,-5.557690612768986,-3.6096341093241864,-5.328507494716655,-3.3231552117587753,-3.953408786402681,-1.6615776058793876,-3.7815214478634336,-7.964113352318444
10.0,0.0,-9.224620501606255,-1.432394487827058,-1.088619810748564,-6.187944187412891,-7.505747116213785,1.1459155902616465,-10.141352973815572,-5.729577951308232,-1.948056503444799,-1.432394487827058,-13.636395524113592,-10.3705360918679,-7.792226013779196,-10.026761414789405,-9.682986737710912,-5.557690612768986,-9.682986737710912,-8.479775367936183,-8.307888029396937,-10.198648753328653,-10.313240312354818,-10.3705360918679,-5.557690612768986,-9.740282517223996,-9.396507840145501,-10.313240312354818,-8.995437383553925,-10.026761414789405,-8.938141604040842,-9.453803619658585,-7.104676659622208,-8.422479588423101,-6.990085100596044,-9.682986737710912,-10.198648753328653,-10.198648753328653,-7.964113352318444,-10.3705360918679,-10.141352973815572,-7.219268218648373,-9.740282517223996,-9.740282517223996,-10.198648753328653,-9.11002894258009,-3.3804509912718568,-8.422479588423101,-10.084057194302488,-7.792226013779196,-9.91216985576324,-10.427831871380983,-9.682986737710912,-10.313240312354818,-10.427831871380983,-7.906817572805362,-9.281916281119337,-9.625690958197831,-9.339212060632418,-10.82890232797256,-10.427831871380983,-9.167324722093172,-10.026761414789405,-6.990085100596044,-7.563042895726867,-8.078704911344607,-9.453803619658585,-10.255944532841735,-10.255944532841735,-10.65701498943331,-10.714310768946394,-7.7349302342661135,-10.714310768946394,-10.886198107485642,-9.339212060632418,-9.167324722093172,-9.281916281119337,-10.65701498943331,-10.771606548459477,-9.625690958197831,-9.396507840145501,-9.052733163067007,-7.62033867523995,-9.511099399171666,-7.391155557187619,-9.969465635276324,-7.16197243913529,-8.594366926962348,-3.151267873219528,-8.880845824527759,-8.880845824527759,-8.594366926962348,-9.511099399171666,-9.625690958197831,-9.56839517868475,-9.740282517223996,-8.422479588423101,-9.625690958197831,-8.422479588423101,-7.7349302342661135,-7.448451336700702,-8.766254265501596,-9.339212060632418,-8.365183808910018,-8.594366926962348,-9.396507840145501,-8.594366926962348,-7.391155557187619,-7.563042895726867,-7.505747116213785,-7.219268218648373,-9.396507840145501,-7.906817572805362,-8.250592249883853,-6.245239966925974,-7.677634454753032,-6.073352628386726,-6.531718864491385,-4.5263665815335035,-6.359831525952138,-9.453803619658585
