periods,bus 1,bus 2,bus 3,bus 4,bus 5,bus 6,bus 7,bus 8,bus 9,bus 10,bus 11,bus 12,bus 13,bus 14,bus 15,bus 16,bus 17,bus 18,bus 19,bus 20,bus 21,bus 22,bus 23,bus 24,bus 25,bus 26,bus 27,bus 28,bus 29,bus 30,bus 31,bus 32,bus 33,bus 34,bus 35,bus 36,bus 37,bus 38,bus 39,bus 40,bus 41,bus 42,bus 43,bus 44,bus 45,bus 46,bus 47,bus 48,bus 49,bus 50,bus 51,bus 52,bus 53,bus 54,bus 55,bus 56,bus 57,bus 58,bus 59,bus 60,bus 61,bus 62,bus 63,bus 64,bus 65,bus 66,bus 67,bus 68,bus 69,bus 70,bus 71,bus 72,bus 73,bus 74,bus 75,bus 76,bus 77,bus 78,bus 79,bus 80,bus 81,bus 82,bus 83,bus 84,bus 85,bus 86,bus 87,bus 88,bus 89,bus 90,bus 91,bus 92,bus 93,bus 94,bus 95,bus 96,bus 97,bus 98,bus 99,bus 100,bus 101,bus 102,bus 103,bus 104,bus 105,bus 106,bus 107,bus 108,bus 109,bus 110,bus 111,bus 112,bus 113,bus 114,bus 115,bus 116,bus 117,bus 118,bus 119,bus 120
1.0,6.459,24.995,-0.0,0.427,22.42,-21.828,2.953,27.053,22.076,-0.377,6.599,17.35,17.806,1.534,16.505,19.113,10.573,17.803,20.136,5.545,17.987,19.831,19.539,8.699,16.953,16.009,19.499,18.227,17.34,9.219,13.559,-7.529,9.525,15.291,17.08,20.02,19.704,15.885,18.879,19.52,17.377,14.368,18.54,19.194,16.493,4.669,16.204,16.237,9.932,17.92,18.736,14.635,19.709,17.884,19.486,18.169,21.906,22.679,15.863,17.288,17.8,17.442,17.953,18.35,19.231,21.95,16.867,17.218,16.426,16.774,0.0,17.367,16.524,16.859,20.598,19.849,17.296,16.839,21.879,26.437,17.381,17.289,17.348,17.172,17.406,17.295,17.388,15.339,17.38,17.325,17.38,17.454,17.476,17.358,17.454,17.364,17.389,17.372,16.874,17.262,17.382,17.323,17.295,17.402,17.748,17.391,17.468,17.34,17.355,17.066,17.599,18.243,18.414,17.69,19.076,17.925,19.288,20.215,17.777,17.752
2.0,6.459,24.995,0.0,0.427,22.42,-21.828,2.953,27.053,22.076,-0.377,6.599,17.35,17.806,1.534,16.505,19.113,10.573,17.803,20.136,5.545,17.987,19.831,19.539,8.699,16.953,16.009,19.499,18.227,17.34,9.219,13.559,-7.529,9.525,15.291,17.08,20.02,19.704,15.885,18.879,19.52,17.377,14.368,18.54,19.194,16.493,4.669,16.204,16.237,9.932,17.92,18.736,14.635,19.709,17.884,19.486,18.169,21.906,22.679,15.863,17.288,17.8,17.442,17.953,18.35,19.231,21.95,16.867,17.218,16.426,16.774,0.0,17.367,16.524,16.859,20.598,19.849,17.296,16.839,21.879,26.437,17.381,17.289,17.348,17.172,17.406,17.295,17.388,15.339,17.38,17.325,17.38,17.454,17.476,17.358,17.454,17.364,17.389,17.372,16.874,17.262,17.382,17.323,17.295,17.402,17.748,17.391,17.468,17.34,17.355,17.066,17.599,18.243,18.414,17.69,19.076,17.925,19.288,20.215,17.777,17.752
3.0,6.459,24.995,0.0,0.427,22.42,-21.828,2.953,27.053,22.076,-0.377,6.599,17.35,17.806,1.534,16.505,19.113,10.573,17.803,20.136,5.545,17.987,19.831,19.539,8.699,16.953,16.009,19.499,18.227,17.34,9.219,13.559,-7.529,9.525,15.291,17.08,20.02,19.704,15.885,18.879,19.52,17.377,14.368,18.54,19.194,16.493,4.669,16.204,16.237,9.932,17.92,18.736,14.635,19.709,17.884,19.486,18.169,21.906,22.679,15.863,17.288,17.8,17.442,17.953,18.35,19.231,21.95,16.867,17.218,16.426,16.774,0.0,17.367,16.524,16.859,20.598,19.849,17.296,16.839,21.879,26.437,17.381,17.289,17.348,17.172,17.406,17.295,17.388,15.339,17.38,17.325,17.38,17.454,17.476,17.358,17.454,17.364,17.389,17.372,16.874,17.262,17.382,17.323,17.295,17.402,17.748,17.391,17.468,17.34,17.355,17.066,17.599,18.243,18.414,17.69,19.076,17.925,19.288,20.215,17.777,17.752
4.0,6.459,24.995,0.0,0.427,22.42,-21.828,2.953,27.053,22.076,-0.377,6.599,17.35,17.806,1.534,16.505,19.113,10.573,17.803,20.136,5.545,17.987,19.831,19.539,8.699,16.953,16.009,19.499,18.227,17.34,9.219,13.559,-7.529,9.525,15.291,17.08,20.02,19.704,15.885,18.879,19.52,17.377,14.368,18.54,19.194,16.493,4.669,16.204,16.237,9.932,17.92,18.736,14.635,19.709,17.884,19.486,18.169,21.906,22.679,15.863,17.288,17.8,17.442,17.953,18.35,19.231,21.95,16.867,17.218,16.426,16.774,0.0,17.367,16.524,16.859,20.598,19.849,17.296,16.839,21.879,26.437,17.381,17.289,17.348,17.172,17.406,17.295,17.388,15.339,17.38,17.325,17.38,17.454,17.476,17.358,17.454,17.364,17.389,17.372,16.874,17.262,17.382,17.323,17.295,17.402,17.748,17.391,17.468,17.34,17.355,17.066,17.599,18.243,18.414,17.69,19.076,17.925,19.288,20.215,17.777,17.752
5.0,6.459,24.995,-0.0,0.427,22.42,-21.828,2.953,27.053,22.076,-0.377,6.599,17.35,17.806,1.534,16.505,19.113,10.573,17.803,20.136,5.545,17.987,19.831,19.539,8.699,16.953,16.009,19.499,18.227,17.34,9.219,13.559,-7.529,9.525,15.291,17.08,20.02,19.704,15.885,18.879,19.52,17.377,14.368,18.54,19.194,16.493,4.669,16.204,16.237,9.932,17.92,18.736,14.635,19.709,17.884,19.486,18.169,21.906,22.679,15.863,17.288,17.8,17.442,17.953,18.35,19.231,21.95,16.867,17.218,16.426,16.774,0.0,17.367,16.524,16.859,20.598,19.849,17.296,16.839,21.879,26.437,17.381,17.289,17.348,17.172,17.406,17.295,17.388,15.339,17.38,17.325,17.38,17.454,17.476,17.358,17.454,17.364,17.389,17.372,16.874,17.262,17.382,17.323,17.295,17.402,17.748,17.391,17.468,17.34,17.355,17.066,17.599,18.243,18.414,17.69,19.076,17.925,19.288,20.215,17.777,17.752
6.0,6.652,25.014,0.366,0.78,22.508,-21.028,3.231,27.026,22.172,0.0,6.789,17.35,17.94,1.916,16.658,19.235,10.763,17.945,20.267,5.862,18.12,19.939,19.651,8.872,17.134,16.18,19.603,18.399,17.511,9.48,13.753,-6.994,9.662,15.453,17.26,20.126,19.816,16.042,19.001,19.636,17.565,14.552,18.695,19.315,16.664,4.916,16.357,16.412,10.167,18.06,18.861,14.799,19.817,18.019,19.687,18.312,22.073,22.842,15.915,17.263,18.303,17.442,18.375,18.714,19.445,22.118,16.968,17.211,17.346,16.87,0.0,17.352,16.666,17.079,20.746,19.992,17.22,16.939,22.047,26.635,18.026,17.308,18.003,17.172,18.042,17.335,18.031,16.769,18.025,17.988,18.025,18.076,18.093,18.01,18.076,18.014,18.031,18.02,17.681,17.946,18.027,17.984,17.967,18.041,18.292,18.033,17.392,17.327,18.008,17.813,18.172,18.431,18.63,17.891,19.372,18.134,19.518,20.381,17.992,18.238
7.0,11.393,25.014,6.073,6.431,22.965,-11.126,8.553,26.633,22.691,5.756,11.506,17.405,19.458,6.984,18.459,20.434,14.028,19.419,21.185,10.073,19.59,21.003,20.776,12.113,18.375,17.905,20.774,19.59,18.664,12.889,16.218,0.0,11.603,17.523,18.485,21.147,20.898,17.979,20.268,20.754,18.737,16.831,19.877,20.496,18.467,9.758,18.223,17.769,13.468,19.518,20.155,16.433,20.915,19.51,20.431,19.235,23.026,23.805,15.773,17.165,18.742,17.4,18.847,19.262,20.298,23.183,16.832,17.142,16.636,16.714,0.0,17.434,16.477,16.946,21.55,20.736,17.069,16.774,23.028,27.924,18.339,17.863,18.303,17.823,18.361,17.884,18.347,16.322,18.338,18.28,18.338,18.415,18.44,18.314,18.413,18.322,18.346,18.33,17.811,18.218,18.34,18.273,18.249,18.362,18.737,18.349,18.016,17.859,18.312,18.016,18.575,19.575,19.677,19.095,20.115,18.671,20.356,21.17,18.726,18.751
8.0,13.549,24.048,9.256,9.547,22.453,-4.383,11.272,25.319,22.239,8.998,13.64,17.694,19.658,9.868,18.871,20.417,15.389,19.609,21.055,12.296,19.76,20.873,20.694,13.531,18.868,18.38,20.699,19.658,19.133,14.505,17.118,4.384,12.407,18.124,18.945,20.99,20.794,18.487,20.291,20.678,19.026,17.599,19.901,20.464,18.914,12.144,18.68,18.287,14.957,19.694,20.201,17.003,20.805,19.696,20.984,19.731,23.584,24.368,15.781,17.173,19.907,17.442,19.778,20.092,20.822,23.773,16.843,17.148,16.731,16.723,0.0,17.539,16.489,16.965,22.047,21.21,17.048,16.784,23.594,28.639,19.725,17.86,19.689,17.765,19.723,17.912,19.74,18.662,19.725,19.676,19.726,19.776,19.79,19.699,19.764,19.718,19.721,19.721,19.334,19.643,19.725,19.656,19.655,19.747,19.972,19.734,17.849,17.772,19.708,19.505,19.982,19.48,19.765,18.671,20.498,18.671,20.478,21.066,18.913,20.591
9.0,14.172,22.629,10.805,11.032,21.361,0.0,12.379,23.636,21.191,10.604,14.244,17.694,19.142,11.311,18.511,19.764,15.626,19.13,20.248,13.248,19.226,20.118,19.976,13.848,18.69,18.142,19.968,19.277,18.97,15.014,17.101,6.947,12.488,17.899,18.764,20.209,20.054,18.198,19.656,19.964,18.795,17.49,19.441,19.803,18.63,13.027,18.355,18.126,15.348,19.199,19.586,16.869,20.061,19.177,20.75,19.627,23.442,24.237,15.793,17.18,19.041,17.442,19.135,19.557,20.587,23.651,16.858,17.155,16.776,16.739,0.0,17.513,16.507,16.988,21.91,21.07,17.061,16.8,23.455,28.506,18.67,17.841,18.648,17.787,18.692,17.863,18.674,17.297,18.67,18.631,18.67,18.722,18.735,18.655,18.728,18.657,18.677,18.663,18.304,18.583,18.671,18.631,18.608,18.685,18.904,18.677,17.91,17.799,18.651,18.438,18.823,19.277,19.352,18.993,19.656,18.671,19.781,20.262,18.762,18.961
10.0,13.55,21.93,10.523,10.724,20.774,0.443,11.916,22.865,20.619,10.345,13.615,18.22,18.618,11.122,18.012,19.232,15.13,18.631,19.728,12.966,18.701,19.559,19.424,13.396,18.507,17.728,19.397,18.882,18.819,14.656,16.651,6.978,12.195,17.412,18.575,19.648,19.503,17.705,19.119,19.419,18.547,17.029,19.003,19.27,18.157,12.54,17.857,17.907,14.942,18.695,19.055,16.56,19.5,18.655,20.773,19.599,23.446,24.249,15.958,17.372,19.164,17.618,19.22,19.623,20.563,23.632,17.004,17.315,16.869,16.896,0.0,17.679,16.658,17.079,21.936,21.102,17.286,16.961,23.452,28.487,18.874,17.568,18.862,17.428,18.892,17.594,18.875,18.144,18.873,18.85,18.873,18.904,18.91,18.865,18.913,18.864,18.879,18.869,18.651,18.818,18.874,18.854,18.836,18.882,18.991,18.878,17.554,17.513,18.861,18.727,18.957,18.906,19.011,18.671,19.386,18.671,19.429,19.804,18.692,19.036
