Periods,Thermal generation(MW),Renewable generation(MW),BESS discharging(MW),Demand response(MW),Load(MW),BESS charging(MW),Losses(MW),Error
1,35477.534,8912.069999999998,1862.9899999999998,0.0,43285.67471999998,2719.362,247.5572134085868,6.659142957232689e-5
2,35284.35,8828.869,1927.784,0.0,42885.36156999998,2942.271,213.36956442777262,0.0008655722450612302
3,35300.51,8891.103,1671.98,0.0,42744.273409999994,2895.148,224.1689712516531,0.0026187483531998623
4,35406.539000000004,8479.029000000006,1865.9050000000002,0.0,42905.199799999995,2620.1079999999997,226.16801785555063,-0.0028178555325268917
5,36064.995,8313.162999999997,2096.64,0.0,43462.11701999998,2800.5899999999997,212.08996069826355,0.0010193017486699318
6,37242.32399999999,8032.559,2164.667,0.0,44560.446899999966,2656.25,222.84932020769932,0.0037797923300502134
7,41297.23099999999,7780.976000000001,1541.623,0.0,48775.83883000001,1600.0,243.98863140827007,0.0025385917165294813
8,44267.893,7074.560000000002,1207.1390000000001,0.0,50896.596449999975,1431.654,221.34845177033898,-0.006901770310236088
9,44488.651999999995,6924.564999999997,875.895,0.0,51178.47307,900.0,210.64459249400414,-0.005662494017713016
10,43748.882,7268.520999999996,776.5,0.0,50578.58218000002,1005.638,209.68319956046903,-0.0003795604973504396
11,44850.962,6785.609999999995,250.0,0.0,51448.78887999998,250.0,187.78420330897916,-0.001083308964552998
12,44425.025,5763.175999999998,293.77,0.0,49893.10877000001,410.121,178.7435183562306,-0.002288356246310741
13,44387.764,5106.768000000001,365.121,0.0,49242.96449000001,450.0,166.68709902371896,0.001410976273717779
14,45204.44000000001,4334.106,463.464,0.0,49594.649589999986,250.704,156.65648195817727,-7.195815430804942e-5
15,46117.505000000005,3619.817999999999,690.0989999999999,0.0,50020.15599,250.0,157.2621710512262,0.0038389487804408873
16,47243.85600000001,2920.185000000002,979.2850000000001,0.0,50736.33427,250.0,156.9905917103989,0.0011382896172165147
17,49062.44900000001,2249.291000000001,1203.3980000000001,0.0,52108.317359999994,250.0,156.82419243713613,-0.0035524371234885166
18,49766.780000000006,2015.116,3306.4089999999997,0.0,54655.83870000001,250.0,182.46880070002763,-0.00250070002758207
19,49856.841,2450.8810000000003,2014.134,0.0,53898.30926000003,250.0,173.54183431651674,0.004905683452108178
20,49338.416000000005,2831.2199999999993,1535.858,0.0,53276.44257,250.0,179.04774097513567,0.003689024871135871
21,48070.89200000001,3946.004,250.0,0.0,51703.139670000004,365.525,198.22722473054134,0.004105269462485239
22,44962.135,5027.902999999999,683.821,0.0,50216.351369999946,250.0,207.50815369480236,-0.0005236947440891981
23,42563.452999999994,5695.551999999999,250.0,0.0,48012.03200999997,300.421,196.5546908615421,-0.0027008615255113
24,41210.096000000005,6268.959999999999,250.0,0.0,46703.93353000003,823.6030000000001,201.51737917330536,0.0020908266675405685
