periods,bess 11,bess 12,bess 13,bess 14,bess 15,bess 16,bess 17,bess 18,bess 19,bess 20,bess 21,bess 22,bess 23,bess 24,bess 25,bess 26,bess 27,bess 28,bess 29,bess 30
1.0,150.0,0.0,0.0,300.0,300.0,0.0,350.0,400.0,400.0,19.838,136.447,350.0,0.0,0.0,0.0,0.0,0.0,250.0,0.0,63.077
2.0,150.0,0.0,88.889,300.0,300.0,0.0,350.0,400.0,400.0,0.0,59.343,350.0,33.11,0.0,0.0,0.0,185.567,250.0,0.0,75.362
3.0,150.0,0.0,0.0,300.0,300.0,142.744,350.0,400.0,400.0,117.004,0.0,350.0,0.0,0.0,0.0,0.0,0.0,250.0,0.0,135.4
4.0,150.0,0.0,0.0,300.0,300.0,0.0,350.0,400.0,400.0,0.0,0.0,350.0,0.0,69.388,0.0,0.0,0.0,250.0,0.0,50.72
5.0,150.0,0.0,0.0,300.0,300.0,79.478,350.0,400.0,400.0,0.0,0.0,350.0,36.278,0.0,0.0,164.948,0.0,250.0,0.0,19.886
6.0,150.0,0.0,0.0,300.0,300.0,0.0,350.0,400.0,400.0,0.0,0.0,350.0,0.0,0.0,0.0,0.0,0.0,250.0,156.25,0.0
7.0,0.0,0.0,0.0,300.0,300.0,0.0,350.0,0.0,400.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,250.0,0.0,0.0
8.0,0.0,0.0,0.0,131.654,300.0,0.0,350.0,0.0,400.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,250.0,0.0,0.0
9.0,0.0,0.0,0.0,0.0,300.0,0.0,350.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,250.0,0.0,0.0
10.0,0.0,0.0,0.0,0.0,300.0,0.0,350.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,105.638,0.0,250.0,0.0,0.0
11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,250.0,0.0,0.0
12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,160.121,0.0,0.0,250.0,0.0,0.0
13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,200.0,0.0,0.0,250.0,0.0,0.0
14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.704,0.0,0.0,250.0,0.0,0.0
15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,250.0,0.0,0.0
16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,250.0,0.0,0.0
17.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,250.0,0.0,0.0
18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,250.0,0.0,0.0
19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,250.0,0.0,0.0
20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,250.0,0.0,0.0
21.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,115.525,0.0,0.0,250.0,0.0,0.0
22.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,250.0,0.0,0.0
23.0,0.0,0.0,0.0,0.0,50.421,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,250.0,0.0,0.0
24.0,44.444,0.0,0.0,55.556,5.135,0.0,55.556,0.0,72.222,0.0,65.263,66.327,0.0,69.388,0.0,41.237,46.392,250.0,52.083,0.0
