periods,bess 11,bess 12,bess 13,bess 14,bess 15,bess 16,bess 17,bess 18,bess 19,bess 20,bess 21,bess 22,bess 23,bess 24,bess 25,bess 26,bess 27,bess 28,bess 29,bess 30
1.0,150.0,0.0,0.0,300.0,55.477,0.0,148.5,400.0,301.713,0.0,0.0,350.0,0.0,0.0,0.0,0.0,0.0,157.3,0.0,0.0
2.0,106.5,0.0,0.0,6.0,210.796,0.0,350.0,254.488,400.0,0.0,0.0,350.0,0.0,0.0,0.0,0.0,0.0,250.0,0.0,0.0
3.0,0.0,0.0,0.0,300.0,300.0,0.0,217.0,160.193,94.787,0.0,0.0,350.0,0.0,0.0,0.0,0.0,0.0,250.0,0.0,0.0
4.0,150.0,0.0,0.0,186.0,135.726,0.0,283.5,305.819,324.0,0.0,0.0,230.86,0.0,0.0,0.0,0.0,0.0,250.0,0.0,0.0
5.0,93.0,0.0,0.0,243.0,243.0,0.0,283.5,324.0,324.0,0.0,0.0,336.14,0.0,0.0,0.0,0.0,0.0,250.0,0.0,0.0
6.0,121.5,0.0,0.0,243.0,243.0,0.0,283.5,324.0,324.0,0.0,0.0,336.14,0.0,0.0,39.527,0.0,0.0,250.0,0.0,0.0
7.0,0.0,0.0,0.0,243.0,243.0,0.0,283.5,0.0,324.0,0.0,0.0,0.0,0.0,0.0,198.123,0.0,0.0,250.0,0.0,0.0
8.0,0.0,0.0,0.0,106.639,243.0,0.0,283.5,0.0,324.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,250.0,0.0,0.0
9.0,0.0,0.0,0.0,0.0,243.0,0.0,283.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.395,0.0,250.0,0.0,0.0
10.0,0.0,0.0,0.0,0.0,243.0,0.0,283.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,250.0,0.0,0.0
11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,250.0,0.0,0.0
12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,43.77,0.0,0.0,0.0,0.0,0.0,0.0,250.0,0.0,0.0
13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,115.121,250.0,0.0,0.0
14.0,0.0,66.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,42.152,0.0,0.0,0.0,0.0,0.0,105.312,250.0,0.0,0.0
15.0,0.0,150.0,0.0,0.0,19.169,0.0,0.0,0.0,185.0,0.0,85.93,0.0,0.0,0.0,0.0,0.0,0.0,250.0,0.0,0.0
16.0,0.0,0.0,0.0,0.0,238.34,0.0,350.0,0.0,0.0,0.0,140.945,0.0,0.0,0.0,0.0,0.0,0.0,250.0,0.0,0.0
17.0,0.0,0.0,0.0,0.0,192.491,0.0,100.0,0.0,400.0,0.0,0.0,44.84,0.0,0.0,0.0,0.0,216.067,250.0,0.0,0.0
18.0,150.0,0.0,200.0,150.0,0.0,55.0,0.0,400.0,0.0,400.0,258.482,238.703,249.76,316.4,200.0,200.0,0.0,250.0,180.0,58.064
19.0,150.0,0.0,90.97,0.0,0.0,350.0,0.0,126.5,0.0,0.0,17.722,266.38,0.0,350.0,130.426,188.0,0.0,250.0,0.0,94.136
20.0,60.0,0.0,33.03,300.0,0.0,0.0,0.0,0.0,0.0,155.75,0.0,87.078,0.0,0.0,0.0,0.0,0.0,250.0,300.0,350.0
21.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,250.0,0.0,0.0
22.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,350.0,0.0,83.821,0.0,0.0,250.0,0.0,0.0
23.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,250.0,0.0,0.0
24.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,250.0,0.0,0.0
