periods,bess 11,bess 12,bess 13,bess 14,bess 15,bess 16,bess 17,bess 18,bess 19,bess 20,bess 21,bess 22,bess 23,bess 24,bess 25,bess 26,bess 27,bess 28,bess 29,bess 30
1.0,248.333,280.0,320.0,236.667,408.359,300.0,500.0,370.556,479.763,538.847,563.624,570.857,612.0,612.0,245.0,240.0,270.0,395.335,350.0,366.769
2.0,265.0,280.0,400.0,500.0,444.141,300.0,426.111,447.791,395.319,538.847,620.0,556.714,644.448,612.0,245.0,240.0,450.0,380.103,350.0,434.595
3.0,400.0,280.0,400.0,436.667,380.807,428.47,500.0,629.799,650.0,650.0,620.0,542.571,644.448,612.0,245.0,240.0,450.0,364.871,350.0,556.454
4.0,368.333,280.0,400.0,500.0,500.0,428.47,500.0,650.0,650.0,650.0,620.0,650.0,644.448,680.0,245.0,240.0,450.0,349.639,350.0,602.102
5.0,400.0,280.0,400.0,500.0,500.0,500.0,500.0,650.0,650.0,650.0,620.0,650.0,680.0,680.0,245.0,400.0,450.0,334.407,350.0,620.0
6.0,400.0,280.0,400.0,500.0,500.0,500.0,500.0,650.0,650.0,650.0,620.0,650.0,680.0,680.0,204.25,400.0,450.0,319.175,500.0,620.0
7.0,400.0,280.0,400.0,500.0,500.0,500.0,500.0,650.0,650.0,650.0,620.0,650.0,680.0,680.0,0.0,400.0,450.0,303.943,500.0,620.0
8.0,400.0,280.0,400.0,500.0,500.0,500.0,500.0,650.0,650.0,650.0,620.0,650.0,680.0,680.0,0.0,400.0,450.0,288.711,500.0,620.0
9.0,400.0,280.0,400.0,500.0,500.0,500.0,500.0,650.0,650.0,650.0,620.0,650.0,680.0,680.0,0.0,297.531,450.0,273.479,500.0,620.0
10.0,400.0,280.0,400.0,500.0,500.0,500.0,500.0,650.0,650.0,650.0,620.0,650.0,680.0,680.0,0.0,400.0,450.0,258.247,500.0,620.0
11.0,400.0,280.0,400.0,500.0,500.0,500.0,500.0,650.0,650.0,650.0,620.0,650.0,680.0,680.0,0.0,400.0,450.0,243.015,500.0,620.0
12.0,400.0,280.0,400.0,500.0,500.0,500.0,500.0,650.0,650.0,650.0,573.926,650.0,680.0,680.0,155.317,400.0,450.0,227.784,500.0,620.0
13.0,400.0,280.0,400.0,500.0,500.0,500.0,500.0,650.0,650.0,650.0,573.926,650.0,680.0,680.0,349.317,400.0,331.319,212.552,500.0,620.0
14.0,400.0,206.667,400.0,500.0,500.0,500.0,500.0,650.0,650.0,650.0,529.556,650.0,680.0,680.0,350.0,400.0,222.749,197.32,500.0,620.0
15.0,400.0,40.0,400.0,500.0,478.701,500.0,500.0,650.0,444.444,650.0,439.103,650.0,680.0,680.0,350.0,400.0,222.749,182.088,500.0,620.0
16.0,400.0,40.0,400.0,500.0,213.879,500.0,111.111,650.0,444.444,650.0,290.74,650.0,680.0,680.0,350.0,400.0,222.749,166.856,500.0,620.0
17.0,400.0,40.0,400.0,500.0,0.0,500.0,0.0,650.0,0.0,650.0,290.74,604.245,680.0,680.0,350.0,400.0,0.0,151.624,500.0,620.0
18.0,233.333,40.0,177.778,333.333,0.0,438.889,0.0,205.556,0.0,228.947,18.654,360.671,425.143,357.143,143.814,193.814,0.0,136.392,312.5,555.484
19.0,66.667,40.0,76.7,333.333,0.0,50.0,0.0,65.0,0.0,228.947,0.0,88.855,425.143,0.0,9.355,0.0,0.0,121.16,312.5,450.889
20.0,0.0,40.0,40.0,0.0,0.0,50.0,0.0,65.0,0.0,65.0,0.0,0.0,425.143,0.0,9.355,0.0,0.0,105.928,0.0,62.0
21.0,0.0,40.0,40.0,0.0,0.0,50.0,0.0,65.0,0.0,65.0,0.0,0.0,425.143,0.0,121.414,0.0,0.0,90.696,0.0,62.0
22.0,0.0,40.0,40.0,0.0,0.0,50.0,0.0,65.0,0.0,65.0,0.0,0.0,68.0,0.0,35.0,0.0,0.0,75.464,0.0,62.0
23.0,0.0,40.0,40.0,0.0,45.379,50.0,0.0,65.0,0.0,65.0,0.0,0.0,68.0,0.0,35.0,0.0,0.0,60.232,0.0,62.0
24.0,40.0,40.0,40.0,50.0,50.0,50.0,50.0,65.0,65.0,65.0,62.0,65.0,68.0,68.0,35.0,40.0,45.0,45.0,50.0,62.0
