periods,gen 12875,gen 12876,gen 12877,gen 12878,gen 12879,gen 12880,gen 12881,gen 12882,gen 12883,gen 12884,gen 12885,gen 12886,gen 12893,gen 12896,gen 12897,gen 12898,gen 12899,gen 12910,gen 12911,gen 12912,gen 12913,gen 12914,gen 12918,gen 12919,gen 12922,gen 12925,gen 12926,gen 12927,gen 12928,gen 12929,gen 12933,gen 12934,gen 12935,gen 12936,gen 12937,gen 12947,gen 12948,gen 12949,gen 12950,gen 12951,gen 12952,gen 12953,gen 12954,gen 12958,gen 12959,gen 12960,gen 12961,gen 12962,gen 12963,gen 12964,gen 12965,gen 12966,gen 12967,gen 12968,gen 12969,gen 12970,gen 12971,gen 12972,gen 12973,gen 12974,gen 12975,gen 12976,gen 12979,gen 12980,gen 12981,gen 12982,gen 12983,gen 12984,gen 12985,gen 12986,gen 12987,gen 12988,gen 12992,gen 12993,gen 12994,gen 13000,gen 13025,gen 13034,gen 13035,gen 13040,gen 13041,gen 13042,gen 13043,gen 13054,gen 13055,gen 13056,gen 13079,gen 13080,gen 13084,gen 13085,gen 13116,gen 13161,gen 13162,gen 13163,gen 13164,gen 13165,gen 13166,gen 13237,gen 13238,gen 13239,gen 13240,gen 13308,gen 13309,gen 13310,gen 13311,gen 13312,gen 13313,gen 13384,gen 13405
1.0,0.0,2.842170943040401e-14,2.842170943040401e-14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.00019999999999242846,0.0,0.0,0.0,0.0,1.4210854715202004e-14,0.0,0.0,0.0,0.0,0.0,0.0,-0.0004000000000132786,0.0,0.0,179.0,96.9464,179.0,0.0002000000000066393,0.0,48.401599999999995,0.0,0.0,0.0,0.0,130.0972,206.63760000000002,0.0002000000000066393,0.0,0.0,0.0,0.0,0.0,0.0,-0.0002800000000320324,-0.0002800000000320324,-0.0002800000000320324,3.999999999848569e-5,3.999999999848569e-5,3.999999999848569e-5,3.999999999848569e-5,0.0,0.0,0.00039999999999906777,-0.00039999999999906777,0.0,0.0,1.4210854715202004e-14,1.4210854715202004e-14,0.0,0.0,0.0,0.0,0.00039999999999906777,0.00039999999999906777,0.0,0.0,0.0,0.0,0.0,0.0,1.4210854715202004e-14,0.00039999999999906777,0.0,-0.0004000000000132786,0.0,0.0,0.0,0.0002000000000066393,0.0,-1.4210854715202004e-14,-0.0004000000000132786,-2.842170943040401e-14,-0.0004000000000132786,0.0,0.0,0.0,0.0,161.1,-1.4210854715202004e-14,-0.00039999999999906777,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.0,1.4210854715202004e-14,0.0,0.0,0.0,1.4210854715202004e-14,1.4210854715202004e-14,0.0,2.842170943040401e-14,0.0,1.4210854715202004e-14,0.0002000000000066393,0.0,0.0,0.0,0.0,0.0,1.4210854715202004e-14,0.0,7.105427357601002e-15,1.4210854715202004e-14,1.4210854715202004e-14,0.0,148.1138,0.0,261.8,187.0,101.2792,187.0,-0.00019999999999242846,0.0,50.5648,149.6,59.466,0.0,0.0,135.9116,215.8728,-0.00019999999999242846,2.842170943040401e-14,0.0,0.0,1.4210854715202004e-14,0.0,0.0,0.00015999999999394277,0.00015999999999394277,0.00015999999999394277,0.00015999999999394277,0.00015999999999394277,0.00015999999999394277,0.00015999999999394277,7.105427357601002e-15,0.0,-0.00039999999999906777,0.0004000000000132786,0.0,1.4210854715202004e-14,0.0,0.0,0.0,1.4210854715202004e-14,0.0,7.105427357601002e-15,-0.0003999999999848569,-0.0003999999999848569,1.4210854715202004e-14,0.0,0.0,0.0,0.0,0.0,0.0,-0.00039999999999196234,1.4210854715202004e-14,-0.0002000000000066393,0.0,0.0,0.0,-0.0004000000000132786,0.0,0.0,-0.0002000000000066393,0.0,-0.0002000000000066393,0.0,0.0,0.0,0.0,168.3,0.0,-0.0002000000000066393,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3.0,1.4210854715202004e-14,2.842170943040401e-14,2.842170943040401e-14,0.0,1.4210854715202004e-14,1.4210854715202004e-14,0.0,0.0,0.0,0.0,0.0004000000000132786,0.0,0.0,0.0,0.0,0.0,1.4210854715202004e-14,0.0,0.0,1.4210854715202004e-14,0.0,1.4210854715202004e-14,-0.0002000000000066393,-2.842170943040401e-14,-2.842170943040401e-14,152.0,82.3232,152.0,-0.00039999999999906777,-1.4210854715202004e-14,41.10079999999999,0.0,0.0,8.881784197001252e-16,0.0,110.47359999999999,175.46880000000002,-0.00039999999999906777,0.0,0.0,0.0,2.842170943040401e-14,0.0,0.0,0.0003600000000005821,0.0003600000000005821,0.0003600000000005821,-0.0004799999999818283,-0.0004799999999818283,-0.0004799999999818283,-0.0004799999999818283,0.0,0.0,0.0002000000000066393,-0.0001999999999782176,2.842170943040401e-14,0.0,1.4210854715202004e-14,1.4210854715202004e-14,0.0,1.4210854715202004e-14,0.0,7.105427357601002e-15,0.0002000000000066393,0.0002000000000066393,1.4210854715202004e-14,0.0,0.0,1.4210854715202004e-14,0.0,0.0,1.4210854715202004e-14,0.0002000000000066393,1.4210854715202004e-14,-0.0002000000000066393,0.0,0.0,0.0,-0.0004000000000132786,0.0,0.0,-0.0002000000000066393,-1.4210854715202004e-14,-0.0002000000000066393,0.0,0.0,0.0,0.0,136.79999999999998,0.0,-0.0002000000000066393,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.00039999999999906777,1.4210854715202004e-14,0.0,0.0,0.0,0.0,1.4210854715202004e-14,1.4210854715202004e-14,7.105427357601002e-15,1.4210854715202004e-14,0.0,1.4210854715202004e-14,0.00039999999999906777,0.0,0.0,138.5,75.01160000000002,138.5,0.00039999999999906777,0.0,37.4504,1.4210854715202004e-14,7.105427357601002e-15,0.0,1.4210854715202004e-14,100.6618,159.88440000000003,0.0004000000000132786,2.842170943040401e-14,1.4210854715202004e-14,1.4210854715202004e-14,0.0,1.4210854715202004e-14,2.842170943040401e-14,0.00018000000000029104,0.00018000000000029104,0.00018000000000029104,-0.00021999999998456587,-0.00021999999998456587,-0.00021999999998456587,-0.00021999999998456587,0.0,1.4210854715202004e-14,-0.0002000000000066393,0.00020000000002085017,0.0,0.0,0.0,1.4210854715202004e-14,1.4210854715202004e-14,1.4210854715202004e-14,0.0,7.105427357601002e-15,-0.00019999999999242846,-0.00019999999999242846,1.4210854715202004e-14,0.0,0.0,1.4210854715202004e-14,0.0,0.0,1.4210854715202004e-14,-0.00019999999999242846,1.4210854715202004e-14,0.00039999999999906777,1.4210854715202004e-14,1.4210854715202004e-14,1.4210854715202004e-14,-0.0002000000000066393,1.4210854715202004e-14,1.4210854715202004e-14,0.00039999999999906777,0.0,0.00039999999999906777,0.0,-2.842170943040401e-14,-2.842170943040401e-14,0.0,124.65,1.4210854715202004e-14,0.00039999999999906777,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.00039999999999906777,0.0,7.105427357601002e-15,0.0,0.0,1.4210854715202004e-14,0.0,0.0,0.0,0.0,0.0,0.0,-1.4210854715202004e-14,-1.4210854715202004e-14,-2.842170943040401e-14,142.5,77.178,142.5,0.00039999999999906777,0.0,38.532,-1.4210854715202004e-14,0.0,0.0,0.0,103.56899999999999,164.502,0.00039999999999906777,0.0,0.0,-1.4210854715202004e-14,0.0,0.0,0.0,-0.00010000000003174137,-0.00010000000003174137,-0.00010000000003174137,-0.0003200000000020964,-0.0003200000000020964,-0.0003200000000020964,-0.0003200000000020964,0.0,0.0,-0.0002000000000066393,0.0002000000000066393,0.0,0.0,0.0,0.0,-1.4210854715202004e-14,0.0,0.0,0.0,-0.00019999999999953388,-0.00019999999999953388,0.0,7.105427357601002e-15,0.0,0.0,0.0,0.0,0.0,-0.00019999999999953388,0.0,-1.4210854715202004e-14,-1.4210854715202004e-14,0.0,0.0,-2.842170943040401e-14,0.0,-1.4210854715202004e-14,-1.4210854715202004e-14,0.0,-1.4210854715202004e-14,0.0,0.0,0.0,0.0,128.25,-1.4210854715202004e-14,-1.4210854715202004e-14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6.0,1.4210854715202004e-14,0.0,0.0,0.0,1.4210854715202004e-14,0.0,0.0,0.0,0.0,0.0,0.0004000000000061732,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.105427357601002e-15,-0.0004000000000132786,-1.4210854715202004e-14,0.0,146.5,79.3444,146.5,-0.00039999999999906777,0.0,39.61359999999999,-1.4210854715202004e-14,-7.105427357601002e-15,8.881784197001252e-16,0.0,0.00019999999999242846,102.01159999999999,-0.00039999999999906777,2.842170943040401e-14,0.0,-1.4210854715202004e-14,0.0,-1.4210854715202004e-14,0.0,-0.00038000000000693035,-0.00038000000000693035,-0.00038000000000693035,-0.00048000000001025,-0.00048000000001025,-0.00048000000001025,-0.00048000000001025,0.0,0.0,0.00019999999999242846,-0.00019999999999242846,1.4210854715202004e-14,1.4210854715202004e-14,0.0,1.4210854715202004e-14,-1.4210854715202004e-14,0.0,0.0,0.0,0.0002000000000066393,0.0002000000000066393,0.0,0.0,0.0,1.4210854715202004e-14,0.0,7.105427357601002e-15,1.4210854715202004e-14,0.0002000000000066393,0.0,-0.0004000000000132786,-1.4210854715202004e-14,-1.4210854715202004e-14,-1.4210854715202004e-14,0.0001999999999782176,-1.4210854715202004e-14,-1.4210854715202004e-14,-0.0004000000000132786,0.0,-0.0004000000000132786,0.0,2.842170943040401e-14,2.842170943040401e-14,0.0,131.85,-1.4210854715202004e-14,-0.0004000000000132786,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7.0,0.0,0.0,0.0,0.0,1.4210854715202004e-14,0.0,0.0,0.0,0.0,0.0,7.105427357601002e-15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.105427357601002e-15,-0.0004000000000132786,-1.4210854715202004e-14,0.0,0.0,77.9904,0.0,1.4210854715202004e-14,0.0,38.937599999999996,-1.4210854715202004e-14,-7.105427357601002e-15,0.0,0.0,0.0001999999999782176,-0.0004000000000132786,0.0,0.0,0.0,-1.4210854715202004e-14,0.0,-1.4210854715202004e-14,0.0,-7.999999999697138e-5,-7.999999999697138e-5,-7.999999999697138e-5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4210854715202004e-14,1.4210854715202004e-14,0.0,0.0,1.4210854715202004e-14,-1.4210854715202004e-14,0.0,0.0,0.0,7.105427357601002e-15,7.105427357601002e-15,0.0,0.0,0.0,1.4210854715202004e-14,0.0,0.0,1.4210854715202004e-14,7.105427357601002e-15,0.0,-0.0004000000000132786,-1.4210854715202004e-14,-1.4210854715202004e-14,0.0,0.0001999999999782176,0.0,-1.4210854715202004e-14,-0.0004000000000132786,0.0,-0.0004000000000132786,0.0,0.0,0.0,0.0,76.29599999999999,-1.4210854715202004e-14,-0.00039999999999906777,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8.0,0.0,2.842170943040401e-14,2.842170943040401e-14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.00019999999999242846,7.105427357601002e-15,0.0,0.0,0.0,7.105427357601002e-15,0.0,7.105427357601002e-15,7.105427357601002e-15,0.0,7.105427357601002e-15,7.105427357601002e-15,0.00039999999999906777,1.4210854715202004e-14,0.0,0.0,61.4716,0.0,0.00019999999999242846,0.0,0.00039999999999551505,0.0,0.0,8.881784197001252e-16,7.105427357601002e-15,-0.0002000000000066393,0.0004000000000132786,0.0002000000000066393,2.842170943040401e-14,7.105427357601002e-15,0.0,0.0,1.4210854715202004e-14,0.0,0.00018000000000029104,0.00018000000000029104,0.00018000000000029104,0.0003399999999942338,0.0003399999999942338,0.0003399999999942338,0.0003399999999942338,7.105427357601002e-15,7.105427357601002e-15,0.00039999999999906777,-0.0003999999999848569,0.0,0.0,1.4210854715202004e-14,1.4210854715202004e-14,0.0,0.0,0.0,0.0,0.0004000000000061732,0.0004000000000061732,0.0,0.0,0.0,0.0,0.0,0.0,1.4210854715202004e-14,0.00039999999999906777,0.0,0.00039999999999906777,0.0,0.0,0.0,-0.0002000000000066393,0.0,1.4210854715202004e-14,0.00039999999999906777,0.0,0.00039999999999906777,0.0,-1.4210854715202004e-14,0.0,0.0,0.0,1.4210854715202004e-14,0.00039999999999906777,0.0,0.0,0.0,0.0,0.0,0.0,0.00020000000000000573,0.0,0.0,0.0,4.440892098500626e-16,0.0,0.0,2.220446049250313e-16,5.551115123125783e-17,1.1102230246251565e-16,0.0,0.0
9.0,0.0,0.0,0.0,-2.220446049250313e-16,0.0,0.0,0.0,-2.842170943040401e-14,0.0,-1.4210854715202004e-14,-0.00019999999999953388,0.0,0.0,0.0,0.0,-1.4210854715202004e-14,0.0,0.0,0.0,-1.4210854715202004e-14,-1.4210854715202004e-14,0.0,0.00019999999999242846,-7.105427357601002e-15,-1.4210854715202004e-14,0.0,4.4758,0.0,0.00019999999999242846,-3.552713678800501e-15,0.00019999999999598117,-7.105427357601002e-15,-3.552713678800501e-15,0.0,0.0,0.00039999999999196234,0.00019999999999242846,0.00019999999999242846,0.0,0.0,-7.105427357601002e-15,-1.4210854715202004e-14,-7.105427357601002e-15,0.0,-6.000000001904482e-5,-6.000000001904482e-5,-6.000000001904482e-5,0.00023999999999091415,0.00023999999999091415,0.00023999999999091415,0.00023999999999091415,-7.105427357601002e-15,0.0,0.0003999999999848569,-0.00039999999999906777,-1.4210854715202004e-14,0.0,0.0,0.0,-7.105427357601002e-15,-1.4210854715202004e-14,0.0,-7.105427357601002e-15,0.00039999999999906777,0.00039999999999906777,-1.4210854715202004e-14,0.0,0.00020000000000042206,0.0,0.0,0.0,0.0,0.00039999999999906777,-1.4210854715202004e-14,0.00019999999999242846,-7.105427357601002e-15,0.0,0.0,0.00039999999999906777,-7.105427357601002e-15,0.0,0.00019999999999242846,-7.105427357601002e-15,0.00019999999999242846,0.0,0.0,0.0,0.0,-7.105427357601002e-15,0.0,0.00019999999999242846,1.7763568394002505e-15,0.0,1.7763568394002505e-15,1.7763568394002505e-15,0.00040000000000006697,0.00020000000000042206,0.00039999999999995595,0.0,0.0,0.0,0.0,3.552713678800501e-15,0.0,0.0,0.00039999999999995595,-0.00019999999999953388,0.0,0.0
10.0,-1.4210854715202004e-14,0.0,0.0,-8.881784197001252e-16,0.0,-1.4210854715202004e-14,0.0,0.0,0.0,0.0,-0.00019999999999242846,0.0,-1.4210854715202004e-14,-2.842170943040401e-14,-2.842170943040401e-14,-1.4210854715202004e-14,-1.4210854715202004e-14,0.0,-1.4210854715202004e-14,-1.4210854715202004e-14,0.0,0.0,-0.00039999999999906777,0.0,0.0,0.0,0.00039999999999906777,0.0,0.00019999999999242846,-1.7763568394002505e-15,-0.0004000000000008441,0.0,0.0,-8.881784197001252e-16,0.0,0.00019999999999598117,-0.00039999999999551505,0.00019999999999242846,-2.842170943040401e-14,0.0,0.0,-2.842170943040401e-14,0.0,0.0,1.9999999999242846e-5,1.9999999999242846e-5,1.9999999999242846e-5,-6.000000001904482e-5,-6.000000001904482e-5,-6.000000001904482e-5,-6.000000001904482e-5,0.0,0.0,0.0003999999999848569,-0.0004000000000132786,-2.842170943040401e-14,0.0,0.0,-1.4210854715202004e-14,0.0,-1.4210854715202004e-14,0.0,-7.105427357601002e-15,0.0003999999999848569,0.0003999999999848569,-1.4210854715202004e-14,-1.4210854715202004e-14,0.00039999999999906777,0.0,0.0,-1.4210854715202004e-14,-1.4210854715202004e-14,0.00039999999999196234,-1.4210854715202004e-14,-0.0004000000000026205,0.0,0.0,0.0,0.00019999999999953388,0.0,0.0,-0.00039999999999906777,0.0,-0.0004000000000026205,0.0,0.0,0.0,0.0,-3.552713678800501e-15,0.0,-0.00039999999999906777,0.0,0.0,0.0,0.0,0.0,0.0,0.00020000000000042206,0.0,0.0,0.0,-7.105427357601002e-15,-7.105427357601002e-15,0.0,-3.552713678800501e-15,-0.0004000000000008441,0.00019999999999953388,0.0,0.0
