resource,hour,generation
wind,1,8912.069999999998
solar,1,0.0
ng,1,23166.18200000001
coal,1,6642.452000000001
hydro,1,530.3000000000001
nuclear,1,5138.6
_discharge_bess,1,1862.9899999999998
_charge_bess,1,2719.362
curtailment,1,1001.18172
wind,2,8828.869
solar,2,0.0
ng,2,22949.42600000001
coal,2,6600.724000000001
hydro,2,595.6
nuclear,2,5138.6
_discharge_bess,2,1927.784
_charge_bess,2,2942.271
curtailment,2,1664.906720000001
wind,3,8891.103
solar,3,0.0
ng,3,23192.167000000012
coal,3,6504.743000000001
hydro,3,465.0
nuclear,3,5138.6
_discharge_bess,3,1671.98
_charge_bess,3,2895.148
curtailment,3,850.1643600000002
wind,4,8479.029000000006
solar,4,0.0
ng,4,23287.68300000001
coal,4,6384.656000000001
hydro,4,595.6
nuclear,4,5138.6
_discharge_bess,4,1865.9050000000002
_charge_bess,4,2620.1079999999997
curtailment,4,774.6594600000003
wind,5,8313.162999999997
solar,5,0.0
ng,5,24112.85500000001
coal,5,6287.340000000001
hydro,5,526.2
nuclear,5,5138.6
_discharge_bess,5,2096.64
_charge_bess,5,2800.5899999999997
curtailment,5,797.0292200000001
wind,6,8032.559
solar,6,0.0
ng,6,25073.748000000007
coal,6,6434.376000000001
hydro,6,595.6
nuclear,6,5138.6
_discharge_bess,6,2164.667
_charge_bess,6,2656.25
curtailment,6,645.8151399999996
wind,7,7780.976000000001
solar,7,0.0
ng,7,26451.569000000003
coal,7,9176.762
hydro,7,530.3000000000001
nuclear,7,5138.6
_discharge_bess,7,1541.623
_charge_bess,7,1600.0
curtailment,7,193.22175999999985
wind,8,7058.9000000000015
solar,8,15.66
ng,8,28931.69000000001
coal,8,9554.003
hydro,8,643.6
nuclear,8,5138.6
_discharge_bess,8,1207.1390000000001
_charge_bess,8,1431.654
curtailment,8,61.47750000000024
wind,9,6608.416999999997
solar,9,316.14800000000014
ng,9,29484.58200000001
coal,9,9469.87
hydro,9,395.6
nuclear,9,5138.6
_discharge_bess,9,875.895
_charge_bess,9,900.0
curtailment,9,4.48157999999957
wind,10,6473.222999999996
solar,10,795.2980000000002
ng,10,29674.52000000001
coal,10,8409.562000000002
hydro,10,526.2
nuclear,10,5138.6
_discharge_bess,10,776.5
_charge_bess,10,1005.638
curtailment,10,-0.0003800000005318438
wind,11,5567.774999999998
solar,11,1217.8349999999998
ng,11,30262.71800000001
coal,11,8854.044000000002
hydro,11,595.6
nuclear,11,5138.6
_discharge_bess,11,250.0
_charge_bess,11,250.0
curtailment,11,0.0013600000000746348
wind,12,4396.002999999998
solar,12,1367.173
ng,12,30952.98300000001
coal,12,7887.242000000001
hydro,12,446.20000000000005
nuclear,12,5138.6
_discharge_bess,12,293.77
_charge_bess,12,410.121
curtailment,12,0.0017999999998403737
wind,13,3400.2820000000015
solar,13,1706.4859999999996
ng,13,31032.492000000013
coal,13,7835.772
hydro,13,380.90000000000003
nuclear,13,5138.6
_discharge_bess,13,365.121
_charge_bess,13,450.0
curtailment,13,-0.0002399999998637936
wind,14,2496.595
solar,14,1837.511
ng,14,31328.959000000013
coal,14,8286.581000000002
hydro,14,450.30000000000007
nuclear,14,5138.6
_discharge_bess,14,463.464
_charge_bess,14,250.704
curtailment,14,-0.0006200000000616823
wind,15,2017.1080000000002
solar,15,1602.7099999999998
ng,15,32068.329000000012
coal,15,8529.676000000001
hydro,15,380.90000000000003
nuclear,15,5138.6
_discharge_bess,15,690.0989999999999
_charge_bess,15,250.0
curtailment,15,-0.0025599999999987855
wind,16,1815.7830000000004
solar,16,1104.402
ng,16,33076.79700000001
coal,16,8647.559000000001
hydro,16,380.90000000000003
nuclear,16,5138.6
_discharge_bess,16,979.2850000000001
_charge_bess,16,250.0
curtailment,16,-0.001039999999950858
wind,17,1751.5239999999994
solar,17,497.76699999999994
ng,17,34541.753000000004
coal,17,8938.496
hydro,17,443.6
nuclear,17,5138.6
_discharge_bess,17,1203.3980000000001
_charge_bess,17,250.0
curtailment,17,0.004779999999874773
wind,18,1984.1009999999997
solar,18,31.015
ng,18,34945.359
coal,18,9039.221000000001
hydro,18,643.6
nuclear,18,5138.6
_discharge_bess,18,3306.4089999999997
_charge_bess,18,250.0
curtailment,18,0.0021599999999809133
wind,19,2450.8810000000003
solar,19,0.0
ng,19,35064.80199999999
coal,19,9079.239000000001
hydro,19,574.2
nuclear,19,5138.6
_discharge_bess,19,2014.134
_charge_bess,19,250.0
curtailment,19,-0.0029799999999635673
wind,20,2831.2199999999993
solar,20,0.0
ng,20,34836.742
coal,20,8788.874
hydro,20,574.2
nuclear,20,5138.6
_discharge_bess,20,1535.858
_charge_bess,20,250.0
curtailment,20,-0.00396000000011304
wind,21,3946.004
solar,21,0.0
ng,21,33599.920000000006
coal,21,8754.072
hydro,21,578.3000000000001
nuclear,21,5138.6
_discharge_bess,21,250.0
_charge_bess,21,365.525
curtailment,21,-0.004340000000299549
wind,22,5027.902999999999
solar,22,0.0
ng,22,30270.45200000001
coal,22,8978.883
hydro,22,574.2
nuclear,22,5138.6
_discharge_bess,22,683.821
_charge_bess,22,250.0
curtailment,22,217.23718000000014
wind,23,5695.551999999999
solar,23,0.0
ng,23,29097.276000000013
coal,23,7731.977000000001
hydro,23,595.6
nuclear,23,5138.6
_discharge_bess,23,250.0
_charge_bess,23,300.421
curtailment,23,512.4624199999998
wind,24,6268.959999999999
solar,24,0.0
ng,24,28064.878000000008
coal,24,7480.418000000001
hydro,24,526.2
nuclear,24,5138.6
_discharge_bess,24,250.0
_charge_bess,24,823.6030000000001
curtailment,24,616.3154600000001
