Periods,Thermal variable cost,Discharging power cost,Charging power cost,Power shedding cost,Total Cost
1,506252.476708857,17313.919,-24767.1647,0.0,498799.23100885696
2,504918.2658472122,17032.734,-27116.025700000002,0.0,494834.9741472122
3,505409.39063293143,16785.055500000002,-25424.966,0.0,496769.48013293144
4,506643.59703978454,17379.9185,-23647.006999999998,0.0,500376.5085397846
5,518956.4720749034,19793.8,-24895.515,0.0,513854.75707490335
6,540068.7007332632,20406.1444,-24583.75,0.0,535891.0951332632
7,613632.1716240033,14551.7356,-15015.0,0.0,613168.9072240033
8,666181.7107711689,11420.7375,-12994.848,0.0,664607.600271169
9,669740.5470330339,8839.515,-9115.0,0.0,669465.0620330339
10,655039.1395120365,8143.75,-9833.3384,0.0,653349.5511120365
11,673749.2805929771,2575.0,-2425.0,0.0,673899.2805929771
12,664399.9959272967,3034.585,-3545.8469999999998,0.0,663888.7339272967
13,662714.4989833061,3737.7221,-3825.0,0.0,662627.2210833061
14,677141.5412083073,4477.2472,-2429.928,0.0,679188.8604083073
15,694128.0439584897,5736.462,-2425.0,0.0,697439.5059584897
16,716020.1695296419,10128.342499999999,-2425.0,0.0,723723.5120296419
17,750619.5108502071,10845.9597,-2425.0,0.0,759040.4705502071
18,762137.5405162071,28738.4447,-2425.0,0.0,788450.9852162071
19,766476.4581211689,16713.717,-2425.0,0.0,780765.1751211688
20,755176.3908386123,15198.195,-2425.0,0.0,767949.5858386123
21,733023.5490858287,2575.0,-3233.675,0.0,732364.8740858287
22,676642.6577648668,5978.5112,-2425.0,0.0,680196.1689648668
23,632699.7102687169,2575.0,-3055.2625,0.0,632219.447768717
24,608075.4837082408,2575.0,-7431.943950000001,0.0,603218.5397582408
