plant_id,12875,12876,12877,12878,12879,12880,12881,12882,12883,12884,12885,12886,12893,12896,12897,12898,12899,12910,12911,12912,12913,12914,12918,12919,12922,12925,12926,12927,12928,12929,12933,12934,12935,12936,12937,12947,12948,12949,12950,12951,12952,12953,12954,12958,12959,12960,12961,12962,12963,12964,12965,12966,12967,12968,12969,12970,12971,12972,12973,12974,12975,12976,12979,12980,12981,12982,12983,12984,12985,12986,12987,12988,12992,12993,12994,13000,13025,13034,13035,13040,13041,13042,13043,13054,13055,13056,13079,13080,13084,13085,13116,13161,13162,13163,13164,13165,13166,13237,13238,13239,13240,13308,13309,13310,13311,13312,13313,13384,13405
bus_agg,2096,3048,1079,1079,1079,2096,1079,1079,3048,1079,1079,1079,1079,3048,3048,1079,3048,1079,1079,1079,1079,1079,2011,2017,2011,2127,2054,5236,3048,2101,5236,2011,2011,2096,2096,2127,2127,3048,3048,3048,5394,2096,5394,3048,5394,5394,5394,3048,3048,3048,3048,3048,3048,3048,3048,3048,3048,3048,3048,5394,3048,2096,2096,3048,3048,2096,2096,3048,3048,3048,3048,3048,3048,3048,4195,4195,4195,4195,4195,4195,4195,7406,4195,4195,4195,5018,5413,5196,5236,5239,5394,6342,6342,6342,6342,6342,6342,7406,7406,7406,7406,7366,7366,7366,7366,7366,7366,7389,8112
type,w,w,w,s,w,w,w,w,w,w,w,w,w,s,s,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,s,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s
1,108.032,179.20000000000002,179.20000000000002,0.0,102.144,92.16,128.0,142.336,128.0,75.52,62.412800000000004,76.8,61.44,0.0,0.0,72.96000000000001,82.176,76.8,59.136,102.4,78.08,69.632,143.62959999999998,156.088,250.6,179.0,96.9464,179.0,102.7072,80.55,48.401599999999995,143.2,56.922,5.12,76.8,130.0972,206.63760000000002,70.4512,189.184,76.8,143.2,118.016,149.644,123.392,175.54171999999997,175.54171999999997,175.54171999999997,125.52704,125.52704,125.52704,125.52704,41.216,76.8,87.1424,102.2976,127.488,119.04,89.60000000000001,89.08800000000001,143.2,102.4,128.0,51.2,63.5904,63.5904,102.4,61.44,0.0,100.864,69.12,64.768,89.08800000000001,51.8144,102.4,144.3456,143.2,128.88,134.608,202.7712,143.916,107.39999999999999,143.27159999999998,145.34799999999998,144.3456,179.0,117.0,136.5,97.5,161.1,107.39999999999999,118.5696,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,115.62800000000001,191.8,191.8,0.0,109.32600000000001,98.64000000000001,137.0,152.34400000000002,137.0,80.83000000000001,66.80120000000001,82.2,65.76,0.0,0.0,78.09,87.95400000000001,82.2,63.294000000000004,109.60000000000001,83.57000000000001,74.528,150.0488,163.064,261.8,187.0,101.2792,187.0,109.92880000000001,84.15,50.5648,149.6,59.466,5.48,82.2,135.9116,215.8728,75.40480000000001,202.48600000000002,82.2,149.6,126.31400000000001,156.332,132.068,183.38716,183.38716,183.38716,134.35316,134.35316,134.35316,134.35316,44.114000000000004,82.2,93.2696,109.49040000000001,136.452,127.41000000000001,95.9,95.352,149.6,109.60000000000001,137.0,54.800000000000004,68.06160000000001,68.06160000000001,109.60000000000001,65.76,0.0,107.956,73.98,69.322,95.352,55.457600000000006,109.60000000000001,150.7968,149.6,134.64,140.624,211.8336,150.348,112.2,149.6748,151.844,150.7968,187.0,126.0,147.0,105.0,168.3,112.2,123.8688,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,117.31600000000002,194.60000000000002,194.60000000000002,0.0,110.92200000000001,100.08000000000001,139.0,154.568,139.0,82.01,67.77640000000001,83.4,66.72,0.0,0.0,79.23,89.23800000000001,83.4,64.218,111.20000000000002,84.79,75.61600000000001,121.9648,132.54399999999998,212.79999999999998,152.0,82.3232,152.0,111.5336,68.39999999999999,41.10079999999999,121.6,48.336,5.5600000000000005,83.4,110.47359999999999,175.46880000000002,76.5056,205.442,83.4,121.6,128.15800000000002,127.072,133.996,149.06336,149.06336,149.06336,136.31452000000002,136.31452000000002,136.31452000000002,136.31452000000002,44.758,83.4,94.6312,111.08880000000002,138.44400000000002,129.27,97.30000000000001,96.74400000000001,121.6,111.20000000000002,139.0,55.60000000000001,69.05520000000001,69.05520000000001,111.20000000000002,66.72,0.0,109.53200000000001,75.06,70.334,96.74400000000001,56.26720000000001,111.20000000000002,122.57279999999999,121.6,109.44,114.304,172.1856,122.208,91.2,121.6608,123.42399999999999,122.57279999999999,152.0,151.8,177.1,126.5,136.79999999999998,91.2,100.6848,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,112.674,186.9,186.9,0.0,106.533,96.12,133.5,148.452,133.5,78.765,65.0946,80.10000000000001,64.08,0.0,0.0,76.095,85.70700000000001,80.10000000000001,61.67700000000001,106.80000000000001,81.435,72.62400000000001,111.1324,120.772,193.9,138.5,75.01160000000002,138.5,107.1204,62.325,37.4504,110.80000000000001,44.043000000000006,5.34,80.10000000000001,100.6618,159.88440000000003,73.47840000000001,197.31300000000002,80.10000000000001,110.80000000000001,123.087,115.78600000000002,128.69400000000002,135.82418,135.82418,135.82418,130.92078,130.92078,130.92078,130.92078,42.987,80.10000000000001,90.8868,106.69320000000002,132.966,124.155,93.45,92.91600000000001,110.80000000000001,106.80000000000001,133.5,53.400000000000006,66.3228,66.3228,106.80000000000001,64.08,0.0,105.19800000000001,72.09,67.551,92.91600000000001,54.040800000000004,106.80000000000001,111.6864,110.80000000000001,99.72000000000001,104.15200000000002,156.8928,111.35400000000001,83.10000000000001,110.8554,112.462,111.6864,138.5,176.39999999999998,205.79999999999998,147.0,124.65,83.10000000000001,91.7424,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,106.344,176.4,176.4,0.0,100.548,90.72,126.0,140.112,126.0,74.34,61.4376,75.6,60.480000000000004,0.0,0.0,71.82000000000001,80.892,75.6,58.212,100.8,76.86,68.544,114.34199999999998,124.25999999999999,199.49999999999997,142.5,77.178,142.5,101.1024,64.125,38.532,113.99999999999999,45.315,5.04,75.6,103.56899999999999,164.502,69.3504,186.228,75.6,113.99999999999999,116.172,119.13,121.464,139.74689999999998,139.74689999999998,139.74689999999998,123.56568,123.56568,123.56568,123.56568,40.572,75.6,85.7808,100.6992,125.496,117.18,88.2,87.696,113.99999999999999,100.8,126.0,50.4,62.5968,62.5968,100.8,60.480000000000004,0.0,99.288,68.04,63.756,87.696,51.0048,100.8,114.91199999999999,113.99999999999999,102.6,107.16,161.42399999999998,114.57,85.49999999999999,114.05699999999999,115.71,114.91199999999999,142.5,190.2,221.9,158.5,128.25,85.49999999999999,94.39199999999998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,96.21600000000001,159.6,159.6,0.0,90.97200000000001,82.08,114.0,126.768,114.0,67.26,55.586400000000005,68.4,54.72,0.0,0.0,64.98,73.188,68.4,52.668,91.2,69.54,62.016000000000005,117.5516,127.74799999999999,205.1,146.5,79.3444,146.5,91.4736,65.925,39.61359999999999,117.19999999999999,46.586999999999996,4.5600000000000005,68.4,106.47619999999999,169.1196,62.7456,168.49200000000002,68.4,117.19999999999999,105.108,122.47399999999999,109.896,143.66961999999998,143.66961999999998,143.66961999999998,111.79751999999999,111.79751999999999,111.79751999999999,111.79751999999999,36.708,68.4,77.6112,91.1088,113.54400000000001,106.02000000000001,79.8,79.34400000000001,117.19999999999999,91.2,114.0,45.6,56.635200000000005,56.635200000000005,91.2,54.72,0.0,89.83200000000001,61.56,57.684000000000005,79.34400000000001,46.147200000000005,91.2,118.13759999999999,117.19999999999999,105.47999999999999,110.16799999999999,165.9552,117.78599999999999,87.89999999999999,117.25859999999999,118.958,118.13759999999999,146.5,165.60000000000002,193.20000000000002,138.0,131.85,87.89999999999999,97.04159999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,84.4,140.0,140.0,0.0,79.80000000000001,72.0,100.0,111.2,100.0,59.0,48.760000000000005,60.0,48.0,0.0,0.0,57.0,64.2,60.0,46.2,80.0,61.0,54.400000000000006,115.5456,125.56799999999998,201.6,144.0,77.9904,144.0,80.24000000000001,64.8,38.937599999999996,115.19999999999999,45.791999999999994,4.0,60.0,104.65919999999998,166.2336,55.04,147.8,60.0,115.19999999999999,92.2,120.38399999999999,96.4,141.21792,141.21792,141.21792,98.068,98.068,98.068,98.068,32.2,60.0,68.08,79.92000000000002,99.60000000000001,93.0,70.0,69.60000000000001,115.19999999999999,80.0,100.0,40.0,49.68000000000001,49.68000000000001,80.0,48.0,0.0,78.80000000000001,54.0,50.6,69.60000000000001,40.480000000000004,80.0,116.12159999999999,115.19999999999999,103.67999999999999,108.288,163.12319999999997,115.776,86.39999999999999,115.25759999999998,116.928,116.12159999999999,144.0,132.0,154.0,110.0,129.6,86.39999999999999,95.3856,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
