periods,gen 12891,gen 12900,gen 12906,gen 12921,gen 12924,gen 13461,gen 12941,gen 13462,gen 12977,gen 12978,gen 12995,gen 12996,gen 12997,gen 12998,gen 12999,gen 13002,gen 13005,gen 13010,gen 13012,gen 13015,gen 13026,gen 13038,gen 13045,gen 13047,gen 13048,gen 13051,gen 13052,gen 13053,gen 13065,gen 13066,gen 13068,gen 13071,gen 13464,gen 13077,gen 13081,gen 13086,gen 13088,gen 13094,gen 13095,gen 13097,gen 13100,gen 13103,gen 13104,gen 13105,gen 13106,gen 13113,gen 13114,gen 13117,gen 13123,gen 13125,gen 13132,gen 13134,gen 13136,gen 13140,gen 13141,gen 13142,gen 13149,gen 13150,gen 13156,gen 13159,gen 13160,gen 13171,gen 13173,gen 13175,gen 13177,gen 13463,gen 13181,gen 13182,gen 13185,gen 13187,gen 13190,gen 13191,gen 13195,gen 13197,gen 13207,gen 13214,gen 13241,gen 13248,gen 13249,gen 13253,gen 13254,gen 13270,gen 13271,gen 13272,gen 13275,gen 13277,gen 13278,gen 13283,gen 13285,gen 13291,gen 13296,gen 13298,gen 13301,gen 13304,gen 13305,gen 13314,gen 13318,gen 13319,gen 13323,gen 13325,gen 13326,gen 13327,gen 13328,gen 13329,gen 13333,gen 13337,gen 13338,gen 13339,gen 13349,gen 13350,gen 13354,gen 13355,gen 13356,gen 13358,gen 13359,gen 13360,gen 13364,gen 13365,gen 13369,gen 13370,gen 13373,gen 13374,gen 13375,gen 13376,gen 13381,gen 13389,gen 13398,gen 13399,gen 13404,gen 13408,gen 13411,gen 13416
1.0,26.82,57.64,28.65,166.67,216.0,80.0,1108.32,0.0,44.5,18.5,410.0,541.832,136.0,96.0,195.7,144.0,51.7,52.9,73.02,105.6,39.54,59.33,55.13,61.0,10.4,80.1,55.13,55.13,1850.82,84.7,95.2,165.818,0.0,126.5,74.6,2430.0,80.32,115.0,82.7,463.75,78.84,284.07,3.6,207.5,302.4,64.0,209.0,26.82,36.6,35.64,86.7,42.39,213.0,594.99,17.0,320.2,57.4,54.41,1690.0,0.0,65.3,661.5,133.8,279.6,216.6,0.0,70.52,69.4,1488.764,183.0,894.0,550.0,194.0,257.0,618.63,74.18,56.53,114.9,228.65,1354.3,1354.3,206.55,380.7,59.0,59.0,110.6,110.6,87.72,350.87,230.95,229.5,178.5,304.6,90.64,181.28,29.0,58.01,124.48,101.9,136.05,313.83,313.83,313.83,313.83,205.0,225.2,102.7,643.0,918.3,542.8,288.0,144.0,446.4,93.0,102.4,88.2,344.0,450.0,191.1,172.2,100.52,130.0,130.0,100.52,75.0,51.8,277.47,234.9,269.31,105.51,1980.0,52.38
2.0,26.82,57.64,28.65,166.67,216.0,80.0,1108.32,0.0,44.5,18.5,410.0,500.104,136.0,96.0,195.7,144.0,51.7,52.9,73.02,105.6,39.54,59.33,55.13,61.0,10.4,80.1,55.13,55.13,1850.82,84.7,95.2,131.48,0.0,126.5,74.6,2430.0,80.32,115.0,82.7,463.75,78.84,284.07,3.6,207.5,302.4,64.0,209.0,26.82,36.6,35.64,86.7,42.39,213.0,594.99,17.0,320.2,57.4,54.41,1690.0,65.3,65.3,661.5,133.8,279.6,216.6,0.0,70.52,69.4,1306.346,183.0,894.0,550.0,194.0,257.0,618.63,74.18,56.53,114.9,228.65,1354.3,1354.3,206.55,380.7,59.0,59.0,110.6,110.6,87.72,350.87,230.95,229.5,178.5,304.6,90.64,181.28,29.0,58.01,124.48,101.9,136.05,313.83,313.83,313.83,313.83,205.0,225.2,102.7,643.0,918.3,542.8,288.0,144.0,446.4,93.0,102.4,88.2,344.0,450.0,191.1,172.2,100.52,130.0,130.0,100.52,75.0,51.8,277.47,234.9,269.31,105.51,1980.0,52.38
3.0,26.82,57.64,28.65,166.67,216.0,80.0,1108.32,0.0,44.5,18.5,410.0,404.123,136.0,96.0,195.7,144.0,51.7,52.9,73.02,105.6,39.54,59.33,55.13,61.0,10.4,80.1,55.13,55.13,1850.82,84.7,95.2,131.48,0.0,126.5,74.6,2430.0,80.32,115.0,82.7,463.75,78.84,284.07,3.6,207.5,302.4,64.0,209.0,26.82,36.6,35.64,86.7,42.39,213.0,594.99,17.0,320.2,57.4,177.065,1690.0,0.0,0.0,661.5,133.8,279.6,216.6,0.0,70.52,69.4,1426.432,183.0,894.0,550.0,194.0,257.0,618.63,74.18,56.53,114.9,228.65,1354.3,1354.3,206.55,380.7,59.0,59.0,110.6,110.6,87.72,350.87,230.95,229.5,178.5,304.6,90.64,181.28,29.0,58.01,124.48,101.9,136.05,313.83,313.83,313.83,313.83,205.0,225.2,102.7,643.0,918.3,542.8,288.0,144.0,446.4,93.0,102.4,88.2,344.0,450.0,191.1,172.2,100.52,130.0,130.0,100.52,75.0,51.8,277.47,234.9,269.31,105.51,1980.0,52.38
4.0,26.82,57.64,28.65,166.67,216.0,80.0,1108.32,0.0,44.5,18.5,410.0,284.036,136.0,96.0,195.7,144.0,125.997,52.9,73.02,105.6,39.54,59.33,55.13,61.0,10.4,80.1,55.13,55.13,1850.82,84.7,95.2,131.48,0.0,126.5,74.6,2430.0,80.32,115.0,82.7,463.75,78.84,284.07,3.6,207.5,302.4,64.0,209.0,26.82,36.6,35.64,86.7,42.39,213.0,594.99,17.0,320.2,57.4,292.151,1690.0,65.3,65.3,661.5,133.8,279.6,216.6,0.0,70.52,69.4,1332.565,183.0,894.0,550.0,194.0,257.0,618.63,74.18,56.53,114.9,228.65,1354.3,1354.3,206.55,380.7,59.0,59.0,110.6,110.6,87.72,350.87,230.95,229.5,178.5,304.6,90.64,181.28,29.0,58.01,124.48,101.9,136.05,313.83,313.83,313.83,313.83,205.0,225.2,102.7,643.0,918.3,542.8,288.0,144.0,446.4,93.0,102.4,88.2,344.0,450.0,191.1,172.2,100.52,130.0,130.0,100.52,75.0,51.8,277.47,234.9,269.31,105.51,1980.0,52.38
5.0,26.82,57.64,28.65,166.67,216.0,80.0,1108.32,0.0,44.5,18.5,410.0,186.72,136.0,96.0,195.7,144.0,111.292,52.9,73.02,105.6,39.54,59.33,55.13,61.0,10.4,80.1,55.13,55.13,1850.82,84.7,95.2,820.362,0.0,126.5,74.6,2430.0,80.32,115.0,82.7,463.75,78.84,284.07,3.6,207.5,302.4,64.0,209.0,26.82,36.6,35.64,86.7,42.39,213.0,594.99,17.0,320.2,57.4,398.102,1690.0,65.3,65.3,661.5,133.8,279.6,216.6,0.0,70.52,0.0,1377.609,183.0,894.0,550.0,194.0,257.0,618.63,74.18,56.53,114.9,228.65,1354.3,1354.3,206.55,380.7,59.0,59.0,110.6,110.6,87.72,350.87,230.95,229.5,178.5,304.6,90.64,181.28,29.0,58.01,124.48,101.9,136.05,313.83,313.83,313.83,313.83,205.0,225.2,102.7,643.0,918.3,542.8,288.0,144.0,446.4,93.0,102.4,88.2,344.0,450.0,191.1,172.2,100.52,130.0,130.0,100.52,75.0,51.8,277.47,234.9,269.31,105.51,1980.0,52.38
6.0,26.82,57.64,28.65,166.67,216.0,80.0,1108.32,0.0,44.5,18.5,410.0,333.756,136.0,96.0,195.7,144.0,186.065,52.9,73.02,105.6,39.54,59.33,55.13,61.0,10.4,80.1,55.13,55.13,1850.82,84.7,95.2,1314.81,0.0,126.5,74.6,2430.0,80.32,115.0,82.7,463.75,78.84,284.07,3.6,207.5,302.4,64.0,209.0,70.999,36.6,35.64,86.7,42.39,213.0,594.99,17.0,320.2,57.4,602.427,1690.0,65.3,65.3,661.5,133.8,279.6,216.6,0.0,70.52,69.4,1284.452,183.0,894.0,550.0,194.0,257.0,618.63,74.18,56.53,114.9,228.65,1354.3,1354.3,206.55,380.7,59.0,59.0,110.6,110.6,87.72,350.87,230.95,229.5,178.5,304.6,90.64,181.28,96.68,193.37,124.48,101.9,136.05,313.83,313.83,313.83,313.83,238.285,225.2,102.7,643.0,918.3,542.8,288.0,144.0,446.4,93.0,102.4,88.2,344.0,450.0,191.1,172.2,100.52,130.0,130.0,100.52,75.0,51.8,277.47,234.9,269.31,105.51,1980.0,52.38
7.0,26.82,57.64,28.65,166.67,216.0,80.0,1108.32,0.0,44.5,18.5,410.0,622.4,136.0,96.0,195.7,144.0,516.99,52.9,73.02,105.6,39.54,59.33,176.258,61.0,10.4,80.1,55.13,183.77,1850.82,84.7,95.2,1314.81,0.0,126.5,74.6,2430.0,80.32,115.0,82.7,463.75,78.84,284.07,3.6,207.5,1008.0,64.0,209.0,89.4,36.6,35.64,86.7,141.3,213.0,594.99,17.0,320.2,57.4,54.41,1690.0,0.0,65.3,661.5,133.8,279.6,216.6,0.0,70.52,69.4,1405.627,183.0,894.0,550.0,194.0,257.0,618.63,74.18,188.45,114.9,228.65,1354.3,1354.3,206.55,380.7,59.0,59.0,110.6,110.6,87.72,350.87,230.95,624.742,178.5,304.6,90.64,181.28,96.68,193.37,124.48,101.9,136.05,313.83,313.83,313.83,313.83,684.2,225.2,102.7,643.0,918.3,542.8,288.0,144.0,446.4,105.712,102.4,88.2,344.0,450.0,191.1,172.2,100.52,130.0,130.0,100.52,75.0,172.67,924.9,234.9,1073.202,105.51,1980.0,349.2
8.0,26.82,57.64,28.65,166.67,216.0,80.0,1108.32,0.0,44.5,18.5,410.0,622.4,136.0,96.0,195.7,144.0,516.99,52.9,256.473,105.6,39.54,197.77,183.77,61.0,10.4,80.1,183.77,183.77,1850.82,84.7,95.2,1314.81,48.0,126.5,248.67,2430.0,80.32,115.0,82.7,463.75,78.84,284.07,3.6,207.5,1008.0,1279.98,209.0,89.4,36.6,35.64,86.7,141.3,213.0,594.99,17.0,320.2,57.4,665.703,1690.0,65.3,65.3,661.5,133.8,279.6,216.6,0.0,70.52,69.4,1298.814,183.0,894.0,550.0,194.0,257.0,618.63,74.18,188.45,114.9,228.65,1354.3,1354.3,206.55,380.7,59.0,59.0,110.6,110.6,87.72,350.87,230.95,765.0,178.5,304.6,90.64,181.28,96.68,193.37,124.48,101.9,453.5,313.83,313.83,313.83,313.83,684.2,225.2,102.7,643.0,918.3,542.8,288.0,144.0,446.4,93.0,102.4,88.2,344.0,450.0,191.1,172.2,100.52,130.0,130.0,100.52,75.0,172.67,870.546,234.9,1187.347,105.51,1980.0,349.2
9.0,26.82,57.64,28.65,166.67,216.0,80.0,1108.32,0.0,44.5,18.5,410.0,622.4,136.0,96.0,195.7,144.0,516.99,52.9,594.809,105.6,39.54,197.77,183.77,61.0,10.4,80.1,183.77,183.77,1850.82,84.7,95.2,1314.81,0.0,126.5,113.026,2430.0,80.32,115.0,82.7,463.75,78.84,284.07,3.6,207.5,1008.0,1279.98,209.0,89.4,36.6,35.64,86.7,141.3,213.0,594.99,17.0,320.2,57.4,801.02,1690.0,0.0,0.0,661.5,133.8,279.6,216.6,0.0,70.52,0.0,1513.697,183.0,894.0,550.0,194.0,257.0,618.63,74.18,188.45,114.9,228.65,1354.3,1354.3,206.55,380.7,59.0,59.0,110.6,110.6,87.72,350.87,230.95,765.0,178.5,304.6,90.64,181.28,96.68,193.37,124.48,101.9,417.89,313.83,313.83,313.83,313.83,684.2,225.2,102.7,643.0,918.3,542.8,288.0,144.0,446.4,93.0,102.4,88.2,344.0,450.0,191.1,172.2,100.52,130.0,130.0,100.52,75.0,172.67,924.9,234.9,1084.47,105.51,1980.0,349.2
10.0,26.82,57.64,28.65,166.67,216.0,80.0,1108.32,0.0,44.5,18.5,410.0,622.4,136.0,96.0,195.7,144.0,516.99,52.9,730.0,108.971,39.54,197.77,183.77,61.0,10.4,267.0,183.77,183.77,1850.82,84.7,95.2,1314.81,0.0,126.5,74.6,2430.0,80.32,115.0,82.7,463.75,78.84,284.07,3.6,207.5,302.4,1279.98,209.0,89.4,36.6,35.64,86.7,42.39,213.0,594.99,17.0,320.2,57.4,1088.22,1690.0,65.3,65.3,661.5,133.8,279.6,216.6,0.0,70.52,0.0,1398.463,183.0,894.0,550.0,194.0,257.0,618.63,74.18,139.166,114.9,228.65,1354.3,1354.3,206.55,380.7,59.0,59.0,110.6,110.6,87.72,350.87,230.95,765.0,178.5,304.6,90.64,181.28,96.68,193.37,124.48,101.9,453.5,313.83,313.83,313.83,313.83,684.2,225.2,102.7,643.0,918.3,542.8,288.0,144.0,446.4,93.0,102.4,88.2,344.0,450.0,191.1,172.2,100.52,130.0,130.0,100.52,75.0,51.8,533.309,234.9,1085.743,105.51,1980.0,349.2
