periods,bus 1,bus 2,bus 3,bus 4,bus 5,bus 6,bus 7,bus 8,bus 9,bus 10,bus 11,bus 12,bus 13,bus 14,bus 15,bus 16,bus 17,bus 18,bus 19,bus 20,bus 21,bus 22,bus 23,bus 24,bus 25,bus 26,bus 27,bus 28,bus 29,bus 30,bus 31,bus 32,bus 33,bus 34,bus 35,bus 36,bus 37,bus 38,bus 39,bus 40,bus 41,bus 42,bus 43,bus 44,bus 45,bus 46,bus 47,bus 48,bus 49,bus 50,bus 51,bus 52,bus 53,bus 54,bus 55,bus 56,bus 57,bus 58,bus 59,bus 60,bus 61,bus 62,bus 63,bus 64,bus 65,bus 66,bus 67,bus 68,bus 69,bus 70,bus 71,bus 72,bus 73,bus 74,bus 75,bus 76,bus 77,bus 78,bus 79,bus 80,bus 81,bus 82,bus 83,bus 84,bus 85,bus 86,bus 87,bus 88,bus 89,bus 90,bus 91,bus 92,bus 93,bus 94,bus 95,bus 96,bus 97,bus 98,bus 99,bus 100,bus 101,bus 102,bus 103,bus 104,bus 105,bus 106,bus 107,bus 108,bus 109,bus 110,bus 111,bus 112,bus 113,bus 114,bus 115,bus 116,bus 117,bus 118,bus 119,bus 120
1.0,0.0,-9.682986737710912,5.271211715203573,3.896113006889598,-6.589014644004467,-7.964113352318444,2.4637185190625397,-10.65701498943331,-6.187944187412891,3.0939720937064457,-1.3750987083139758,-13.178029288008934,-11.172677005051053,-8.422479588423101,-10.82890232797256,-10.427831871380983,-5.958761069360561,-10.65701498943331,-8.995437383553925,-8.823550045014677,-11.172677005051053,-11.058085446024888,-11.115381225537972,-5.614986392282068,-10.82890232797256,-10.886198107485642,-10.886198107485642,-10.714310768946394,-11.058085446024888,-9.453803619658585,-10.084057194302488,-8.078704911344607,-8.537071147449266,-7.906817572805362,-11.000789666511807,-10.886198107485642,-10.886198107485642,-8.880845824527759,-11.172677005051053,-10.82890232797256,-10.3705360918679,-10.485127650894064,-11.115381225537972,-11.000789666511807,-10.82890232797256,-2.2345354010102105,-9.396507840145501,-11.000789666511807,-8.250592249883853,-10.886198107485642,-11.229972784564136,-10.599719209920229,-11.000789666511807,-11.229972784564136,-8.021409131831525,-9.396507840145501,-9.625690958197831,-9.396507840145501,-10.65701498943331,-10.542423430407146,-8.766254265501596,-10.427831871380983,-6.589014644004467,-7.276563998161455,-8.823550045014677,-9.511099399171666,-10.026761414789405,-10.198648753328653,-10.255944532841735,-10.485127650894064,-7.7349302342661135,-10.542423430407146,-10.599719209920229,-8.938141604040842,-9.11002894258009,-9.224620501606255,-10.599719209920229,-10.542423430407146,-9.682986737710912,-9.396507840145501,-8.594366926962348,-7.16197243913529,-8.938141604040842,-6.932789321082962,-9.281916281119337,-6.589014644004467,-8.250592249883853,-2.6356058576017865,-8.422479588423101,-8.422479588423101,-8.13600069085769,-8.938141604040842,-9.11002894258009,-8.995437383553925,-9.167324722093172,-8.193296470370772,-8.995437383553925,-8.021409131831525,-7.333859777674537,-6.990085100596044,-8.365183808910018,-8.766254265501596,-7.964113352318444,-8.193296470370772,-9.052733163067007,-8.13600069085769,-6.818197762056796,-7.047380880109126,-7.047380880109126,-6.7609019825437136,-9.052733163067007,-10.141352973815572,-9.740282517223996,-9.740282517223996,-7.906817572805362,-9.740282517223996,-7.276563998161455,-5.042028597151244,-9.969465635276324,-9.625690958197831
2.0,0.0,-9.625690958197831,-2.4637185190625397,-1.260507149287811,-6.531718864491385,-7.906817572805362,0.6875493541569879,-10.542423430407146,-6.073352628386726,-2.7501974166279517,-1.4896902673401402,-13.407212406061266,-11.115381225537972,-8.479775367936183,-10.771606548459477,-10.3705360918679,-5.958761069360561,-10.599719209920229,-8.938141604040842,-8.823550045014677,-11.115381225537972,-10.943493886998725,-11.000789666511807,-5.67228217179515,-10.82890232797256,-10.82890232797256,-10.886198107485642,-10.599719209920229,-11.058085446024888,-9.396507840145501,-10.026761414789405,-7.563042895726867,-8.537071147449266,-7.849521793292279,-11.000789666511807,-10.771606548459477,-10.771606548459477,-8.823550045014677,-11.115381225537972,-10.771606548459477,-10.313240312354818,-10.485127650894064,-11.000789666511807,-10.886198107485642,-10.771606548459477,-2.177239621497128,-9.339212060632418,-11.000789666511807,-8.250592249883853,-10.82890232797256,-11.115381225537972,-10.599719209920229,-10.943493886998725,-11.172677005051053,-8.13600069085769,-9.511099399171666,-9.797578296737077,-9.511099399171666,-10.82890232797256,-10.65701498943331,-8.880845824527759,-10.599719209920229,-6.703606203030633,-7.391155557187619,-8.938141604040842,-9.625690958197831,-10.141352973815572,-10.313240312354818,-10.3705360918679,-10.599719209920229,-7.906817572805362,-10.65701498943331,-10.771606548459477,-9.11002894258009,-9.224620501606255,-9.339212060632418,-10.714310768946394,-10.714310768946394,-9.854874076250159,-9.511099399171666,-8.766254265501596,-7.391155557187619,-9.11002894258009,-7.16197243913529,-9.511099399171666,-6.818197762056796,-8.422479588423101,-2.807493196141034,-8.594366926962348,-8.651662706475431,-8.307888029396937,-9.167324722093172,-9.281916281119337,-9.167324722093172,-9.339212060632418,-8.365183808910018,-9.224620501606255,-8.193296470370772,-7.563042895726867,-7.16197243913529,-8.537071147449266,-8.938141604040842,-8.193296470370772,-8.365183808910018,-9.167324722093172,-8.365183808910018,-7.047380880109126,-7.219268218648373,-7.219268218648373,-6.990085100596044,-9.224620501606255,-10.084057194302488,-9.682986737710912,-9.740282517223996,-7.906817572805362,-9.740282517223996,-7.219268218648373,-4.927437038125079,-9.91216985576324,-9.797578296737077
3.0,0.0,-8.938141604040842,4.583662361046586,3.437746770784939,-5.901465289847479,-7.219268218648373,2.6356058576017865,-9.854874076250159,-5.443099053742821,2.6929016371148693,-1.3178029288008932,-13.693691303626673,-10.427831871380983,-7.62033867523995,-10.084057194302488,-9.682986737710912,-5.557690612768986,-9.969465635276324,-8.307888029396937,-8.021409131831525,-10.427831871380983,-10.255944532841735,-10.313240312354818,-5.385803274229739,-10.542423430407146,-10.3705360918679,-10.141352973815572,-10.084057194302488,-10.771606548459477,-8.594366926962348,-9.281916281119337,-7.276563998161455,-8.250592249883853,-7.276563998161455,-10.65701498943331,-10.084057194302488,-10.141352973815572,-8.250592249883853,-10.427831871380983,-10.084057194302488,-9.91216985576324,-9.740282517223996,-10.427831871380983,-10.198648753328653,-10.255944532841735,-2.2345354010102105,-8.708958485988513,-10.65701498943331,-7.563042895726867,-10.198648753328653,-10.485127650894064,-10.198648753328653,-10.255944532841735,-10.542423430407146,-7.964113352318444,-9.339212060632418,-9.625690958197831,-9.339212060632418,-10.65701498943331,-10.485127650894064,-8.995437383553925,-10.3705360918679,-6.818197762056796,-7.448451336700702,-8.766254265501596,-9.453803619658585,-10.026761414789405,-10.198648753328653,-10.313240312354818,-10.485127650894064,-7.7349302342661135,-10.542423430407146,-10.65701498943331,-9.052733163067007,-9.052733163067007,-9.167324722093172,-10.599719209920229,-10.542423430407146,-9.740282517223996,-9.339212060632418,-8.995437383553925,-7.62033867523995,-9.339212060632418,-7.448451336700702,-9.740282517223996,-7.047380880109126,-8.651662706475431,-3.0939720937064457,-8.880845824527759,-8.880845824527759,-8.537071147449266,-9.339212060632418,-9.453803619658585,-9.453803619658585,-9.56839517868475,-8.594366926962348,-9.453803619658585,-8.479775367936183,-7.792226013779196,-7.391155557187619,-8.823550045014677,-9.167324722093172,-8.422479588423101,-8.594366926962348,-9.281916281119337,-8.594366926962348,-7.276563998161455,-7.448451336700702,-7.505747116213785,-7.219268218648373,-9.396507840145501,-9.625690958197831,-9.281916281119337,-9.281916281119337,-7.563042895726867,-9.396507840145501,-6.818197762056796,-4.411775022507339,-9.56839517868475,-9.797578296737077
4.0,0.0,-9.396507840145501,2.1199438419840457,1.3178029288008932,-6.359831525952138,-7.677634454753032,1.6615776058793876,-10.3705360918679,-5.958761069360561,0.2864788975654116,-1.604281826366305,-14.495832216809827,-10.886198107485642,-8.078704911344607,-10.542423430407146,-10.141352973815572,-5.901465289847479,-10.3705360918679,-8.766254265501596,-8.422479588423101,-10.886198107485642,-10.714310768946394,-10.771606548459477,-5.729577951308232,-10.82890232797256,-10.771606548459477,-10.65701498943331,-10.542423430407146,-11.058085446024888,-9.052733163067007,-9.740282517223996,-7.62033867523995,-8.594366926962348,-7.677634454753032,-11.000789666511807,-10.542423430407146,-10.599719209920229,-8.651662706475431,-10.886198107485642,-10.542423430407146,-10.255944532841735,-10.198648753328653,-10.886198107485642,-10.65701498943331,-10.65701498943331,-2.7501974166279517,-9.167324722093172,-11.000789666511807,-7.964113352318444,-10.65701498943331,-10.943493886998725,-10.542423430407146,-10.714310768946394,-11.000789666511807,-8.307888029396937,-9.511099399171666,-9.797578296737077,-9.56839517868475,-10.943493886998725,-10.771606548459477,-9.625690958197831,-10.599719209920229,-7.391155557187619,-7.964113352318444,-9.052733163067007,-9.625690958197831,-10.3705360918679,-10.542423430407146,-10.714310768946394,-10.82890232797256,-7.906817572805362,-10.771606548459477,-10.943493886998725,-9.511099399171666,-9.281916281119337,-9.396507840145501,-10.886198107485642,-10.886198107485642,-9.854874076250159,-9.56839517868475,-9.740282517223996,-8.307888029396937,-10.084057194302488,-8.250592249883853,-10.427831871380983,-7.792226013779196,-9.339212060632418,-3.838817227376516,-9.56839517868475,-9.625690958197831,-9.281916281119337,-10.084057194302488,-10.198648753328653,-10.141352973815572,-10.255944532841735,-9.339212060632418,-10.141352973815572,-9.167324722093172,-8.479775367936183,-8.13600069085769,-9.511099399171666,-9.854874076250159,-9.167324722093172,-9.281916281119337,-9.91216985576324,-9.281916281119337,-8.021409131831525,-8.193296470370772,-8.193296470370772,-7.964113352318444,-10.026761414789405,-10.084057194302488,-9.740282517223996,-9.740282517223996,-8.13600069085769,-9.797578296737077,-7.333859777674537,-4.927437038125079,-9.969465635276324,-10.427831871380983
5.0,0.0,-7.62033867523995,4.354479242994256,3.2658594322456924,-4.640958140559668,-5.844169510334397,2.291831180523293,-8.479775367936183,-4.2398876839680915,2.6356058576017865,-1.2032113697747289,-14.495832216809827,-8.938141604040842,-6.187944187412891,-8.651662706475431,-8.307888029396937,-4.698253920072751,-8.651662706475431,-7.047380880109126,-6.589014644004467,-8.880845824527759,-8.880845824527759,-8.938141604040842,-4.927437038125079,-9.969465635276324,-9.511099399171666,-8.708958485988513,-9.052733163067007,-10.198648753328653,-7.16197243913529,-7.906817572805362,-5.729577951308232,-7.7349302342661135,-6.130648407899808,-10.084057194302488,-8.708958485988513,-8.708958485988513,-6.990085100596044,-8.938141604040842,-8.708958485988513,-9.11002894258009,-8.307888029396937,-9.281916281119337,-8.823550045014677,-9.339212060632418,-1.8334649444186342,-7.391155557187619,-10.084057194302488,-6.302535746439056,-8.938141604040842,-9.052733163067007,-9.511099399171666,-8.823550045014677,-9.052733163067007,-7.792226013779196,-8.938141604040842,-9.281916281119337,-8.995437383553925,-10.542423430407146,-10.3705360918679,-9.396507840145501,-10.141352973815572,-7.16197243913529,-7.62033867523995,-8.365183808910018,-9.052733163067007,-10.026761414789405,-10.141352973815572,-10.3705360918679,-10.427831871380983,-7.333859777674537,-10.3705360918679,-10.599719209920229,-9.167324722093172,-8.766254265501596,-8.880845824527759,-10.427831871380983,-10.542423430407146,-9.281916281119337,-8.995437383553925,-9.625690958197831,-8.250592249883853,-9.969465635276324,-8.193296470370772,-10.313240312354818,-7.7349302342661135,-9.224620501606255,-3.7815214478634336,-9.453803619658585,-9.511099399171666,-9.167324722093172,-9.91216985576324,-10.026761414789405,-10.084057194302488,-10.141352973815572,-9.224620501606255,-10.026761414789405,-9.052733163067007,-8.422479588423101,-8.021409131831525,-9.396507840145501,-9.797578296737077,-9.052733163067007,-9.167324722093172,-9.625690958197831,-9.167324722093172,-7.964113352318444,-8.078704911344607,-8.078704911344607,-7.849521793292279,-9.797578296737077,-8.651662706475431,-8.422479588423101,-8.479775367936183,-6.990085100596044,-8.766254265501596,-6.016056848873643,-3.3804509912718568,-8.995437383553925,-10.026761414789405
6.0,0.0,-6.932789321082962,6.6463104235175505,5.328507494716655,-4.125296124941927,-5.156620156177409,3.036676314193363,-7.792226013779196,-3.6669298888372683,5.099324376664327,-0.9167324722093171,-14.2666490987575,-8.193296470370772,-5.67228217179515,-7.964113352318444,-7.677634454753032,-4.2398876839680915,-8.021409131831525,-6.474423084978302,-6.073352628386726,-8.078704911344607,-8.193296470370772,-8.250592249883853,-4.5263665815335035,-9.682986737710912,-9.11002894258009,-8.021409131831525,-8.651662706475431,-9.969465635276324,-6.6463104235175505,-7.276563998161455,-5.156620156177409,-7.448451336700702,-5.500394833255903,-9.797578296737077,-8.021409131831525,-8.078704911344607,-6.359831525952138,-8.250592249883853,-8.021409131831525,-8.823550045014677,-7.62033867523995,-8.766254265501596,-8.193296470370772,-8.938141604040842,-1.4896902673401402,-6.7609019825437136,-9.797578296737077,-5.7868737308213145,-8.307888029396937,-8.365183808910018,-9.224620501606255,-8.13600069085769,-8.365183808910018,-7.62033867523995,-8.766254265501596,-9.11002894258009,-8.823550045014677,-10.255944532841735,-10.026761414789405,-9.453803619658585,-9.682986737710912,-7.104676659622208,-7.563042895726867,-8.193296470370772,-8.880845824527759,-9.740282517223996,-9.797578296737077,-10.141352973815572,-10.141352973815572,-7.16197243913529,-10.084057194302488,-10.313240312354818,-8.938141604040842,-8.594366926962348,-8.708958485988513,-10.141352973815572,-10.198648753328653,-9.11002894258009,-8.823550045014677,-9.797578296737077,-8.078704911344607,-10.084057194302488,-7.964113352318444,-10.485127650894064,-7.62033867523995,-9.396507840145501,-3.6669298888372683,-9.625690958197831,-9.625690958197831,-9.339212060632418,-10.084057194302488,-10.141352973815572,-10.198648753328653,-10.255944532841735,-9.396507840145501,-10.198648753328653,-9.224620501606255,-8.193296470370772,-8.193296470370772,-9.56839517868475,-9.854874076250159,-9.167324722093172,-9.339212060632418,-9.682986737710912,-9.339212060632418,-7.849521793292279,-7.906817572805362,-8.250592249883853,-7.964113352318444,-9.91216985576324,-8.250592249883853,-8.021409131831525,-8.078704911344607,-6.703606203030633,-8.479775367936183,-5.67228217179515,-2.9220847551671985,-8.708958485988513,-10.084057194302488
7.0,0.0,-5.156620156177409,9.740282517223996,8.13600069085769,-2.4637185190625397,-3.6096341093241864,3.953408786402681,-6.245239966925974,-2.0053522829578814,8.537071147449266,-0.34377467707849396,-11.86022635920804,-6.703606203030633,-4.297183463481174,-6.474423084978302,-6.016056848873643,-3.036676314193363,-6.130648407899808,-4.870141258611998,-4.755549699585833,-6.589014644004467,-6.6463104235175505,-6.703606203030633,-3.437746770784939,-7.047380880109126,-6.245239966925974,-6.531718864491385,-5.67228217179515,-7.448451336700702,-5.328507494716655,-5.901465289847479,-3.6096341093241864,-5.844169510334397,-3.7815214478634336,-6.932789321082962,-6.474423084978302,-6.474423084978302,-4.640958140559668,-6.703606203030633,-6.474423084978302,-4.125296124941927,-6.245239966925974,-6.302535746439056,-6.531718864491385,-5.844169510334397,-0.6875493541569879,-5.042028597151244,-7.333859777674537,-4.5263665815335035,-6.359831525952138,-6.7609019825437136,-6.818197762056796,-6.589014644004467,-6.818197762056796,-5.901465289847479,-7.333859777674537,-7.677634454753032,-7.505747116213785,-9.682986737710912,-9.511099399171666,-7.16197243913529,-9.396507840145501,-5.042028597151244,-5.557690612768986,-5.729577951308232,-7.505747116213785,-9.11002894258009,-9.167324722093172,-9.396507840145501,-9.56839517868475,-5.844169510334397,-9.396507840145501,-9.682986737710912,-8.021409131831525,-7.276563998161455,-7.391155557187619,-9.56839517868475,-9.625690958197831,-7.7349302342661135,-7.505747116213785,-7.276563998161455,-5.901465289847479,-7.677634454753032,-5.557690612768986,-8.078704911344607,-5.385803274229739,-6.818197762056796,-1.432394487827058,-7.104676659622208,-7.104676659622208,-6.818197762056796,-7.677634454753032,-7.7349302342661135,-7.7349302342661135,-7.906817572805362,-6.703606203030633,-7.7349302342661135,-6.6463104235175505,-5.901465289847479,-5.67228217179515,-7.047380880109126,-7.448451336700702,-6.531718864491385,-6.818197762056796,-7.276563998161455,-6.818197762056796,-5.614986392282068,-5.844169510334397,-5.729577951308232,-5.443099053742821,-7.448451336700702,-4.640958140559668,-5.042028597151244,-3.0939720937064457,-4.698253920072751,-2.864788975654116,-3.3804509912718568,-1.088619810748564,-3.20856365273261,-7.219268218648373
8.0,0.0,-4.5263665815335035,7.849521793292279,6.703606203030633,-1.8334649444186342,-2.6929016371148693,3.6096341093241864,-5.328507494716655,-1.3750987083139758,6.875493541569878,-0.22918311805232927,-11.974817918234205,-5.328507494716655,-3.0939720937064457,-5.385803274229739,-5.099324376664327,-2.4064227395494577,-5.271211715203573,-4.068000345428845,-3.3231552117587753,-5.500394833255903,-5.67228217179515,-5.729577951308232,-3.151267873219528,-6.7609019825437136,-5.67228217179515,-5.328507494716655,-5.042028597151244,-7.219268218648373,-3.6669298888372683,-3.552338329811104,-2.5783100780887045,-5.614986392282068,-2.9793805346802804,-6.6463104235175505,-5.557690612768986,-5.557690612768986,-3.7815214478634336,-5.729577951308232,-5.500394833255903,-3.6096341093241864,-3.20856365273261,-5.557690612768986,-5.614986392282068,-5.271211715203573,-0.6302535746439055,-4.182591904455009,-7.047380880109126,-3.3804509912718568,-5.500394833255903,-5.7868737308213145,-6.474423084978302,-5.614986392282068,-5.729577951308232,-5.7868737308213145,-7.219268218648373,-7.563042895726867,-7.391155557187619,-9.339212060632418,-8.995437383553925,-7.391155557187619,-8.651662706475431,-5.213915935690491,-5.67228217179515,-5.500394833255903,-7.391155557187619,-8.766254265501596,-8.766254265501596,-9.167324722093172,-9.224620501606255,-5.729577951308232,-9.052733163067007,-9.396507840145501,-7.792226013779196,-7.16197243913529,-7.276563998161455,-9.167324722093172,-9.281916281119337,-7.62033867523995,-7.391155557187619,-7.505747116213785,-5.958761069360561,-7.906817572805362,-5.67228217179515,-8.365183808910018,-5.500394833255903,-6.990085100596044,-1.604281826366305,-7.333859777674537,-7.333859777674537,-6.990085100596044,-7.906817572805362,-8.021409131831525,-8.021409131831525,-8.13600069085769,-6.875493541569878,-8.021409131831525,-6.818197762056796,-6.130648407899808,-5.844169510334397,-7.16197243913529,-7.7349302342661135,-6.7609019825437136,-7.047380880109126,-7.505747116213785,-6.990085100596044,-5.729577951308232,-5.901465289847479,-5.958761069360561,-5.67228217179515,-7.62033867523995,-4.068000345428845,-4.5263665815335035,-2.6356058576017865,-4.411775022507339,-2.2345354010102105,-2.9793805346802804,-0.5729577951308232,-2.6929016371148693,-7.333859777674537
9.0,0.0,-6.073352628386726,3.6669298888372683,3.20856365273261,-3.2658594322456924,-4.2398876839680915,2.521014298575622,-6.932789321082962,-2.864788975654116,2.9793805346802804,-0.6302535746439055,-12.605071492878112,-6.932789321082962,-4.640958140559668,-6.932789321082962,-6.6463104235175505,-3.495042550298022,-6.7609019825437136,-5.557690612768986,-4.927437038125079,-7.047380880109126,-7.219268218648373,-7.276563998161455,-4.068000345428845,-7.964113352318444,-7.104676659622208,-6.932789321082962,-6.41712730546522,-8.365183808910018,-5.271211715203573,-5.271211715203573,-4.125296124941927,-6.7609019825437136,-4.354479242994256,-7.849521793292279,-7.104676659622208,-7.104676659622208,-5.156620156177409,-7.276563998161455,-7.047380880109126,-4.984732817638162,-4.870141258611998,-6.990085100596044,-7.16197243913529,-6.6463104235175505,-1.6615776058793876,-5.614986392282068,-8.250592249883853,-4.8128454790989155,-6.990085100596044,-7.333859777674537,-7.7349302342661135,-7.16197243913529,-7.276563998161455,-6.703606203030633,-8.13600069085769,-8.479775367936183,-8.307888029396937,-10.084057194302488,-9.682986737710912,-8.078704911344607,-9.281916281119337,-5.901465289847479,-6.474423084978302,-6.589014644004467,-8.307888029396937,-9.453803619658585,-9.453803619658585,-9.854874076250159,-9.91216985576324,-6.6463104235175505,-9.854874076250159,-10.084057194302488,-8.537071147449266,-8.078704911344607,-8.193296470370772,-9.91216985576324,-10.026761414789405,-8.537071147449266,-8.250592249883853,-8.021409131831525,-6.589014644004467,-8.479775367936183,-6.359831525952138,-8.880845824527759,-6.130648407899808,-7.563042895726867,-2.177239621497128,-7.849521793292279,-7.849521793292279,-7.505747116213785,-8.422479588423101,-8.537071147449266,-8.537071147449266,-8.708958485988513,-7.391155557187619,-8.537071147449266,-7.391155557187619,-6.703606203030633,-6.41712730546522,-7.677634454753032,-8.250592249883853,-7.333859777674537,-7.563042895726867,-8.13600069085769,-7.505747116213785,-6.359831525952138,-6.531718864491385,-6.474423084978302,-6.187944187412891,-8.193296470370772,-5.385803274229739,-5.7868737308213145,-3.838817227376516,-5.500394833255903,-3.6669298888372683,-4.125296124941927,-1.8907607239317168,-4.010704565915763,-8.021409131831525
10.0,0.0,-8.766254265501596,-1.1459155902616465,-0.8021409131831525,-5.901465289847479,-6.990085100596044,1.260507149287811,-9.625690958197831,-5.500394833255903,-1.604281826366305,-1.432394487827058,-13.636395524113592,-9.625690958197831,-7.16197243913529,-9.56839517868475,-9.396507840145501,-5.385803274229739,-9.56839517868475,-8.193296470370772,-7.505747116213785,-9.740282517223996,-9.969465635276324,-9.969465635276324,-5.67228217179515,-10.485127650894064,-10.026761414789405,-9.625690958197831,-9.625690958197831,-10.771606548459477,-7.906817572805362,-7.906817572805362,-6.703606203030633,-8.708958485988513,-6.875493541569878,-10.542423430407146,-9.797578296737077,-9.797578296737077,-7.792226013779196,-9.969465635276324,-9.797578296737077,-8.995437383553925,-7.505747116213785,-10.084057194302488,-9.91216985576324,-9.740282517223996,-3.3231552117587753,-8.193296470370772,-10.714310768946394,-7.219268218648373,-9.91216985576324,-10.084057194302488,-10.255944532841735,-9.854874076250159,-9.969465635276324,-8.193296470370772,-9.625690958197831,-9.854874076250159,-9.625690958197831,-10.82890232797256,-10.427831871380983,-9.339212060632418,-9.969465635276324,-7.16197243913529,-7.792226013779196,-8.479775367936183,-9.740282517223996,-10.255944532841735,-10.198648753328653,-10.65701498943331,-10.714310768946394,-8.021409131831525,-10.771606548459477,-10.886198107485642,-9.339212060632418,-9.396507840145501,-9.511099399171666,-10.65701498943331,-10.771606548459477,-9.91216985576324,-9.625690958197831,-9.167324722093172,-7.62033867523995,-9.625690958197831,-7.333859777674537,-10.026761414789405,-7.16197243913529,-8.708958485988513,-3.20856365273261,-8.995437383553925,-8.995437383553925,-8.651662706475431,-9.625690958197831,-9.740282517223996,-9.682986737710912,-9.854874076250159,-8.479775367936183,-9.682986737710912,-8.479775367936183,-7.849521793292279,-7.563042895726867,-8.823550045014677,-9.396507840145501,-8.422479588423101,-8.651662706475431,-9.56839517868475,-8.651662706475431,-7.333859777674537,-7.505747116213785,-7.62033867523995,-7.333859777674537,-9.56839517868475,-8.938141604040842,-8.880845824527759,-7.906817572805362,-7.7349302342661135,-6.703606203030633,-6.818197762056796,-4.5263665815335035,-7.276563998161455,-9.740282517223996
